time_s,time_us,time_steady,dna_temp,heater_is_on,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965233,968500,434395,17.45684814453125,1,24,13,0,1980-01-06T03:07:13,1633357475.95154,2021-10-04T17:24:35
315965536,236700,736395,17.05462646484375,0,24,13,0,1980-01-06T03:12:16,1633357779.236652,2021-10-04T17:29:39
315965701,363800,901395,16.282440185546875,0,190,13,0,1980-01-06T03:15:01,1633357943.328853,2021-10-04T17:32:23
315965729,363800,929395,15.4931640625,0,10,13,0,1980-01-06T03:15:29,1633357972.3047118,2021-10-04T17:32:52
315965771,363800,971395,15.866790771484375,1,252,13,0,1980-01-06T03:16:11,1633358012.7804968,2021-10-04T17:33:32
315965812,363800,1012395,17.233917236328125,0,227,13,0,1980-01-06T03:16:52,1633358054.6035209,2021-10-04T17:34:14
315965867,363800,1067395,14.7816162109375,1,111,13,0,1980-01-06T03:17:47,1633358110.3040729,2021-10-04T17:35:10
315966251,885200,1451395,19.741546630859375,0,60,13,0,1980-01-06T03:24:11,1633358494.628592,2021-10-04T17:41:34
