time_s,time_us,time_steady,temperature,pressure,altitude,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965235,946500,436395,7.159999847412109,85389,1420.3543701171875,47,13,1,1980-01-06T03:07:15,1633357477.115537,2021-10-04T17:24:37
315965255,946500,456395,6.369999885559082,83952,1558.7615966796875,29,13,1,1980-01-06T03:07:35,1633357499.1164849,2021-10-04T17:24:59
315965276,946500,477395,6.230000019073486,82405,1709.9307861328125,22,13,1,1980-01-06T03:07:56,1633357518.9054408,2021-10-04T17:25:18
315965331,946500,532395,5.809999942779541,78656,2086.073974609375,162,13,1,1980-01-06T03:08:51,1633357574.246672,2021-10-04T17:26:14
315965566,214700,766395,2.680000066757202,64407,3663.775390625,123,13,1,1980-01-06T03:12:46,1633357807.192376,2021-10-04T17:30:07
315965574,214700,774395,2.5799999237060547,63957,3718.054443359375,219,13,1,1980-01-06T03:12:54,1633357816.752172,2021-10-04T17:30:16
315965587,214700,787395,2.299999952316284,63248,3804.207763671875,116,13,1,1980-01-06T03:13:07,1633357830.000777,2021-10-04T17:30:30
315965594,214700,794395,2.200000047683716,62880,3849.2333984375,199,13,1,1980-01-06T03:13:14,1633357836.266912,2021-10-04T17:30:36
315965615,341800,815395,1.5299999713897705,61662,3999.803466796875,192,13,1,1980-01-06T03:13:35,1633357856.8193328,2021-10-04T17:30:56
315965642,341800,842395,0.5799999833106995,60146,4190.625,0,13,1,1980-01-06T03:14:02,1633357885.539952,2021-10-04T17:31:25
315965670,341800,870395,0.11999999731779099,58708,4375.2744140625,78,13,1,1980-01-06T03:14:30,1633357912.259685,2021-10-04T17:31:52
315965704,341800,904395,-0.7099999785423279,56881,4615.24658203125,225,13,1,1980-01-06T03:15:04,1633357947.244197,2021-10-04T17:32:27
315965704,341800,904395,-0.7099999785423279,56881,4615.24658203125,225,13,1,1980-01-06T03:15:04,1633357947.632545,2021-10-04T17:32:27
315965753,341800,953395,-1.899999976158142,54372,4955.21240234375,38,13,1,1980-01-06T03:15:53,1633357994.5643768,2021-10-04T17:33:14
315965767,341800,967395,-2.2799999713897705,53637,5057.21435546875,204,13,1,1980-01-06T03:16:07,1633358009.7926478,2021-10-04T17:33:29
315965822,341800,1022395,-3.799999952316284,50834,5456.94140625,88,13,1,1980-01-06T03:17:02,1633358063.26014,2021-10-04T17:34:23
315965883,341800,1083395,-5.090000152587891,47905,5894.23974609375,46,13,1,1980-01-06T03:18:03,1633358126.9846249,2021-10-04T17:35:26
315965935,613100,1135395,-7.050000190734863,45537,6263.94921875,150,13,1,1980-01-06T03:18:55,1633358176.742836,2021-10-04T17:36:16
315966226,863200,1426395,-16.59000015258789,33110,8509.11328125,19,13,1,1980-01-06T03:23:46,1633358469.313505,2021-10-04T17:41:09
315966261,863200,1461395,-17.649999618530273,31605,8825.736328125,179,13,1,1980-01-06T03:24:21,1633358503.273953,2021-10-04T17:41:43
