time_s,time_us,time_steady,updated_time_steady,updated_time_from_s,updated_time_from_us,updated_time_from_base,updated_time_to_s,updated_time_to_us,updated_time_to_base,count_of_time_updates,count_of_aggressive_time_updates,imi_time_sync_steady,imi_count_of_syncs,imi_time_s,imi_time_us,imi_time_base,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965253,869634,454003,398762,315965198,507567,1,315965198,628582,1,4,1,453373,410,315965253,240018,1,83,10,0,1980-01-06T03:07:33,1633357498.48826,2021-10-04T17:24:58
315965349,905884,550003,499141,315965299,8134,1,315965299,44069,1,5,1,549613,497,315965349,515515,1,115,10,0,1980-01-06T03:09:09,1633357593.547941,2021-10-04T17:26:33
315965709,264098,909003,801022,315965601,244398,1,315965601,283573,1,8,1,907993,821,315965708,254484,1,168,10,0,1980-01-06T03:15:09,1633357950.7925289,2021-10-04T17:32:30
315965847,289754,1047003,997263,315965797,523757,1,315965797,549509,1,9,1,1046393,946,315965846,679381,1,70,10,0,1980-01-06T03:17:27,1633358088.235512,2021-10-04T17:34:48
