time_s,time_us,time_steady,last_report_time,last_good_report_time,reports_counter,bad_reports_counter,last_mistake,ignorance_depth,punishments_counter,last_punishment_time,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965202,748500,403175,403152,403152,403,0,0,0,0,0,166,13,0,1980-01-06T03:06:42,1633357444.816648,2021-10-04T17:24:04
315965277,748500,478175,478152,478152,478,0,0,0,0,0,32,13,0,1980-01-06T03:07:57,1633357519.4552438,2021-10-04T17:25:19
315965703,143800,903175,903152,903152,903,0,0,0,0,0,212,13,0,1980-01-06T03:15:03,1633357944.540108,2021-10-04T17:32:24
315965753,143800,953175,953152,953152,953,0,0,0,0,0,36,13,0,1980-01-06T03:15:53,1633357994.5643768,2021-10-04T17:33:14
315966203,665200,1403175,1403152,1403152,1403,0,0,0,0,0,0,13,0,1980-01-06T03:23:23,1633358445.2975118,2021-10-04T17:40:45
