time_s,time_us,time_steady,rx_packet_start_cnt,rx_packet_done_cnt,rx_cmds_start_cnt,rx_cmds_done_cnt,rx_drops_start_cnt,rx_drops_done_cnt,tx_psize_start_cnt,tx_psize_done_cnt,tx_packet_start_cnt,tx_packet_done_cnt,tx_zeroes_start_cnt,tx_zeroes_done_cnt,tx_empty_buffer_cnt,tx_overruns_cnt,cmds_get_size_cnt,cmds_get_packet_cnt,cmds_set_packet_cnt,cmds_invalid_cnt,restarts_cnt,berr_cnt,arlo_cnt,ovf_cnt,af_cnt,btf_cnt,tx_wrong_size_cnt,rx_wrong_size_cnt,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965245,68000,445877,398,398,12509,12509,0,0,4351,4351,4351,4351,0,0,3409,2690,7760,4351,398,0,0,0,0,0,3409,0,0,0,198,12,0,1980-01-06T03:07:25,1633357487.799353,2021-10-04T17:24:47
315965299,197000,500065,447,447,14062,14062,0,0,4893,4893,4893,4893,0,0,3829,2701,8722,4893,447,0,0,0,0,0,3829,0,0,0,186,12,0,1980-01-06T03:08:19,1633357542.5277798,2021-10-04T17:25:42
315965910,110000,1111258,999,999,31268,31268,0,0,10848,10848,10848,10848,0,0,8573,4227,19421,10848,999,0,0,0,0,0,8573,0,0,0,144,12,0,1980-01-06T03:18:30,1633358151.5836918,2021-10-04T17:35:51
