time_s,time_us,mode,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
1633357239,246195,1,0,0,0,2021-10-04T17:20:39,1633357239.718225,2021-10-04T17:20:39
1633357240,586943,0,0,0,0,2021-10-04T17:20:40,1633357241.058357,2021-10-04T17:20:41
