time_s,time_us,azimuth,elevation,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
1633358458,278548,10.0,0.0,0,0,0,2021-10-04T17:40:58,1633358458.797993,2021-10-04T17:40:58
1633358460,438029,0.0,-10.0,0,0,0,2021-10-04T17:41:00,1633358460.9631438,2021-10-04T17:41:00
1633358464,452004,0.0,10.0,0,0,0,2021-10-04T17:41:04,1633358464.9738889,2021-10-04T17:41:04
1633358471,738475,0.0,10.0,0,0,0,2021-10-04T17:41:11,1633358472.2587519,2021-10-04T17:41:12
1633358477,812529,0.0,-10.0,0,0,0,2021-10-04T17:41:17,1633358478.423084,2021-10-04T17:41:18
1633358486,670273,-10.0,0.0,0,0,0,2021-10-04T17:41:26,1633358487.190829,2021-10-04T17:41:27
1633358494,396356,-10.0,0.0,0,0,0,2021-10-04T17:41:34,1633358494.933336,2021-10-04T17:41:34
1633358498,646461,10.0,0.0,0,0,0,2021-10-04T17:41:38,1633358499.2628329,2021-10-04T17:41:39
1633358502,506023,10.0,0.0,0,0,0,2021-10-04T17:41:42,1633358503.032156,2021-10-04T17:41:43
1633358515,422066,10.0,0.0,0,0,0,2021-10-04T17:41:55,1633358515.9483929,2021-10-04T17:41:55
1633358526,973558,-10.0,0.0,0,0,0,2021-10-04T17:42:06,1633358527.4955518,2021-10-04T17:42:07
1633358572,844309,10.0,0.0,0,0,0,2021-10-04T17:42:52,1633358573.371088,2021-10-04T17:42:53
1633358579,850297,10.0,0.0,0,0,0,2021-10-04T17:42:59,1633358580.384788,2021-10-04T17:43:00
1633358590,175801,10.0,0.0,0,0,0,2021-10-04T17:43:10,1633358590.703532,2021-10-04T17:43:10
1633358606,174197,10.0,0.0,0,0,0,2021-10-04T17:43:26,1633358606.699029,2021-10-04T17:43:26
1633358626,531945,-10.0,0.0,0,0,0,2021-10-04T17:43:46,1633358627.057576,2021-10-04T17:43:47
1633358630,299959,-10.0,0.0,0,0,0,2021-10-04T17:43:50,1633358630.826992,2021-10-04T17:43:50
1633358634,813683,0.0,10.0,0,0,0,2021-10-04T17:43:54,1633358635.338913,2021-10-04T17:43:55
1633358650,714272,10.0,0.0,0,0,0,2021-10-04T17:44:10,1633358651.2425199,2021-10-04T17:44:11
1633358654,231865,0.0,-10.0,0,0,0,2021-10-04T17:44:14,1633358654.759949,2021-10-04T17:44:14
1633358658,542189,10.0,0.0,0,0,0,2021-10-04T17:44:18,1633358659.0689929,2021-10-04T17:44:19
1633358661,961942,-10.0,0.0,0,0,0,2021-10-04T17:44:21,1633358662.4890609,2021-10-04T17:44:22
1633358668,760303,-10.0,0.0,0,0,0,2021-10-04T17:44:28,1633358669.290808,2021-10-04T17:44:29
1633358696,152059,-10.0,0.0,0,0,0,2021-10-04T17:44:56,1633358696.684512,2021-10-04T17:44:56
1633358698,637823,10.0,0.0,0,0,0,2021-10-04T17:44:58,1633358699.1668038,2021-10-04T17:44:59
1633358707,860024,-10.0,0.0,0,0,0,2021-10-04T17:45:07,1633358708.3903968,2021-10-04T17:45:08
1633358719,59104,1.0,0.0,0,0,0,2021-10-04T17:45:19,1633358719.6839879,2021-10-04T17:45:19
1633358720,327526,1.0,0.0,0,0,0,2021-10-04T17:45:20,1633358720.858213,2021-10-04T17:45:20
1633358728,961336,-1.0,0.0,0,0,0,2021-10-04T17:45:28,1633358729.4915168,2021-10-04T17:45:29
1633358765,363909,10.0,0.0,0,0,0,2021-10-04T17:46:05,1633358765.8968768,2021-10-04T17:46:05
1633358782,265969,-10.0,0.0,0,0,0,2021-10-04T17:46:22,1633358782.7958999,2021-10-04T17:46:22
1633358786,355252,10.0,0.0,0,0,0,2021-10-04T17:46:26,1633358786.8850489,2021-10-04T17:46:26
1633358792,443271,10.0,0.0,0,0,0,2021-10-04T17:46:32,1633358792.976809,2021-10-04T17:46:32
1633358798,460649,-10.0,0.0,0,0,0,2021-10-04T17:46:38,1633358798.991104,2021-10-04T17:46:38
1633358801,379836,-10.0,0.0,0,0,0,2021-10-04T17:46:41,1633358801.909864,2021-10-04T17:46:41
1633358805,696035,-10.0,0.0,0,0,0,2021-10-04T17:46:45,1633358806.228276,2021-10-04T17:46:46
1633358823,824986,0.0,-10.0,0,0,0,2021-10-04T17:47:03,1633358824.354856,2021-10-04T17:47:04
1633358823,928803,0.0,-10.0,0,0,0,2021-10-04T17:47:03,1633358824.4652,2021-10-04T17:47:04
