time_s,time_us,time_steady,last_report_time,last_good_report_time,reports_counter,bad_reports_counter,last_mistake,ignorance_depth,punishments_counter,last_punishment_time,seq,srcSystem,srcComponent,time_gregorian
1633357058,654200,23175,23175,23175,264,34,-11,0,1,5174,8,13,4,1980-01-06T03:00:20
1633357083,654200,48175,48175,48175,562,34,-11,0,1,5174,50,13,4,1980-01-06T03:00:45
1633357108,654200,73175,73175,73175,858,34,-11,0,1,5174,90,13,4,1980-01-06T03:01:10
1633357133,654200,98175,98175,98175,1154,34,-11,0,1,5174,130,13,4,1980-01-06T03:01:35
1633357158,654200,123175,123175,123175,1452,34,-11,0,1,5174,172,13,4,1980-01-06T03:02:00
1633357183,654200,148175,148175,148175,1748,34,-11,0,1,5174,212,13,4,1980-01-06T03:02:25
1633357208,654200,173175,173175,173175,2044,34,-11,0,1,5174,252,13,4,1980-01-06T03:02:50
1633357233,654200,198175,198175,198175,2342,34,-11,0,1,5174,38,13,4,1980-01-06T03:03:15
1633357260,585200,223175,223175,223175,2638,34,-11,0,1,5174,78,13,4,1980-01-06T03:03:42
1633357285,585200,248175,248175,248175,2934,34,-11,0,1,5174,118,13,4,1980-01-06T03:04:07
1633357310,585200,273175,273175,273175,3232,34,-11,0,1,5174,160,13,4,1980-01-06T03:04:32
1633357335,585200,298175,298175,298175,3528,34,-11,0,1,5174,200,13,4,1980-01-06T03:04:57
1633357360,585200,323175,323175,323175,3824,34,-11,0,1,5174,240,13,4,1980-01-06T03:05:22
1633357385,585200,348175,348175,348175,4122,34,-11,0,1,5174,26,13,4,1980-01-06T03:05:47
1633357410,585200,373175,373175,373175,4418,34,-11,0,1,5174,66,13,4,1980-01-06T03:06:12
1633357435,585200,398175,398175,398175,4714,34,-11,0,1,5174,106,13,4,1980-01-06T03:06:37
1633357460,748500,423175,423175,423175,5012,34,-11,0,1,5174,148,13,4,1980-01-06T03:07:02
1633357485,748500,448175,448175,448175,5308,34,-11,0,1,5174,188,13,4,1980-01-06T03:07:27
1633357510,748500,473175,473175,473175,5604,34,-11,0,1,5174,228,13,4,1980-01-06T03:07:52
