time_s,time_us,time_steady,count_tick,delta_time,seq,srcSystem,srcComponent,time_gregorian
1633357039,151300,1151,0,1151,3,13,1,1970-01-01T03:00:02
1633357040,151300,1151,0,1151,14,13,1,1970-01-01T03:00:02
1633357041,662300,5951,0,5951,63,13,1,1970-01-01T03:00:05
1633357042,630600,7151,0,7151,74,13,1,1980-01-06T03:00:04
1633357042,630600,7151,0,7151,85,13,1,1980-01-06T03:00:04
1633357043,830600,8351,1,8351,99,13,1,1980-01-06T03:00:05
1633357045,30600,9551,1,9551,110,13,1,1980-01-06T03:00:07
1633357046,230600,10751,1,10751,121,13,1,1980-01-06T03:00:08
1633357047,430600,11951,1,11951,134,13,1,1980-01-06T03:00:09
1633357048,630600,13151,1,13151,145,13,1,1980-01-06T03:00:10
1633357048,630600,13151,1,13151,157,13,1,1980-01-06T03:00:10
1633357049,830700,14351,1,14351,170,13,1,1980-01-06T03:00:11
1633357051,30700,15551,2,15551,181,13,1,1980-01-06T03:00:13
1633357052,230600,16751,2,16751,192,13,1,1980-01-06T03:00:14
1633357053,430600,17951,2,17951,205,13,1,1980-01-06T03:00:15
1633357054,630600,19151,2,19151,217,13,1,1980-01-06T03:00:16
1633357054,630600,19151,2,19151,228,13,1,1980-01-06T03:00:16
1633357055,830600,20351,2,20351,241,13,1,1980-01-06T03:00:17
1633357057,30600,21551,2,21551,252,13,1,1980-01-06T03:00:19
1633357058,230600,22751,3,22751,7,13,1,1980-01-06T03:00:20
1633357059,430600,23951,3,23951,21,13,1,1980-01-06T03:00:21
1633357060,630600,25151,3,25151,32,13,1,1980-01-06T03:00:22
1633357060,630600,25151,3,25151,43,13,1,1980-01-06T03:00:22
1633357061,830600,26351,3,26351,56,13,1,1980-01-06T03:00:23
1633357063,30700,27551,3,27551,67,13,1,1980-01-06T03:00:25
1633357064,230700,28751,3,28751,79,13,1,1980-01-06T03:00:26
1633357065,430600,29951,4,29951,92,13,1,1980-01-06T03:00:27
1633357066,630600,31151,4,31151,103,13,1,1980-01-06T03:00:28
1633357066,630600,31151,4,31151,114,13,1,1980-01-06T03:00:28
1633357067,830600,32351,4,32351,127,13,1,1980-01-06T03:00:29
1633357069,30600,33551,4,33551,139,13,1,1980-01-06T03:00:31
1633357070,230600,34751,4,34751,150,13,1,1980-01-06T03:00:32
1633357071,430600,35951,4,35951,163,13,1,1980-01-06T03:00:33
1633357072,630600,37151,4,37151,174,13,1,1980-01-06T03:00:34
1633357072,630600,37151,4,37151,185,13,1,1980-01-06T03:00:34
1633357073,830600,38351,4,38351,199,13,1,1980-01-06T03:00:35
1633357075,30600,39551,4,39551,210,13,1,1980-01-06T03:00:37
1633357076,230600,40751,4,40751,221,13,1,1980-01-06T03:00:38
1633357077,430700,41951,5,41951,234,13,1,1980-01-06T03:00:39
1633357078,630700,43151,5,43151,245,13,1,1980-01-06T03:00:40
1633357078,630700,43151,5,43151,1,13,1,1980-01-06T03:00:40
1633357079,830700,44351,6,44351,14,13,1,1980-01-06T03:00:41
1633357081,30600,45551,6,45551,25,13,1,1980-01-06T03:00:43
1633357082,230600,46751,6,46751,36,13,1,1980-01-06T03:00:44
1633357083,430600,47951,6,47951,49,13,1,1980-01-06T03:00:45
1633357084,630600,49151,6,49151,61,13,1,1980-01-06T03:00:46
1633357084,630600,49151,6,49151,72,13,1,1980-01-06T03:00:46
1633357085,830600,50351,7,50351,85,13,1,1980-01-06T03:00:47
1633357087,30600,51551,7,51551,96,13,1,1980-01-06T03:00:49
1633357088,230600,52751,7,52751,107,13,1,1980-01-06T03:00:50
1633357089,430600,53951,7,53951,121,13,1,1980-01-06T03:00:51
1633357090,630600,55151,7,55151,132,13,1,1980-01-06T03:00:52
1633357090,630600,55151,7,55151,143,13,1,1980-01-06T03:00:52
1633357091,830700,56351,7,56351,156,13,1,1980-01-06T03:00:53
1633357093,30700,57551,7,57551,167,13,1,1980-01-06T03:00:55
1633357094,230600,58751,7,58751,179,13,1,1980-01-06T03:00:56
1633357095,430600,59951,7,59951,192,13,1,1980-01-06T03:00:57
1633357096,630600,61151,7,61151,203,13,1,1980-01-06T03:00:58
1633357096,630600,61151,7,61151,214,13,1,1980-01-06T03:00:58
1633357097,830600,62351,7,62351,227,13,1,1980-01-06T03:00:59
1633357099,30600,63551,7,63551,239,13,1,1980-01-06T03:01:01
1633357100,230600,64751,7,64751,250,13,1,1980-01-06T03:01:02
1633357101,430600,65951,7,65951,7,13,1,1980-01-06T03:01:03
1633357102,630600,67151,8,67151,18,13,1,1980-01-06T03:01:04
1633357102,630600,67151,8,67151,29,13,1,1980-01-06T03:01:04
1633357103,830600,68351,9,68351,43,13,1,1980-01-06T03:01:05
1633357105,30600,69551,9,69551,54,13,1,1980-01-06T03:01:07
1633357106,230700,70751,10,70751,65,13,1,1980-01-06T03:01:08
1633357107,430700,71951,10,71951,78,13,1,1980-01-06T03:01:09
1633357108,630600,73151,11,73151,89,13,1,1980-01-06T03:01:10
1633357108,630600,73151,11,73151,101,13,1,1980-01-06T03:01:10
1633357109,830600,74351,11,74351,114,13,1,1980-01-06T03:01:11
1633357111,30600,75551,11,75404,125,13,1,1980-01-06T03:01:13
1633357112,230600,76751,11,75600,136,13,1,1980-01-06T03:01:14
1633357113,430600,77951,11,75600,149,13,1,1980-01-06T03:01:15
1633357114,630600,79151,11,75600,161,13,1,1980-01-06T03:01:16
1633357114,630600,79151,11,75600,172,13,1,1980-01-06T03:01:16
1633357115,830600,80351,11,75600,185,13,1,1980-01-06T03:01:17
1633357117,30600,81551,11,75600,196,13,1,1980-01-06T03:01:19
1633357118,230600,82751,12,75600,207,13,1,1980-01-06T03:01:20
1633357119,430700,83951,11,75600,221,13,1,1980-01-06T03:01:21
1633357120,630700,85151,11,75600,232,13,1,1980-01-06T03:01:22
1633357120,630700,85151,11,75600,243,13,1,1980-01-06T03:01:22
1633357121,830700,86351,11,75600,0,13,1,1980-01-06T03:01:23
1633357123,30600,87551,11,75600,11,13,1,1980-01-06T03:01:25
1633357124,230600,88751,11,75600,23,13,1,1980-01-06T03:01:26
1633357125,430600,89951,11,75600,36,13,1,1980-01-06T03:01:27
1633357126,630600,91151,11,75600,47,13,1,1980-01-06T03:01:28
1633357126,630600,91151,11,75600,58,13,1,1980-01-06T03:01:28
1633357127,830600,92351,11,75600,71,13,1,1980-01-06T03:01:29
1633357129,30600,93551,11,75600,83,13,1,1980-01-06T03:01:31
1633357130,230600,94751,11,75600,94,13,1,1980-01-06T03:01:32
1633357131,430600,95951,11,75600,107,13,1,1980-01-06T03:01:33
1633357132,630600,97151,11,75600,118,13,1,1980-01-06T03:01:34
1633357132,630600,97151,11,75600,129,13,1,1980-01-06T03:01:34
1633357133,830600,98351,10,75600,143,13,1,1980-01-06T03:01:35
1633357135,30700,99551,10,75600,154,13,1,1980-01-06T03:01:37
1633357136,230700,100751,10,75600,165,13,1,1980-01-06T03:01:38
1633357137,430600,101951,10,75600,178,13,1,1980-01-06T03:01:39
1633357138,630600,103151,10,75600,189,13,1,1980-01-06T03:01:40
1633357138,630600,103151,10,75600,201,13,1,1980-01-06T03:01:40
1633357139,830600,104351,10,75600,214,13,1,1980-01-06T03:01:41
1633357141,30600,105551,9,75600,225,13,1,1980-01-06T03:01:43
1633357142,230600,106751,9,75600,236,13,1,1980-01-06T03:01:44
1633357143,430600,107951,9,75600,249,13,1,1980-01-06T03:01:45
1633357144,630600,109151,9,75600,5,13,1,1980-01-06T03:01:46
1633357144,630600,109151,9,75600,16,13,1,1980-01-06T03:01:46
1633357145,830600,110351,9,75600,29,13,1,1980-01-06T03:01:47
1633357147,30600,111551,9,75600,40,13,1,1980-01-06T03:01:49
1633357148,230700,112751,9,75600,51,13,1,1980-01-06T03:01:50
1633357149,430700,113951,9,75600,65,13,1,1980-01-06T03:01:51
1633357150,630700,115151,9,75600,76,13,1,1980-01-06T03:01:52
1633357150,630700,115151,9,75600,87,13,1,1980-01-06T03:01:52
1633357151,830600,116351,9,75600,100,13,1,1980-01-06T03:01:53
1633357153,30600,117551,8,75600,111,13,1,1980-01-06T03:01:55
1633357154,230600,118751,9,75600,123,13,1,1980-01-06T03:01:56
1633357155,430600,119951,8,75600,136,13,1,1980-01-06T03:01:57
1633357156,630600,121151,8,75600,147,13,1,1980-01-06T03:01:58
1633357156,630600,121151,8,75600,158,13,1,1980-01-06T03:01:58
1633357157,830600,122351,8,75600,171,13,1,1980-01-06T03:01:59
1633357159,30600,123551,8,75600,183,13,1,1980-01-06T03:02:01
1633357160,230600,124751,8,75600,194,13,1,1980-01-06T03:02:02
1633357161,430600,125951,7,75600,207,13,1,1980-01-06T03:02:03
1633357162,630600,127151,7,75600,218,13,1,1980-01-06T03:02:04
1633357162,630600,127151,7,75600,229,13,1,1980-01-06T03:02:04
1633357163,830700,128351,7,75600,243,13,1,1980-01-06T03:02:05
1633357165,30700,129551,8,75600,254,13,1,1980-01-06T03:02:07
1633357166,230600,130751,8,75600,9,13,1,1980-01-06T03:02:08
1633357167,430600,131951,8,75600,22,13,1,1980-01-06T03:02:09
1633357168,630600,133151,8,75600,33,13,1,1980-01-06T03:02:10
