time_s,time_us,time_steady,dna_temp,heater_is_on,seq,srcSystem,srcComponent,time_gregorian
1633357109,874200,74395,17.0546264648438,0,104,13,0,1980-01-06T03:01:11
1633357110,874200,75395,16.9195556640625,0,117,13,0,1980-01-06T03:01:12
1633357111,874200,76395,16.8292236328125,0,128,13,0,1980-01-06T03:01:13
1633357112,874200,77395,16.7386779785156,0,139,13,0,1980-01-06T03:01:14
1633357113,874200,78395,16.7386779785156,0,153,13,0,1980-01-06T03:01:15
1633357114,874200,79395,16.6933288574219,0,164,13,0,1980-01-06T03:01:16
1633357115,874200,80395,16.7386779785156,0,175,13,0,1980-01-06T03:01:17
1633357116,874200,81395,16.6933288574219,0,188,13,0,1980-01-06T03:01:18
1633357117,874200,82395,16.6933288574219,0,199,13,0,1980-01-06T03:01:19
1633357118,874200,83395,16.5112915039062,0,211,13,0,1980-01-06T03:01:20
1633357119,874200,84395,16.4656372070313,0,224,13,0,1980-01-06T03:01:21
1633357120,874200,85395,16.3741455078125,0,235,13,0,1980-01-06T03:01:22
1633357121,874200,86395,16.556884765625,0,246,13,0,1980-01-06T03:01:23
1633357122,874200,87395,16.4656372070313,0,3,13,0,1980-01-06T03:01:24
1633357123,874200,88395,16.3283386230469,0,15,13,0,1980-01-06T03:01:25
1633357124,874200,89395,16.1905212402344,0,26,13,0,1980-01-06T03:01:26
1633357125,874200,90395,16.3283386230469,0,39,13,0,1980-01-06T03:01:27
1633357126,874200,91395,16.2365112304688,0,50,13,0,1980-01-06T03:01:28
1633357127,874200,92395,16.2824401855469,0,61,13,0,1980-01-06T03:01:29
1633357128,874200,93395,16.2824401855469,0,75,13,0,1980-01-06T03:01:30
1633357129,874200,94395,16.1444396972656,0,86,13,0,1980-01-06T03:01:31
1633357130,874200,95395,16.1905212402344,0,97,13,0,1980-01-06T03:01:32
1633357131,874200,96395,16.0058898925781,0,110,13,0,1980-01-06T03:01:33
1633357132,874200,97395,15.9595947265625,0,121,13,0,1980-01-06T03:01:34
1633357133,874200,98395,16.2365112304688,0,133,13,0,1980-01-06T03:01:35
1633357134,874200,99395,16.0982971191406,0,146,13,0,1980-01-06T03:01:36
1633357135,874200,100395,16.0058898925781,0,157,13,0,1980-01-06T03:01:37
1633357136,874200,101395,15.9132080078125,0,168,13,0,1980-01-06T03:01:38
1633357137,874200,102395,15.8667907714844,0,181,13,0,1980-01-06T03:01:39
1633357138,874200,103395,15.8203125,0,193,13,0,1980-01-06T03:01:40
1633357139,874200,104395,15.7271423339844,0,204,13,0,1980-01-06T03:01:41
1633357140,874200,105395,15.9595947265625,0,217,13,0,1980-01-06T03:01:42
1633357141,874200,106395,15.9595947265625,0,228,13,0,1980-01-06T03:01:43
1633357142,874200,107395,15.6804809570313,0,239,13,0,1980-01-06T03:01:44
1633357143,874200,108395,15.8667907714844,0,253,13,0,1980-01-06T03:01:45
1633357144,874200,109395,15.6804809570313,0,8,13,0,1980-01-06T03:01:46
1633357145,874200,110395,15.5869445800781,0,19,13,0,1980-01-06T03:01:47
1633357146,874200,111395,15.8203125,0,32,13,0,1980-01-06T03:01:48
1633357147,874200,112395,15.7271423339844,0,43,13,0,1980-01-06T03:01:49
1633357148,874200,113395,15.6804809570313,0,55,13,0,1980-01-06T03:01:50
1633357149,874200,114395,15.5401000976563,0,68,13,0,1980-01-06T03:01:51
1633357150,874200,115395,15.4931640625,0,79,13,0,1980-01-06T03:01:52
1633357151,874200,116395,15.6337280273438,0,90,13,0,1980-01-06T03:01:53
1633357152,874200,117395,15.5869445800781,0,103,13,0,1980-01-06T03:01:54
1633357153,874200,118395,15.5401000976563,0,115,13,0,1980-01-06T03:01:55
1633357154,874200,119395,15.3991394042969,0,126,13,0,1980-01-06T03:01:56
1633357155,874200,120395,15.4461669921875,0,139,13,0,1980-01-06T03:01:57
1633357156,874200,121395,15.6337280273438,0,150,13,0,1980-01-06T03:01:58
1633357157,874200,122395,15.4461669921875,0,161,13,0,1980-01-06T03:01:59
1633357158,874200,123395,15.4931640625,0,175,13,0,1980-01-06T03:02:00
1633357159,874200,124395,15.4931640625,0,186,13,0,1980-01-06T03:02:01
1633357160,874200,125395,15.3520202636719,0,197,13,0,1980-01-06T03:02:02
1633357161,874200,126395,15.5401000976563,0,210,13,0,1980-01-06T03:02:03
1633357162,874200,127395,15.2576293945312,0,221,13,0,1980-01-06T03:02:04
1633357163,874200,128395,15.3520202636719,0,233,13,0,1980-01-06T03:02:05
1633357164,874200,129395,15.3991394042969,0,246,13,0,1980-01-06T03:02:06
1633357165,874200,130395,15.4931640625,0,1,13,0,1980-01-06T03:02:07
1633357166,874200,131395,15.3991394042969,0,12,13,0,1980-01-06T03:02:08
1633357167,874200,132395,15.3048400878906,0,25,13,0,1980-01-06T03:02:09
1633357168,874200,133395,15.3048400878906,0,37,13,0,1980-01-06T03:02:10
1633357169,874200,134395,15.3991394042969,0,48,13,0,1980-01-06T03:02:11
1633357170,874200,135395,15.2102966308594,0,61,13,0,1980-01-06T03:02:12
1633357171,874200,136395,15.3991394042969,0,72,13,0,1980-01-06T03:02:13
1633357172,874200,137395,15.3520202636719,0,83,13,0,1980-01-06T03:02:14
1633357173,874200,138395,15.115478515625,0,97,13,0,1980-01-06T03:02:15
1633357174,874200,139395,15.3520202636719,0,108,13,0,1980-01-06T03:02:16
1633357175,874200,140395,15.115478515625,0,119,13,0,1980-01-06T03:02:17
1633357176,874200,141395,15.0679931640625,0,132,13,0,1980-01-06T03:02:18
1633357177,874200,142395,15.3048400878906,0,143,13,0,1980-01-06T03:02:19
1633357178,874200,143395,15.1629333496094,0,155,13,0,1980-01-06T03:02:20
1633357179,874200,144395,15.2102966308594,0,168,13,0,1980-01-06T03:02:21
1633357180,874200,145395,15.0679931640625,0,179,13,0,1980-01-06T03:02:22
1633357181,874200,146395,16.1905212402344,1,190,13,0,1980-01-06T03:02:23
1633357182,874200,147395,16.8292236328125,1,203,13,0,1980-01-06T03:02:24
1633357183,874200,148395,17.545654296875,1,215,13,0,1980-01-06T03:02:25
1633357184,874200,149395,18.5517272949219,1,226,13,0,1980-01-06T03:02:26
1633357185,874200,150395,19.5317687988281,1,239,13,0,1980-01-06T03:02:27
1633357186,874200,151395,19.7415466308594,0,250,13,0,1980-01-06T03:02:28
1633357187,874200,152395,20.7333068847656,0,5,13,0,1980-01-06T03:02:29
1633357188,874200,153395,21.0180053710937,0,19,13,0,1980-01-06T03:02:30
1633357189,874200,154395,21.3811340332031,0,30,13,0,1980-01-06T03:02:31
1633357190,874200,155395,21.5814819335937,0,41,13,0,1980-01-06T03:02:32
1633357191,874200,156395,21.6214599609375,0,54,13,0,1980-01-06T03:02:33
1633357192,874200,157395,21.7808837890625,0,65,13,0,1980-01-06T03:02:34
1633357193,874200,158395,21.6214599609375,0,77,13,0,1980-01-06T03:02:35
1633357194,874200,159395,21.5814819335937,0,90,13,0,1980-01-06T03:02:36
1633357195,874200,160395,21.7012329101563,0,101,13,0,1980-01-06T03:02:37
1633357196,874200,161395,21.4613952636719,0,112,13,0,1980-01-06T03:02:38
1633357197,874200,162395,21.4212951660156,0,125,13,0,1980-01-06T03:02:39
1633357198,874200,163395,21.2201538085937,0,137,13,0,1980-01-06T03:02:40
1633357199,874200,164395,21.1797790527344,0,148,13,0,1980-01-06T03:02:41
1633357200,874200,165395,21.1797790527344,0,161,13,0,1980-01-06T03:02:42
1633357201,874200,166395,21.0585327148438,0,172,13,0,1980-01-06T03:02:43
1633357202,874200,167395,20.9774780273437,0,183,13,0,1980-01-06T03:02:44
1633357203,874200,168395,20.9774780273437,0,197,13,0,1980-01-06T03:02:45
1633357204,874200,169395,20.7333068847656,0,208,13,0,1980-01-06T03:02:46
1633357205,874200,170395,20.7333068847656,0,219,13,0,1980-01-06T03:02:47
1633357206,874200,171395,20.3642883300781,0,232,13,0,1980-01-06T03:02:48
1633357207,874200,172395,20.3642883300781,0,243,13,0,1980-01-06T03:02:49
1633357208,874200,173395,20.3230895996094,0,255,13,0,1980-01-06T03:02:50
1633357209,874200,174395,20.2405395507812,0,12,13,0,1980-01-06T03:02:51
1633357210,874200,175395,20.1578063964844,0,23,13,0,1980-01-06T03:02:52
1633357211,874200,176395,19.8668823242188,0,34,13,0,1980-01-06T03:02:53
1633357212,874200,177395,19.7415466308594,0,47,13,0,1980-01-06T03:02:54
1633357213,874200,178395,19.8668823242188,0,59,13,0,1980-01-06T03:02:55
1633357214,874200,179395,19.7415466308594,0,70,13,0,1980-01-06T03:02:56
1633357215,874200,180395,19.6996765136719,0,83,13,0,1980-01-06T03:02:57
1633357216,874200,181395,19.4053344726563,0,94,13,0,1980-01-06T03:02:58
1633357217,874200,182395,19.447509765625,0,105,13,0,1980-01-06T03:02:59
1633357218,874200,183395,19.4053344726563,0,119,13,0,1980-01-06T03:03:00
1633357219,874200,184395,19.2785034179688,0,130,13,0,1980-01-06T03:03:01
1633357220,874200,185395,19.32080078125,0,141,13,0,1980-01-06T03:03:02
1633357221,874200,186395,19.2785034179688,0,154,13,0,1980-01-06T03:03:03
1633357222,874200,187395,19.0235595703125,0,165,13,0,1980-01-06T03:03:04
1633357223,874200,188395,19.1936950683594,0,177,13,0,1980-01-06T03:03:05
1633357224,874200,189395,19.0235595703125,0,190,13,0,1980-01-06T03:03:06
1633357225,874200,190395,18.8954467773437,0,201,13,0,1980-01-06T03:03:07
1633357226,874200,191395,18.9382019042969,0,212,13,0,1980-01-06T03:03:08
1633357227,874200,192395,18.9382019042969,0,225,13,0,1980-01-06T03:03:09
1633357228,874200,193395,18.8954467773437,0,237,13,0,1980-01-06T03:03:10
1633357229,874200,194395,18.6809997558594,0,248,13,0,1980-01-06T03:03:11
1633357230,874200,195395,18.5517272949219,0,5,13,0,1980-01-06T03:03:12
1633357231,874200,196395,18.7239685058594,0,16,13,0,1980-01-06T03:03:13
1633357232,874200,197395,18.4653015136719,0,27,13,0,1980-01-06T03:03:14
1633357233,874200,198395,18.5948486328125,0,41,13,0,1980-01-06T03:03:15
1633357234,874200,199395,18.508544921875,0,52,13,0,1980-01-06T03:03:16
1633357237,805200,200395,18.3352966308594,0,63,13,0,1980-01-06T03:03:19
1633357238,805200,201395,18.508544921875,0,76,13,0,1980-01-06T03:03:20
1633357239,805200,202395,18.2918701171875,0,87,13,0,1980-01-06T03:03:21
1633357240,805200,203395,18.2048645019531,0,99,13,0,1980-01-06T03:03:22
1633357241,805200,204395,18.2483825683594,0,112,13,0,1980-01-06T03:03:23
1633357242,805200,205395,18.2048645019531,0,123,13,0,1980-01-06T03:03:24
1633357243,805200,206395,18.2483825683594,0,134,13,0,1980-01-06T03:03:25
1633357244,805200,207395,18.2483825683594,0,147,13,0,1980-01-06T03:03:26
1633357245,805200,208395,18.0302124023438,0,159,13,0,1980-01-06T03:03:27
1633357246,805200,209395,17.9864196777344,0,170,13,0,1980-01-06T03:03:28
1633357247,805200,210395,17.898681640625,0,183,13,0,1980-01-06T03:03:29
1633357248,805200,211395,18.0739440917969,0,194,13,0,1980-01-06T03:03:30
1633357249,805200,212395,17.9864196777344,0,205,13,0,1980-01-06T03:03:31
1633357250,805200,213395,17.8107299804687,0,219,13,0,1980-01-06T03:03:32
1633357251,805200,214395,17.6784362792969,0,230,13,0,1980-01-06T03:03:33
1633357252,805200,215395,17.5899658203125,0,241,13,0,1980-01-06T03:03:34
1633357253,805200,216395,17.7666931152344,0,254,13,0,1980-01-06T03:03:35
1633357254,805200,217395,17.5899658203125,0,9,13,0,1980-01-06T03:03:36
1633357255,805200,218395,17.5899658203125,0,21,13,0,1980-01-06T03:03:37
1633357256,805200,219395,17.545654296875,0,34,13,0,1980-01-06T03:03:38
1633357257,805200,220395,17.3678588867188,0,45,13,0,1980-01-06T03:03:39
1633357258,805200,221395,17.3232727050781,0,56,13,0,1980-01-06T03:03:40
1633357259,805200,222395,17.189208984375,0,69,13,0,1980-01-06T03:03:41
1633357260,805200,223395,17.1443786621094,0,81,13,0,1980-01-06T03:03:42
1633357261,805200,224395,17.1443786621094,0,92,13,0,1980-01-06T03:03:43
1633357262,805200,225395,17.189208984375,0,105,13,0,1980-01-06T03:03:44
1633357263,805200,226395,17.0096435546875,0,116,13,0,1980-01-06T03:03:45
1633357264,805200,227395,16.8292236328125,0,127,13,0,1980-01-06T03:03:46
1633357265,805200,228395,16.7839660644531,0,141,13,0,1980-01-06T03:03:47
1633357266,805200,229395,16.8744201660156,0,152,13,0,1980-01-06T03:03:48
1633357267,805200,230395,16.556884765625,0,163,13,0,1980-01-06T03:03:49
1633357268,805200,231395,16.6478881835938,0,176,13,0,1980-01-06T03:03:50
1633357269,805200,232395,16.556884765625,0,187,13,0,1980-01-06T03:03:51
1633357270,805200,233395,16.2365112304688,0,199,13,0,1980-01-06T03:03:52
1633357271,805200,234395,16.3283386230469,0,212,13,0,1980-01-06T03:03:53
1633357272,805200,235395,16.0982971191406,0,223,13,0,1980-01-06T03:03:54
1633357273,805200,236395,16.0521240234375,0,234,13,0,1980-01-06T03:03:55
1633357274,805200,237395,15.9595947265625,0,247,13,0,1980-01-06T03:03:56
1633357275,805200,238395,15.9595947265625,0,3,13,0,1980-01-06T03:03:57
1633357276,805200,239395,15.7737426757813,0,14,13,0,1980-01-06T03:03:58
1633357277,805200,240395,15.5869445800781,0,27,13,0,1980-01-06T03:03:59
1633357278,805200,241395,15.3520202636719,0,38,13,0,1980-01-06T03:04:00
1633357279,805200,242395,15.3991394042969,0,49,13,0,1980-01-06T03:04:01
1633357280,805200,243395,15.3991394042969,0,63,13,0,1980-01-06T03:04:02
1633357281,805200,244395,15.2576293945312,0,74,13,0,1980-01-06T03:04:03
1633357282,805200,245395,15.1629333496094,0,85,13,0,1980-01-06T03:04:04
1633357283,805200,246395,14.9251098632813,1,98,13,0,1980-01-06T03:04:05
1633357284,805200,247395,16.3741455078125,1,109,13,0,1980-01-06T03:04:06
1633357285,805200,248395,16.7386779785156,1,121,13,0,1980-01-06T03:04:07
1633357286,805200,249395,17.6784362792969,1,134,13,0,1980-01-06T03:04:08
1633357287,805200,250395,18.637939453125,1,145,13,0,1980-01-06T03:04:09
1633357288,805200,251395,19.6158142089844,1,156,13,0,1980-01-06T03:04:10
1633357289,805200,252395,19.9918212890625,0,169,13,0,1980-01-06T03:04:11
1633357290,805200,253395,20.5287170410156,0,181,13,0,1980-01-06T03:04:12
1633357291,805200,254395,20.896240234375,0,192,13,0,1980-01-06T03:04:13
1633357292,805200,255395,21.2604370117187,0,205,13,0,1980-01-06T03:04:14
1633357293,805200,256395,21.2604370117187,0,216,13,0,1980-01-06T03:04:15
1633357294,805200,257395,21.2201538085937,0,227,13,0,1980-01-06T03:04:16
1633357295,805200,258395,21.0989685058594,0,241,13,0,1980-01-06T03:04:17
1633357296,805200,259395,21.139404296875,0,252,13,0,1980-01-06T03:04:18
1633357297,805200,260395,21.139404296875,0,7,13,0,1980-01-06T03:04:19
1633357298,805200,261395,20.9774780273437,0,20,13,0,1980-01-06T03:04:20
1633357299,805200,262395,20.8555603027344,0,31,13,0,1980-01-06T03:04:21
1633357300,805200,263395,20.6924743652344,0,43,13,0,1980-01-06T03:04:22
1633357301,805200,264395,20.3230895996094,0,56,13,0,1980-01-06T03:04:23
1633357302,805200,265395,20.2818298339844,0,67,13,0,1980-01-06T03:04:24
1633357303,805200,266395,19.9085693359375,0,78,13,0,1980-01-06T03:04:25
1633357304,805200,267395,19.6996765136719,0,91,13,0,1980-01-06T03:04:26
1633357305,805200,268395,19.6577453613281,0,103,13,0,1980-01-06T03:04:27
1633357306,805200,269395,19.4053344726563,0,114,13,0,1980-01-06T03:04:28
1633357307,805200,270395,19.1512451171875,0,127,13,0,1980-01-06T03:04:29
1633357308,805200,271395,18.9808959960937,0,138,13,0,1980-01-06T03:04:30
1633357309,805200,272395,18.809814453125,0,149,13,0,1980-01-06T03:04:31
1633357310,805200,273395,18.7239685058594,0,163,13,0,1980-01-06T03:04:32
1633357311,805200,274395,18.508544921875,0,174,13,0,1980-01-06T03:04:33
1633357312,805200,275395,18.3352966308594,0,185,13,0,1980-01-06T03:04:34
1633357313,805200,276395,18.0739440917969,0,198,13,0,1980-01-06T03:04:35
