time_s,time_us,time_steady,temperature,seq,srcSystem,srcComponent,time_gregorian
1633357037,76359,1490,9.625,9,10,5,1970-01-01T03:00:01
1633357038,86282,2555,9.6875,19,10,5,1970-01-01T03:00:02
1633357039,96205,3504,9.6875,25,10,5,1970-01-01T03:00:03
1633357040,106128,4494,9.75,35,10,5,1970-01-01T03:00:04
1633357041,116051,5484,9.75,45,10,5,1980-01-06T03:00:03
1633357042,125974,6494,9.6875,51,10,5,1980-01-06T03:00:04
1633357043,126117,7566,9.6875,61,10,5,1980-01-06T03:00:05
1633357044,125959,8496,9.75,71,10,5,1980-01-06T03:00:06
1633357045,136208,9520,9.75,81,10,5,1980-01-06T03:00:07
1633357046,138822,10594,9.75,87,10,5,1980-01-06T03:00:08
1633357047,129027,11514,9.75,97,10,5,1980-01-06T03:00:09
1633357048,135974,12505,9.75,107,10,5,1980-01-06T03:00:10
1633357049,126071,13502,9.75,113,10,5,1980-01-06T03:00:11
1633357050,126653,14494,9.75,123,10,5,1980-01-06T03:00:12
1633357051,125959,15566,9.75,133,10,5,1980-01-06T03:00:13
1633357052,135943,16525,9.8125,139,10,5,1980-01-06T03:00:14
1633357053,145945,17514,9.8125,149,10,5,1980-01-06T03:00:15
1633357054,146663,18514,9.75,159,10,5,1980-01-06T03:00:16
1633357055,126037,19515,9.8125,165,10,5,1980-01-06T03:00:17
1633357056,137950,20581,9.75,175,10,5,1980-01-06T03:00:18
1633357057,145963,21522,9.75,185,10,5,1980-01-06T03:00:19
1633357058,139237,22517,9.8125,191,10,5,1980-01-06T03:00:20
1633357059,136066,23485,9.8125,201,10,5,1980-01-06T03:00:21
1633357060,138680,24516,9.8125,211,10,5,1980-01-06T03:00:22
1633357061,138676,25582,9.875,217,10,5,1980-01-06T03:00:23
1633357062,146064,26527,10,227,10,5,1980-01-06T03:00:24
1633357063,136738,27512,10.0625,237,10,5,1980-01-06T03:00:25
1633357064,148756,28614,10.1875,247,10,5,1980-01-06T03:00:26
1633357065,148695,29535,10.3125,253,10,5,1980-01-06T03:00:27
1633357066,158767,30544,10.375,7,10,5,1980-01-06T03:00:28
1633357067,157906,31533,10.4375,17,10,5,1980-01-06T03:00:29
1633357068,148175,32522,10.5,23,10,5,1980-01-06T03:00:30
1633357069,165962,33610,10.5625,33,10,5,1980-01-06T03:00:31
1633357070,175952,34564,10.625,43,10,5,1980-01-06T03:00:32
