time_s,time_us,time_steady,current,voltage,seq,srcSystem,srcComponent,time_gregorian
1633357037,238200,233,nan,nan,2,10,2,1970-01-01T03:00:00
1633357038,680259,1676,nan,nan,12,10,2,1970-01-01T03:00:01
1633357039,137624,3133,nan,nan,28,10,2,1970-01-01T03:00:03
1633357040,687482,4683,nan,nan,38,10,2,1970-01-01T03:00:04
1633357041,908568,6136,0.00457763671875,7.95599985122681,54,10,2,1980-01-06T03:00:03
1633357043,317943,7545,0.00732421875,7.90000009536743,64,10,2,1980-01-06T03:00:05
1633357044,765802,8993,0.00640869140625,7.97599983215332,74,10,2,1980-01-06T03:00:06
1633357046,238071,10465,0.00732421875,7.7519998550415,90,10,2,1980-01-06T03:00:08
1633357047,666884,11894,0.00457763671875,7.82000017166138,100,10,2,1980-01-06T03:00:09
1633357049,95929,13323,nan,nan,116,10,2,1980-01-06T03:00:11
1633357050,648131,14875,0.00640869140625,7.73600006103516,126,10,2,1980-01-06T03:00:12
1633357052,75910,16303,nan,nan,142,10,2,1980-01-06T03:00:14
1633357053,545936,17773,nan,nan,152,10,2,1980-01-06T03:00:15
1633357055,48215,19275,0.00640869140625,7.72399997711182,168,10,2,1980-01-06T03:00:17
1633357056,518556,20746,0.0054931640625,7.72399997711182,178,10,2,1980-01-06T03:00:18
1633357058,18143,22245,0.00732421875,7.73199987411499,194,10,2,1980-01-06T03:00:20
1633357059,445928,23673,nan,nan,204,10,2,1980-01-06T03:00:21
1633357060,895936,25123,0.00457763671875,7.80000019073486,220,10,2,1980-01-06T03:00:22
1633357062,408688,26636,nan,nan,230,10,2,1980-01-06T03:00:24
1633357063,858552,28086,0.00640869140625,7.73600006103516,240,10,2,1980-01-06T03:00:25
1633357065,306929,29534,0.00457763671875,7.80000019073486,0,10,2,1980-01-06T03:00:27
1633357066,738572,30966,0.00457763671875,7.80000019073486,10,10,2,1980-01-06T03:00:28
1633357068,157827,32385,nan,nan,26,10,2,1980-01-06T03:00:30
1633357069,645943,33873,0.00640869140625,7.73600006103516,36,10,2,1980-01-06T03:00:31
1633357071,128047,35355,nan,nan,52,10,2,1980-01-06T03:00:33
1633357072,568579,36796,nan,nan,62,10,2,1980-01-06T03:00:34
1633357074,28541,38256,0.00640869140625,7.73600006103516,78,10,2,1980-01-06T03:00:36
1633357075,477834,39705,0.0054931640625,7.73600006103516,88,10,2,1980-01-06T03:00:37
1633357077,5949,41233,0.00640869140625,7.73199987411499,104,10,2,1980-01-06T03:00:39
1633357078,476254,42703,0.00457763671875,7.7960000038147,114,10,2,1980-01-06T03:00:40
1633357079,978534,44206,0.00640869140625,7.72800016403198,130,10,2,1980-01-06T03:00:41
1633357081,415924,45643,0.00640869140625,7.72800016403198,140,10,2,1980-01-06T03:00:43
1633357082,938111,47165,nan,nan,150,10,2,1980-01-06T03:00:44
1633357084,365920,48593,nan,nan,166,10,2,1980-01-06T03:00:46
1633357085,808583,50036,0.00457763671875,7.79199981689453,176,10,2,1980-01-06T03:00:47
1633357087,285947,51513,nan,nan,192,10,2,1980-01-06T03:00:49
1633357088,728620,52956,nan,nan,202,10,2,1980-01-06T03:00:50
1633357090,175802,54403,0.00457763671875,7.76399993896484,218,10,2,1980-01-06T03:00:52
1633357091,595921,55823,0.00457763671875,7.7960000038147,228,10,2,1980-01-06T03:00:53
1633357093,25943,57253,0.00640869140625,7.72800016403198,244,10,2,1980-01-06T03:00:55
1633357094,456061,58683,0.00457763671875,7.79199981689453,254,10,2,1980-01-06T03:00:56
1633357095,976066,60203,0.0054931640625,7.73199987411499,12,10,2,1980-01-06T03:00:57
1633357097,396465,61623,0.00457763671875,7.7960000038147,24,10,2,1980-01-06T03:00:59
1633357098,816293,63043,0.0054931640625,7.73199987411499,34,10,2,1980-01-06T03:01:00
1633357100,358120,64585,0.00640869140625,7.73199987411499,50,10,2,1980-01-06T03:01:02
1633357101,785930,66013,0.0054931640625,7.73199987411499,60,10,2,1980-01-06T03:01:03
1633357103,238724,67466,0.00457763671875,7.79199981689453,76,10,2,1980-01-06T03:01:05
1633357104,788670,69016,0.0054931640625,7.73199987411499,86,10,2,1980-01-06T03:01:06
1633357107,778354,72005,0.00640869140625,7.72399997711182,112,10,2,1980-01-06T03:01:09
1633357109,216238,73443,0.00457763671875,7.7960000038147,128,10,2,1980-01-06T03:01:11
1633357110,655892,74883,0.00457763671875,7.79199981689453,138,10,2,1980-01-06T03:01:12
1633357112,168039,76395,nan,nan,154,10,2,1980-01-06T03:01:14
1633357113,628586,77856,0.0054931640625,7.72800016403198,164,10,2,1980-01-06T03:01:15
1633357115,136334,79363,0.00457763671875,7.79199981689453,180,10,2,1980-01-06T03:01:17
1633357116,586297,80813,0.00457763671875,7.78399991989136,190,10,2,1980-01-06T03:01:18
1633357118,38608,82266,nan,nan,206,10,2,1980-01-06T03:01:20
1633357119,598102,83825,0.00640869140625,7.73199987411499,216,10,2,1980-01-06T03:01:21
1633357121,25920,85253,nan,nan,232,10,2,1980-01-06T03:01:23
1633357122,468644,86696,nan,nan,242,10,2,1980-01-06T03:01:24
1633357123,997944,88225,0.0054931640625,7.72399997711182,252,10,2,1980-01-06T03:01:25
1633357125,419180,89646,0.00640869140625,7.71999979019165,12,10,2,1980-01-06T03:01:27
1633357126,998160,91225,0.00640869140625,7.72399997711182,28,10,2,1980-01-06T03:01:28
1633357128,465809,92693,0.00457763671875,7.78800010681152,38,10,2,1980-01-06T03:01:30
1633357129,905940,94133,0.00640869140625,7.71999979019165,48,10,2,1980-01-06T03:01:31
1633357131,438107,95665,0.00640869140625,7.7519998550415,64,10,2,1980-01-06T03:01:33
1633357132,875802,97103,0.0054931640625,7.72399997711182,74,10,2,1980-01-06T03:01:34
1633357134,298551,98526,0.00457763671875,7.78800010681152,90,10,2,1980-01-06T03:01:36
1633357135,742097,99969,0.00457763671875,7.71999979019165,100,10,2,1980-01-06T03:01:37
1633357137,265939,101493,0.00640869140625,7.71999979019165,116,10,2,1980-01-06T03:01:39
