time_s,time_us,time_steady,count_tick,delta_time,seq,srcSystem,srcComponent,time_gregorian
1633357129,30600,93551,0,1200,82,13,0,1980-01-06T03:01:31
1633357130,230600,94751,0,1200,93,13,0,1980-01-06T03:01:32
1633357131,430600,95951,0,1200,106,13,0,1980-01-06T03:01:33
1633357132,630600,97151,0,1200,117,13,0,1980-01-06T03:01:34
1633357132,630600,97151,0,1200,128,13,0,1980-01-06T03:01:34
1633357133,830600,98351,0,1200,142,13,0,1980-01-06T03:01:35
1633357135,30700,99551,0,1200,153,13,0,1980-01-06T03:01:37
1633357136,230700,100751,0,1200,164,13,0,1980-01-06T03:01:38
1633357137,430600,101951,0,1200,177,13,0,1980-01-06T03:01:39
1633357138,630600,103151,0,1200,188,13,0,1980-01-06T03:01:40
1633357138,630600,103151,0,1200,200,13,0,1980-01-06T03:01:40
1633357139,830600,104351,0,1200,213,13,0,1980-01-06T03:01:41
1633357141,30600,105551,0,1200,224,13,0,1980-01-06T03:01:43
1633357142,230600,106751,0,1200,235,13,0,1980-01-06T03:01:44
1633357143,430600,107951,0,1200,248,13,0,1980-01-06T03:01:45
1633357144,630600,109151,0,1200,4,13,0,1980-01-06T03:01:46
1633357144,630600,109151,0,1200,15,13,0,1980-01-06T03:01:46
1633357145,830600,110351,0,1200,28,13,0,1980-01-06T03:01:47
1633357147,30600,111551,0,1200,39,13,0,1980-01-06T03:01:49
1633357148,230700,112751,0,1200,50,13,0,1980-01-06T03:01:50
1633357149,430700,113951,0,1200,64,13,0,1980-01-06T03:01:51
1633357150,630700,115151,0,1200,75,13,0,1980-01-06T03:01:52
1633357150,630700,115151,0,1200,86,13,0,1980-01-06T03:01:52
1633357151,830600,116351,0,1200,99,13,0,1980-01-06T03:01:53
1633357153,30600,117551,0,1200,110,13,0,1980-01-06T03:01:55
1633357154,230600,118751,1,1200,122,13,0,1980-01-06T03:01:56
1633357155,430600,119951,0,1200,135,13,0,1980-01-06T03:01:57
1633357156,630600,121151,0,1200,146,13,0,1980-01-06T03:01:58
1633357156,630600,121151,0,1200,157,13,0,1980-01-06T03:01:58
1633357157,830600,122351,0,1200,170,13,0,1980-01-06T03:01:59
1633357159,30600,123551,0,1200,182,13,0,1980-01-06T03:02:01
1633357160,230600,124751,0,1200,193,13,0,1980-01-06T03:02:02
1633357161,430600,125951,0,1200,206,13,0,1980-01-06T03:02:03
1633357162,630600,127151,0,1200,217,13,0,1980-01-06T03:02:04
1633357162,630600,127151,0,1200,228,13,0,1980-01-06T03:02:04
1633357163,830700,128351,0,1200,242,13,0,1980-01-06T03:02:05
1633357165,30700,129551,1,1200,253,13,0,1980-01-06T03:02:07
1633357166,230600,130751,0,1200,8,13,0,1980-01-06T03:02:08
1633357167,430600,131951,0,1200,21,13,0,1980-01-06T03:02:09
1633357168,630600,133151,0,1200,32,13,0,1980-01-06T03:02:10
1633357168,630600,133151,0,1200,44,13,0,1980-01-06T03:02:10
1633357169,830600,134351,0,1200,57,13,0,1980-01-06T03:02:11
1633357171,30600,135551,0,1200,68,13,0,1980-01-06T03:02:13
1633357172,230600,136751,0,1200,79,13,0,1980-01-06T03:02:14
1633357173,430600,137951,0,1200,92,13,0,1980-01-06T03:02:15
1633357174,630600,139151,0,1200,104,13,0,1980-01-06T03:02:16
1633357174,630600,139151,0,1200,115,13,0,1980-01-06T03:02:16
1633357175,830600,140351,0,1200,128,13,0,1980-01-06T03:02:17
1633357177,30600,141551,0,1200,139,13,0,1980-01-06T03:02:19
1633357178,230700,142751,0,1200,150,13,0,1980-01-06T03:02:20
1633357179,430700,143951,0,1200,164,13,0,1980-01-06T03:02:21
1633357180,630600,145151,0,1200,175,13,0,1980-01-06T03:02:22
1633357180,630600,145151,0,1200,186,13,0,1980-01-06T03:02:22
1633357181,830600,146351,0,1200,199,13,0,1980-01-06T03:02:23
