time_s,time_us,time_steady,last_report_time,last_good_report_time,reports_counter,bad_reports_counter,last_mistake,ignorance_depth,punishments_counter,last_punishment_time,seq,srcSystem,srcComponent,time_gregorian
1633357063,654200,28175,28152,28152,28,0,0,0,0,0,68,13,0,1980-01-06T03:00:25
1633357088,654200,53175,53152,53152,53,0,0,0,0,0,108,13,0,1980-01-06T03:00:50
1633357113,654200,78175,78152,78152,78,0,0,0,0,0,150,13,0,1980-01-06T03:01:15
1633357138,654200,103175,103152,103152,103,0,0,0,0,0,190,13,0,1980-01-06T03:01:40
1633357163,654200,128175,128152,128152,128,0,0,0,0,0,230,13,0,1980-01-06T03:02:05
1633357188,654200,153175,153152,153152,153,0,0,0,0,0,16,13,0,1980-01-06T03:02:30
1633357213,654200,178175,178152,178152,178,0,0,0,0,0,56,13,0,1980-01-06T03:02:55
1633357240,585200,203175,203152,203152,203,0,0,0,0,0,96,13,0,1980-01-06T03:03:22
1633357265,585200,228175,228152,228152,228,0,0,0,0,0,138,13,0,1980-01-06T03:03:47
1633357290,585200,253175,253152,253152,253,0,0,0,0,0,178,13,0,1980-01-06T03:04:12
1633357315,585200,278175,278152,278152,278,0,0,0,0,0,218,13,0,1980-01-06T03:04:37
1633357340,585200,303175,303152,303152,303,0,0,0,0,0,4,13,0,1980-01-06T03:05:02
1633357365,585200,328175,328152,328152,328,0,0,0,0,0,44,13,0,1980-01-06T03:05:27
1633357390,585200,353175,353152,353152,353,0,0,0,0,0,84,13,0,1980-01-06T03:05:52
1633357415,585200,378175,378152,378152,378,0,0,0,0,0,126,13,0,1980-01-06T03:06:17
1633357440,748500,403175,403152,403152,403,0,0,0,0,0,166,13,0,1980-01-06T03:06:42
1633357465,748500,428175,428152,428152,428,0,0,0,0,0,206,13,0,1980-01-06T03:07:07
1633357490,748500,453175,453152,453152,453,0,0,0,0,0,248,13,0,1980-01-06T03:07:32
1633357515,748500,478175,478152,478152,478,0,0,0,0,0,32,13,0,1980-01-06T03:07:57
1633357540,748500,503175,503152,503152,503,0,0,0,0,0,72,13,0,1980-01-06T03:08:22
1633357565,748500,528175,528152,528152,528,0,0,0,0,0,114,13,0,1980-01-06T03:08:47
1633357590,748500,553175,553152,553152,553,0,0,0,0,0,154,13,0,1980-01-06T03:09:12
1633357615,748500,578175,578152,578152,578,0,0,0,0,0,194,13,0,1980-01-06T03:09:37
1633357641,16700,603175,603152,603152,603,0,0,0,0,0,236,13,0,1980-01-06T03:10:03
1633357666,16700,628175,628152,628152,628,0,0,0,0,0,20,13,0,1980-01-06T03:10:28
1633357691,16700,653175,653152,653152,653,0,0,0,0,0,60,13,0,1980-01-06T03:10:53
1633357716,16700,678175,678152,678152,678,0,0,0,0,0,102,13,0,1980-01-06T03:11:18
