time_s,time_us,cookie,snr,frame_no,tap_bytes,rssi_bytes,crc_bytes,time_gregorian,log_timestamp,log_timestamp_gregorian
1633357518,9032239,721,10,535,00000000000000000000000000,0a00c890e0,ec05,2021-10-04T17:25:27,1633357518.905443,2021-10-04T17:25:18
1633357519,4533495,722,10,536,00000000000000000000000000,0a00c890e0,3c18,2021-10-04T17:25:23,1633357519.455244,2021-10-04T17:25:19
1633357520,870544,723,13,537,00000000000000000000000000,0d00c890e0,39d3,2021-10-04T17:25:20,1633357520.089102,2021-10-04T17:25:20
1633357520,6393306,724,10,538,00000000000000000000000000,0a00c890e0,3078,2021-10-04T17:25:26,1633357520.641376,2021-10-04T17:25:20
1633357523,2641446,725,13,539,00000000000000000000000000,0d00c890e0,b635,2021-10-04T17:25:25,1633357523.266278,2021-10-04T17:25:23
1633357524,4436826,726,9,541,00000000000000000000000000,0900c890e0,205a,2021-10-04T17:25:28,1633357524.445848,2021-10-04T17:25:24
1633357526,8100638,727,9,545,00000000000000000000000000,0900c890e0,c96c,2021-10-04T17:25:34,1633357526.812427,2021-10-04T17:25:26
1633357530,556550,728,13,547,00000000000000000000000000,0d00c890e0,1ca4,2021-10-04T17:25:30,1633357530.057724,2021-10-04T17:25:30
1633357530,6388354,729,13,548,00000000000000000000000000,0d00c890e0,f8b9,2021-10-04T17:25:36,1633357530.641741,2021-10-04T17:25:30
1633357531,5121014,730,3,1860,00000000000000000000000000,03004407c0,51c3,2021-10-04T17:25:36,1633357531.514127,2021-10-04T17:25:31
1633357533,761775,731,14,552,00000000000000000000000000,0e00c890e0,b29b,2021-10-04T17:25:33,1633357533.078238,2021-10-04T17:25:33
1633357538,1204354,732,12,557,00000000000000000000000000,0c00c890e0,925b,2021-10-04T17:25:39,1633357538.122539,2021-10-04T17:25:38
1633357541,9740393,733,12,560,00000000000000000000000000,0c00c890e0,7a36,2021-10-04T17:25:50,1633357541.978389,2021-10-04T17:25:41
1633357542,5257377,734,13,561,00000000000000000000000000,0d00c890e0,0ed5,2021-10-04T17:25:47,1633357542.527782,2021-10-04T17:25:42
1633357543,1803286,735,12,562,00000000000000000000000000,0c00c890e0,9ce2,2021-10-04T17:25:44,1633357543.18228,2021-10-04T17:25:43
1633357543,7278828,736,4,35507,00000000000000000000000000,0400c890e0,6699,2021-10-04T17:25:50,1633357543.729877,2021-10-04T17:25:43
1633357548,7923209,737,6,3128,00000000000000000000000000,0600c890e0,f35f,2021-10-04T17:25:55,1633357548.794445,2021-10-04T17:25:48
1633357569,2396376,738,0,592,00000000000000000000000000,0000c890e0,cdcd,2021-10-04T17:26:11,1633357569.241692,2021-10-04T17:26:09
1633357573,563962,739,4,595,00000000000000000000000000,0400c890e0,8a48,2021-10-04T17:26:13,1633357573.058286,2021-10-04T17:26:13
1633357573,6038162,740,5,596,00000000000000000000000000,0500c890e0,c3bb,2021-10-04T17:26:19,1633357573.606158,2021-10-04T17:26:13
1633357574,2445025,741,12,597,00000000000000000000000000,0c00c890e0,23c2,2021-10-04T17:26:16,1633357574.246674,2021-10-04T17:26:14
1633357574,7962262,742,11,598,00000000000000000000000000,0b00c890e0,5a34,2021-10-04T17:26:21,1633357574.798266,2021-10-04T17:26:14
1633357575,4497499,743,14,599,00000000000000000000000000,0e00c890e0,9c0d,2021-10-04T17:26:19,1633357575.4518,2021-10-04T17:26:15
1633357581,378289,744,1,605,00000000000000000000000000,0100c890e0,5898,2021-10-04T17:26:21,1633357581.039931,2021-10-04T17:26:21
1633357582,2544012,745,12,607,00000000000000000000000000,0c00c890e0,b4c0,2021-10-04T17:26:24,1633357582.256578,2021-10-04T17:26:22
1633357582,8642327,746,12,608,00000000000000000000000000,0c00c890e0,1e54,2021-10-04T17:26:30,1633357582.866384,2021-10-04T17:26:22
1633357587,3342564,747,11,612,00000000000000000000000000,0b00c890e0,bd30,2021-10-04T17:26:30,1633357587.338315,2021-10-04T17:26:27
1633357592,540058,748,10,1860,00000000000000000000000000,0a00440730,0000,2021-10-04T17:26:32,1633357592.056265,2021-10-04T17:26:32
1633357592,9783623,749,15,618,00000000000000000000000000,0f00c890e0,487c,2021-10-04T17:26:41,1633357592.980503,2021-10-04T17:26:32
1633357593,5459294,750,11,619,00000000000000000000000000,0b00c89e00,7d4f,2021-10-04T17:26:38,1633357593.547943,2021-10-04T17:26:33
1633357595,3309109,751,13,622,00000000000000000000000000,0d00c890e0,735e,2021-10-04T17:26:38,1633357595.332844,2021-10-04T17:26:35
1633357599,2622876,752,4,625,00000000000000000000000000,0400c890e0,fee2,2021-10-04T17:26:41,1633357599.264247,2021-10-04T17:26:39
1633357604,2588372,753,13,630,00000000000000000000000000,0d00c890e0,eef3,2021-10-04T17:26:46,1633357604.260971,2021-10-04T17:26:44
1633357604,8804609,754,12,631,00000000000000000000000000,0c00c890e0,27d8,2021-10-04T17:26:52,1633357604.882484,2021-10-04T17:26:44
1633357606,871322,755,0,633,00000000000000000000000000,0000c89440,0aff,2021-10-04T17:26:46,1633357606.089184,2021-10-04T17:26:46
1633357611,707774,756,14,21118,00000000000000000000000000,0e00c890e0,f9b4,2021-10-04T17:26:51,1633357611.072711,2021-10-04T17:26:51
1633357612,2669701,757,2,640,00000000000000000000000000,0200c88500,8307,2021-10-04T17:26:54,1633357612.268995,2021-10-04T17:26:52
1633357613,2851316,758,12,1988,00000000000000000000000000,0c00c40760,6e12,2021-10-04T17:26:55,1633357613.28899,2021-10-04T17:26:53
1633357616,7787728,759,11,644,00000000000000000000000000,0b00c890e0,319c,2021-10-04T17:27:03,1633357616.780838,2021-10-04T17:26:56
1633357618,214757,760,12,646,00000000000000000000000000,0c00db85e0,d3c8,2021-10-04T17:26:58,1633357618.023551,2021-10-04T17:26:58
1633357619,1614663,761,12,648,00000000000000000000000000,0c00c890e0,ff4d,2021-10-04T17:27:00,1633357619.164016,2021-10-04T17:26:59
1633357619,7211098,762,11,649,00000000000000000000000000,0b00c890e0,5b54,2021-10-04T17:27:06,1633357619.723248,2021-10-04T17:26:59
1633357620,3708591,763,2,650,00000000000000000000000000,0200c890e0,cedd,2021-10-04T17:27:03,1633357620.372853,2021-10-04T17:27:00
1633357623,6246752,764,0,652,00000000000000000000000000,0000c890e0,d603,2021-10-04T17:27:09,1633357623.626827,2021-10-04T17:27:03
1633357631,241830,765,11,661,00000000000000000000000000,0b00c890e0,519b,2021-10-04T17:27:11,1633357631.026705,2021-10-04T17:27:11
1633357631,5256981,766,10,662,00000000000000000000000000,0a00c890e0,84a8,2021-10-04T17:27:16,1633357631.527947,2021-10-04T17:27:11
1633357632,7057538,767,13,664,00000000000000000000000000,0d00c890e0,d812,2021-10-04T17:27:19,1633357632.707721,2021-10-04T17:27:12
1633357638,3569052,768,2,670,00000000000000000000000000,0200c890e0,6bbb,2021-10-04T17:27:21,1633357638.358895,2021-10-04T17:27:18
1633357638,9802742,769,4,671,00000000000000000000000000,0400c890e0,2dd5,2021-10-04T17:27:27,1633357638.982325,2021-10-04T17:27:18
1633357645,3132483,770,2,678,00000000000000000000000000,0200c890e0,5337,2021-10-04T17:27:28,1633357645.315072,2021-10-04T17:27:25
1633357647,9214308,771,0,1959,00000000000000000000000000,0000c09060,02e0,2021-10-04T17:27:36,1633357647.923445,2021-10-04T17:27:27
1633357648,5558309,772,0,680,00000000000000000000000000,0000c890e0,2ef6,2021-10-04T17:27:33,1633357648.558052,2021-10-04T17:27:28
1633357650,2554476,773,1,418,00000000000000000000000000,0100c890e0,2550,2021-10-04T17:27:32,1633357650.257529,2021-10-04T17:27:30
1633357657,7130115,774,7,692,00000000000000000000000000,0700c890e0,c34c,2021-10-04T17:27:44,1633357657.715063,2021-10-04T17:27:37
1633357661,162811,775,1,694,00000000000000000000000000,0100c890e0,5459,2021-10-04T17:27:41,1633357661.018254,2021-10-04T17:27:41
1633357661,6277506,776,3,695,00000000000000000000000000,0300c890e0,b74a,2021-10-04T17:27:47,1633357661.631337,2021-10-04T17:27:41
1633357668,927295,777,5,694,00000000000000000000000000,05005190e0,300d,2021-10-04T17:27:48,1633357668.094857,2021-10-04T17:27:48
1633357668,6398642,778,2,1860,00000000000000000000000000,02004407f0,0c1f,2021-10-04T17:27:54,1633357668.641869,2021-10-04T17:27:48
1633357685,7990489,779,1,722,00000000000000000000000000,0100c890e0,919b,2021-10-04T17:28:12,1633357685.801008,2021-10-04T17:28:05
1633357688,1437752,780,12,726,00000000000000000000000000,0c00c890e0,27f6,2021-10-04T17:28:09,1633357688.146101,2021-10-04T17:28:08
1633357688,7740092,781,10,734,00000000000000000000000000,0a00cc90a0,833d,2021-10-04T17:28:15,1633357688.776329,2021-10-04T17:28:08
1633357697,6940877,782,13,735,00000000000000000000000000,0d00c890e0,0631,2021-10-04T17:28:23,1633357697.696266,2021-10-04T17:28:17
1633357698,2423329,783,15,736,00000000000000000000000000,0f00c890e0,89a1,2021-10-04T17:28:20,1633357698.244321,2021-10-04T17:28:18
1633357698,8613102,784,14,737,00000000000000000000000000,0e00c890e0,2ad4,2021-10-04T17:28:26,1633357698.863459,2021-10-04T17:28:18
1633357699,4030072,785,13,738,00000000000000000000000000,0d00c890e0,cad9,2021-10-04T17:28:23,1633357699.405158,2021-10-04T17:28:19
1633357700,6008920,786,9,740,00000000000000000000000000,0900c89060,9c59,2021-10-04T17:28:26,1633357700.602704,2021-10-04T17:28:20
1633357701,2238950,787,9,741,00000000000000000000000000,0900c890e0,1f22,2021-10-04T17:28:23,1633357701.226258,2021-10-04T17:28:21
1633357705,9803774,788,3,1988,00000000000000000000000000,0300c40770,3f02,2021-10-04T17:28:34,1633357705.9823,2021-10-04T17:28:25
1633357706,8543851,789,12,747,00000000000000000000000000,0c00c890e0,3a0c,2021-10-04T17:28:34,1633357706.857026,2021-10-04T17:28:26
1633357707,4186060,790,11,748,00000000000000000000000000,0b00c890e0,4e66,2021-10-04T17:28:31,1633357707.420526,2021-10-04T17:28:27
1633357712,4884145,791,11,753,00000000000000000000000000,0b00c890e0,34e8,2021-10-04T17:28:36,1633357712.490514,2021-10-04T17:28:32
1633357713,563020,792,10,754,00000000000000000000000000,0a00c890e0,bb23,2021-10-04T17:28:33,1633357713.05829,2021-10-04T17:28:33
1633357713,5927495,793,9,755,00000000000000000000000000,0900c890e0,201f,2021-10-04T17:28:38,1633357713.595185,2021-10-04T17:28:33
1633357723,1355826,794,12,764,00000000000000000000000000,0c00c890e0,bcbe,2021-10-04T17:28:44,1633357723.137739,2021-10-04T17:28:43
1633357730,5108077,795,10,773,00000000000000000000000000,0a00c890e0,edd6,2021-10-04T17:28:55,1633357730.512949,2021-10-04T17:28:50
1633357732,2868058,796,13,776,00000000000000000000000000,0d00c890e0,7f2d,2021-10-04T17:28:54,1633357732.288881,2021-10-04T17:28:52
1633357734,9432377,797,9,777,00000000000000000000000000,0900c890e0,9252,2021-10-04T17:29:03,1633357734.945202,2021-10-04T17:28:54
1633357736,7444193,798,14,780,00000000000000000000000000,0e00c890e0,6502,2021-10-04T17:29:03,1633357736.746635,2021-10-04T17:28:56
1633357737,9155988,799,2,782,00000000000000000000000000,0200c890d0,def2,2021-10-04T17:29:06,1633357737.917635,2021-10-04T17:28:57
1633357738,4600780,800,13,783,00000000000000000000000000,0d00c890e0,1e72,2021-10-04T17:29:02,1633357738.462133,2021-10-04T17:28:58
1633357742,9225969,801,12,787,00000000000000000000000000,0c00c890e0,b445,2021-10-04T17:29:11,1633357742.924706,2021-10-04T17:29:02
1633357744,1686630,802,13,789,00000000000000000000000000,0d00c890e0,92f5,2021-10-04T17:29:05,1633357744.170639,2021-10-04T17:29:04
1633357744,5280759,803,1,1996,00000000000000000000000000,0100cc0740,be41,2021-10-04T17:29:09,1633357744.530286,2021-10-04T17:29:04
1633357751,309166,804,1,797,00000000000000000000000000,0100c890e0,13b9,2021-10-04T17:29:11,1633357751.032771,2021-10-04T17:29:11
1633357756,6340928,805,2,803,00000000000000000000000000,0200c890e0,8083,2021-10-04T17:29:22,1633357756.636234,2021-10-04T17:29:16
1633357761,2184848,806,9,807,00000000000000000000000000,0900c890e0,d65c,2021-10-04T17:29:23,1633357761.220659,2021-10-04T17:29:21
1633357761,4496941,807,14,1860,00000000000000000000000000,0e004407b0,4906,2021-10-04T17:29:25,1633357761.451738,2021-10-04T17:29:21
1633357762,3006777,808,12,809,00000000000000000000000000,0c00c890e0,aae5,2021-10-04T17:29:25,1633357762.302776,2021-10-04T17:29:22
1633357769,6981687,809,11,818,00000000000000000000000000,0b00c890e0,28bb,2021-10-04T17:29:35,1633357769.700015,2021-10-04T17:29:29
1633357772,9561700,810,12,820,00000000000000000000000000,0c00c890e0,f11b,2021-10-04T17:29:41,1633357772.958051,2021-10-04T17:29:32
1633357773,3845262,811,13,1988,00000000000000000000000000,0d00c40750,0000,2021-10-04T17:29:36,1633357773.387253,2021-10-04T17:29:33
1633357774,1082456,812,10,822,00000000000000000000000000,0a00c890e0,7677,2021-10-04T17:29:35,1633357774.110222,2021-10-04T17:29:34
1633357774,7436754,813,12,823,00000000000000000000000000,0c00c890e0,e0b9,2021-10-04T17:29:41,1633357774.745873,2021-10-04T17:29:34
1633357778,6283514,814,12,826,00000000000000000000000000,0c00c890e0,42e6,2021-10-04T17:29:44,1633357778.630158,2021-10-04T17:29:38
1633357779,2343819,815,13,827,00000000000000000000000000,0d00c890e0,0da8,2021-10-04T17:29:41,1633357779.236654,2021-10-04T17:29:39
1633357780,4970898,816,11,829,00000000000000000000000000,0b00c890e0,3c91,2021-10-04T17:29:44,1633357780.49918,2021-10-04T17:29:40
1633357784,9447999,817,14,833,00000000000000000000000000,0e00c890e0,3058,2021-10-04T17:29:53,1633357784.946774,2021-10-04T17:29:44
1633357787,2403187,818,13,837,00000000000000000000000000,0d00c890e0,df35,2021-10-04T17:29:49,1633357787.242191,2021-10-04T17:29:47
1633357787,9038591,819,13,838,00000000000000000000000000,0d00c890e0,950b,2021-10-04T17:29:56,1633357787.90606,2021-10-04T17:29:47
1633357788,4407968,820,13,839,00000000000000000000000000,0d00c890e0,0483,2021-10-04T17:29:52,1633357788.442831,2021-10-04T17:29:48
1633357793,234878,821,12,843,00000000000000000000000000,0c00c890e0,0b95,2021-10-04T17:29:53,1633357793.026616,2021-10-04T17:29:53
1633357793,5727908,822,12,844,00000000000000000000000000,0c00c890e0,4263,2021-10-04T17:29:58,1633357793.57498,2021-10-04T17:29:53
1633357794,1624796,823,12,845,00000000000000000000000000,0c00c890e0,d077,2021-10-04T17:29:55,1633357794.164398,2021-10-04T17:29:54
1633357797,5406837,824,13,847,00000000000000000000000000,0d00c890e0,40b7,2021-10-04T17:30:02,1633357797.542798,2021-10-04T17:29:57
1633357798,193996,825,11,58192,00000000000000000000000000,0b00c890e0,7416,2021-10-04T17:29:58,1633357798.021919,2021-10-04T17:29:58
1633357798,6205303,826,12,849,00000000000000000000000000,0c00c890e0,8402,2021-10-04T17:30:04,1633357798.622958,2021-10-04T17:29:58
1633357803,6211431,827,12,854,00000000000000000000000000,0c00c890e0,51d7,2021-10-04T17:30:09,1633357803.623233,2021-10-04T17:30:03
1633357804,2867765,828,13,967,00000000000000000000000000,0d00c890e0,d193,2021-10-04T17:30:06,1633357804.288861,2021-10-04T17:30:04
1633357804,8312242,829,1,856,00000000000000000000000000,0100c890e0,e8b6,2021-10-04T17:30:12,1633357804.833375,2021-10-04T17:30:04
1633357806,414545,830,13,858,00000000000000000000000000,0d00c890e0,5e8e,2021-10-04T17:30:06,1633357806.043621,2021-10-04T17:30:06
