time_s,time_us,time_steady,temperature,pressure,humidity,altitude,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965014,562200,215152,11.329874590769418,102414.63853867062,63.481523166427976,-90.31253814697266,236,13,1,1980-01-06T03:03:34,1633357257.155241,2021-10-04T17:20:57
315965021,562200,222152,11.217257059882922,101830.78023161388,62.07496447278205,-42.01839065551758,64,13,1,1980-01-06T03:03:41,1633357263.944869,2021-10-04T17:21:03
315965027,562300,228152,11.061496147649654,101303.21565656531,60.937336705870415,1.8140411376953125,135,13,1,1980-01-06T03:03:47,1633357270.745544,2021-10-04T17:21:10
315965035,562200,236152,10.936506937669787,100572.91446031081,60.08976958323438,62.79562759399414,229,13,1,1980-01-06T03:03:55,1633357277.525836,2021-10-04T17:21:17
315965042,562200,243152,10.799463133623817,100069.08691545518,59.651091005546334,105.0765380859375,57,13,1,1980-01-06T03:04:02,1633357284.3654358,2021-10-04T17:21:24
315965056,562200,257152,10.99551197419662,99035.58809498188,58.72614154903972,192.3498992919922,222,13,1,1980-01-06T03:04:16,1633357299.435184,2021-10-04T17:21:39
315965069,562200,270152,10.170396727529532,97992.41121766518,57.94102872546915,281.19384765625,122,13,1,1980-01-06T03:04:29,1633357312.4462929,2021-10-04T17:21:52
315965076,562200,277152,10.094579141828422,97500.05911276116,57.72478605258004,323.39373779296875,204,13,1,1980-01-06T03:04:36,1633357319.235972,2021-10-04T17:21:59
315965082,562200,283152,9.9772047648534,97042.20219050725,57.27663225313519,362.7919006347656,19,13,1,1980-01-06T03:04:42,1633357326.005684,2021-10-04T17:22:06
315965089,562200,290152,9.733891349384157,96491.53973033928,56.31146360649384,410.3763732910156,102,13,1,1980-01-06T03:04:49,1633357332.7959728,2021-10-04T17:22:12
315965097,562200,298152,9.52008063415742,95919.8265270268,55.58978477973036,460.01361083984375,197,13,1,1980-01-06T03:04:57,1633357339.005493,2021-10-04T17:22:19
315965104,562200,305152,9.357343744521154,95390.02967709175,55.715861942417234,506.2289123535156,24,13,1,1980-01-06T03:05:04,1633357345.785497,2021-10-04T17:22:25
315965110,562200,311152,9.190483228767722,94892.66944696593,55.87040284465643,549.8018798828125,95,13,1,1980-01-06T03:05:10,1633357352.025569,2021-10-04T17:22:32
315965117,562200,318152,9.510881074912891,94423.04618461385,56.03233459168309,591.1174926757812,179,13,1,1980-01-06T03:05:17,1633357358.7555249,2021-10-04T17:22:38
315965124,562200,325152,9.363371031394582,93904.3578262929,56.16457324841798,636.9437866210938,6,13,1,1980-01-06T03:05:24,1633357368.1860769,2021-10-04T17:22:48
315965131,562200,332152,8.756203247030863,93241.33239360797,55.807600183863336,695.8223266601562,88,13,1,1980-01-06T03:05:31,1633357374.406164,2021-10-04T17:22:54
315965138,562200,339152,8.530657654503035,92703.53074001444,54.6680860828098,743.8311157226562,173,13,1,1980-01-06T03:05:38,1633357381.2160928,2021-10-04T17:23:01
315965145,562200,346152,8.057997165841176,92146.90390949481,53.18826619885073,793.7586059570312,255,13,1,1980-01-06T03:05:45,1633357387.9561799,2021-10-04T17:23:07
315965151,562200,352152,8.15189461906632,91762.56901831608,52.15259396797657,828.3751220703125,70,13,1,1980-01-06T03:05:51,1633357394.146021,2021-10-04T17:23:14
315965159,562200,360152,7.922226700157466,91122.83707337322,51.135687405950556,886.2584228515625,166,13,1,1980-01-06T03:05:59,1633357400.9659328,2021-10-04T17:23:20
315965166,562200,367152,7.460354899535583,90603.01197229393,50.69255622666674,933.53515625,248,13,1,1980-01-06T03:06:06,1633357407.786581,2021-10-04T17:23:27
315965173,562300,374152,7.754100010240677,90152.07114297523,50.517050537261646,974.7265014648438,75,13,1,1980-01-06T03:06:13,1633357414.6460679,2021-10-04T17:23:34
315965179,562200,380152,7.400400563683888,89624.05119755543,50.53038766868851,1023.171142578125,146,13,1,1980-01-06T03:06:19,1633357421.003401,2021-10-04T17:23:41
315965186,562200,387152,7.168196852496567,89080.51434039547,50.638635174394516,1073.2823486328125,230,13,1,1980-01-06T03:06:26,1633357429.7267249,2021-10-04T17:23:49
315965199,725500,400152,6.890314523415964,88044.7919236779,50.59085996706114,1169.4622802734375,128,13,1,1980-01-06T03:06:39,1633357443.326681,2021-10-04T17:24:03
315965206,725500,407152,6.199736303262966,87538.3151705298,50.63454584766243,1216.8309326171875,210,13,1,1980-01-06T03:06:46,1633357449.5378208,2021-10-04T17:24:09
315965215,725500,416152,5.7477070832756,86770.87873182367,50.8559315879491,1289.0303955078125,61,13,1,1980-01-06T03:06:55,1633357456.9361439,2021-10-04T17:24:16
315965221,725500,422152,5.448576033691848,86364.76709859456,51.05840898696351,1327.4476318359375,132,13,1,1980-01-06T03:07:01,1633357463.117061,2021-10-04T17:24:23
315965228,725500,429152,5.915512748845709,85970.38304148092,51.386254246350425,1364.89599609375,217,13,1,1980-01-06T03:07:08,1633357469.926148,2021-10-04T17:24:29
315965234,725600,435152,5.730894812954671,85437.40632572264,51.4320953411932,1415.726318359375,32,13,1,1980-01-06T03:07:14,1633357476.746724,2021-10-04T17:24:36
315965241,725500,442152,5.421613051320674,84901.03178012777,51.51401667659881,1467.1416015625,114,13,1,1980-01-06T03:07:21,1633357485.6581879,2021-10-04T17:24:45
315965255,725600,456152,4.725336527815512,83880.49276496752,51.561013731331364,1565.6998291015625,25,13,1,1980-01-06T03:07:35,1633357498.7284288,2021-10-04T17:24:58
315965262,725500,463152,4.038581677826369,83310.73081938075,50.87431053707653,1621.14794921875,107,13,1,1980-01-06T03:07:42,1633357504.9662719,2021-10-04T17:25:04
315965269,725500,470152,4.057296866387537,82810.8388005517,47.06780247034168,1670.0521240234375,190,13,1,1980-01-06T03:07:49,1633357511.766324,2021-10-04T17:25:11
315965275,725500,476152,4.080135745925349,82344.4177532517,45.18868098416851,1715.8992919921875,5,13,1,1980-01-06T03:07:55,1633357517.946301,2021-10-04T17:25:17
315965283,725500,484152,4.168953666819493,81780.07677260111,43.46304880016929,1771.6522216796875,101,13,1,1980-01-06T03:08:03,1633357525.2863529,2021-10-04T17:25:25
315965289,725500,490152,3.994489978047045,81374.26433877951,42.429211697336825,1811.93798828125,172,13,1,1980-01-06T03:08:09,1633357531.5077128,2021-10-04T17:25:31
315965296,725500,497152,3.838741775523613,80877.43066957749,41.418839982397785,1861.4820556640625,254,13,1,1980-01-06T03:08:16,1633357538.346361,2021-10-04T17:25:38
315965303,725500,504152,4.296470980518848,80422.21894875966,40.554789254986986,1907.0936279296875,83,13,1,1980-01-06T03:08:23,1633357545.166745,2021-10-04T17:25:45
315965310,725500,511152,4.349444644950563,80017.29873480032,39.795737905775674,1947.842041015625,165,13,1,1980-01-06T03:08:30,1633357554.046473,2021-10-04T17:25:54
315965317,725500,518152,4.233981129704989,79526.26729202233,38.79049285934553,1997.48193359375,247,13,1,1980-01-06T03:08:37,1633357560.297029,2021-10-04T17:26:00
315965324,725500,525152,3.661423890814535,78970.07189169008,38.15095284770202,2054.010498046875,76,13,1,1980-01-06T03:08:44,1633357567.6666,2021-10-04T17:26:07
315965330,725500,531152,3.5678484061325433,78550.84226846723,37.23276748604277,2096.832763671875,147,13,1,1980-01-06T03:08:50,1633357573.886921,2021-10-04T17:26:13
315965338,725500,539152,3.4615848401057745,78090.89658715164,36.30908535845904,2144.028564453125,241,13,1,1980-01-06T03:08:58,1633357580.686712,2021-10-04T17:26:20
315965344,725500,545152,3.3978267617305393,77764.55869225612,35.81315597096853,2177.65087890625,56,13,1,1980-01-06T03:09:04,1633357586.9665048,2021-10-04T17:26:26
315965351,725500,552152,3.4523859105396695,77328.49237344315,34.96277663350436,2222.759521484375,140,13,1,1980-01-06T03:09:11,1633357593.797288,2021-10-04T17:26:33
315965358,725500,559152,3.447627843897885,76835.03232366889,34.15818374992317,2274.05419921875,223,13,1,1980-01-06T03:09:18,1633357600.057132,2021-10-04T17:26:40
315965365,725500,566152,3.212262466637026,76364.34570697845,34.770637091892645,2323.231201171875,49,13,1,1980-01-06T03:09:25,1633357607.4565449,2021-10-04T17:26:47
315965371,725600,572152,2.9848277843288997,75965.07611500633,35.667171364131185,2365.14013671875,120,13,1,1980-01-06T03:09:31,1633357613.746553,2021-10-04T17:26:53
315965385,725500,586152,3.512337572142701,75196.87177248283,33.83220316721498,2446.280029296875,31,13,1,1980-01-06T03:09:45,1633357628.856557,2021-10-04T17:27:08
