time_s,time_us,time_steady,temperature,pressure,humidity,altitude,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965020,561600,221152,11.871786095769881,102020.74671336153,42.19277170369192,-57.75600051879883,50,13,2,1980-01-06T03:03:40,1633357263.356009,2021-10-04T17:21:03
315965027,561700,228152,11.912594121165238,101473.96085424346,42.08792536128999,-12.393661499023438,134,13,2,1980-01-06T03:03:47,1633357270.1548998,2021-10-04T17:21:10
315965035,561600,236152,11.952116871901513,100761.5341155869,41.942182300025074,47.011756896972656,228,13,2,1980-01-06T03:03:55,1633357276.935525,2021-10-04T17:21:16
315965042,561600,243152,12.002243312209998,100211.64845043836,41.85484370715111,93.09510040283203,56,13,2,1980-01-06T03:04:02,1633357283.786085,2021-10-04T17:21:23
315965049,561700,250152,12.018952131794345,99643.69783190159,41.72645856765918,140.90879821777344,139,13,2,1980-01-06T03:04:09,1633357290.565589,2021-10-04T17:21:30
315965055,561600,256152,12.022808013673444,99186.71657152308,41.65056175496782,179.5409698486328,210,13,2,1980-01-06T03:04:15,1633357296.7857969,2021-10-04T17:21:36
315965069,561600,270152,12.00417125277438,98126.5804162895,41.50449955098828,269.7237854003906,121,13,2,1980-01-06T03:04:29,1633357312.4462929,2021-10-04T17:21:52
315965076,561600,277152,11.985534495699744,97659.61690230513,41.428516244750874,309.6986083984375,203,13,2,1980-01-06T03:04:36,1633357319.235972,2021-10-04T17:21:59
315965082,561600,283152,11.972681562014463,97167.68890871004,41.37007687498886,351.9787292480469,18,13,2,1980-01-06T03:04:42,1633357325.4260879,2021-10-04T17:22:05
315965089,561600,290152,11.945690407196185,96670.09697150509,41.31742958817941,394.92364501953125,101,13,2,1980-01-06T03:04:49,1633357332.2152529,2021-10-04T17:22:12
315965096,561600,297152,11.878855201218197,96143.246309328,41.235464476068465,440.5873107910156,185,13,2,1980-01-06T03:04:56,1633357339.005493,2021-10-04T17:22:19
315965104,561600,305152,11.835797931109505,95535.56092409372,41.1944593817524,493.513671875,23,13,2,1980-01-06T03:05:04,1633357345.785497,2021-10-04T17:22:25
315965110,561600,311152,11.78984877731573,95044.40011105794,41.15345198226912,536.4904174804688,94,13,2,1980-01-06T03:05:10,1633357352.025569,2021-10-04T17:22:32
315965117,561600,318152,11.774746612963122,94489.10269126766,41.10670785788992,585.2969970703125,178,13,2,1980-01-06T03:05:17,1633357358.7555249,2021-10-04T17:22:38
315965124,561600,325152,11.71144607906399,93945.53694982648,41.05398936983212,633.2982788085938,5,13,2,1980-01-06T03:05:24,1633357367.5961368,2021-10-04T17:22:47
315965131,561600,332152,11.637863280390615,93411.66784068906,41.01292530054105,680.6630859375,87,13,2,1980-01-06T03:05:31,1633357374.406164,2021-10-04T17:22:54
315965137,561600,338152,11.56749376013695,92913.54308728104,41.00105425462515,725.0565185546875,158,13,2,1980-01-06T03:05:37,1633357381.2160928,2021-10-04T17:23:01
315965144,561600,345152,11.45695909868673,92385.12432186696,40.936571562857644,772.36083984375,243,13,2,1980-01-06T03:05:44,1633357387.9561799,2021-10-04T17:23:07
315965151,561600,352152,11.355421563116488,91898.19710028978,40.918793748854846,816.146728515625,69,13,2,1980-01-06T03:05:51,1633357394.146021,2021-10-04T17:23:14
315965158,561600,359152,11.256454707315516,91353.03262475062,40.90102726423832,865.3926391601562,152,13,2,1980-01-06T03:05:58,1633357400.9659328,2021-10-04T17:23:20
315965165,561600,366152,11.14656306522411,90787.22058743563,40.89489181270486,916.7569580078125,236,13,2,1980-01-06T03:06:05,1633357407.2068129,2021-10-04T17:23:27
315965172,561600,373152,11.034743636079657,90284.08875941846,40.865438523374685,962.6498413085938,62,13,2,1980-01-06T03:06:12,1633357414.0265439,2021-10-04T17:23:34
315965179,561600,380152,10.844522394776869,110000.0,42.74586046345609,-698.2388916015625,145,13,2,1980-01-06T03:06:19,1633357421.003401,2021-10-04T17:23:41
315965186,561600,387152,10.518062544451094,110000.0,45.16267054548059,-698.2388916015625,229,13,2,1980-01-06T03:06:26,1633357429.7267249,2021-10-04T17:23:49
315965199,724900,400152,10.40977838477686,110000.0,45.91091256059234,-698.2388916015625,127,13,2,1980-01-06T03:06:39,1633357442.736532,2021-10-04T17:24:02
315965206,724900,407152,10.252332804321146,110000.0,45.24055507915892,-698.2388916015625,209,13,2,1980-01-06T03:06:46,1633357448.956089,2021-10-04T17:24:08
315965214,725000,415152,10.123163368676638,110000.0,44.68124616853202,-698.2388916015625,49,13,2,1980-01-06T03:06:54,1633357456.3366249,2021-10-04T17:24:16
315965220,724900,421152,10.01198783237653,110000.0,44.383726057394284,-698.2388916015625,120,13,2,1980-01-06T03:07:00,1633357463.117061,2021-10-04T17:24:23
315965227,724900,428152,9.855506889048502,110000.0,44.0103597914315,-698.2388916015625,202,13,2,1980-01-06T03:07:07,1633357469.3264968,2021-10-04T17:24:29
315965234,725000,435152,9.72119697202579,110000.0,43.736113394857995,-698.2388916015625,31,13,2,1980-01-06T03:07:14,1633357476.159569,2021-10-04T17:24:36
315965241,724900,442152,9.565680474159672,108153.50052977397,43.456005301071244,-553.4644775390625,113,13,2,1980-01-06T03:07:21,1633357482.976244,2021-10-04T17:24:42
315965247,724900,448152,9.409521614108325,105021.18948634903,43.25147989113143,-303.2185974121094,184,13,2,1980-01-06T03:07:27,1633357489.216356,2021-10-04T17:24:49
315965254,724900,455152,9.263645061501302,101187.52467383897,43.00076759915772,11.450993537902832,11,13,2,1980-01-06T03:07:34,1633357498.7284288,2021-10-04T17:24:58
315965269,724900,470152,8.839833234691673,94127.77982441764,42.545141660635004,617.1793212890625,189,13,2,1980-01-06T03:07:49,1633357511.766324,2021-10-04T17:25:11
315965275,724900,476152,8.677892012679354,91284.76488336164,42.42804179255711,871.5755615234375,4,13,2,1980-01-06T03:07:55,1633357517.946301,2021-10-04T17:25:17
315965282,724900,483152,8.47996424461619,88302.34242898444,42.322336021891836,1145.460693359375,88,13,2,1980-01-06T03:08:02,1633357525.2863529,2021-10-04T17:25:25
315965288,725000,489152,8.331518701669506,86300.87864076503,42.26915596893761,1333.5050048828125,160,13,2,1980-01-06T03:08:08,1633357531.5077128,2021-10-04T17:25:31
315965295,724900,496152,8.166686597389434,84101.00046090757,42.22745795735341,1544.322509765625,242,13,2,1980-01-06T03:08:15,1633357538.346361,2021-10-04T17:25:38
315965302,724900,503152,8.025310372035255,82399.32761260364,42.2264398879821,1710.489501953125,68,13,2,1980-01-06T03:08:22,1633357545.166745,2021-10-04T17:25:45
315965310,724900,511152,7.891324470692621,80881.59789255793,42.26016500195456,1861.0648193359375,164,13,2,1980-01-06T03:08:30,1633357554.046473,2021-10-04T17:25:54
315965317,724900,518152,7.749306057273702,79914.93178957667,42.31114322130701,1958.170166015625,246,13,2,1980-01-06T03:08:37,1633357560.297029,2021-10-04T17:26:00
315965324,724900,525152,7.436994852463636,110000.0,38.03711761001369,-698.2388916015625,75,13,2,1980-01-06T03:08:44,1633357567.066977,2021-10-04T17:26:07
315965330,724900,531152,7.354418921268461,110000.0,35.83334278330409,-698.2388916015625,146,13,2,1980-01-06T03:08:50,1633357573.296937,2021-10-04T17:26:13
315965338,724900,539152,7.281803573005891,110000.0,36.36032233393574,-698.2388916015625,240,13,2,1980-01-06T03:08:58,1633357580.686712,2021-10-04T17:26:20
315965343,724900,544152,7.220112703288033,110000.0,36.41275286551576,-698.2388916015625,44,13,2,1980-01-06T03:09:03,1633357586.9665048,2021-10-04T17:26:26
315965351,724900,552152,7.141071337709673,110000.0,36.49417878560258,-698.2388916015625,139,13,2,1980-01-06T03:09:11,1633357593.797288,2021-10-04T17:26:33
315965358,724900,559152,7.050463027659862,110000.0,36.535166488995834,-698.2388916015625,222,13,2,1980-01-06T03:09:18,1633357600.057132,2021-10-04T17:26:40
315965365,724900,566152,6.918406397256353,110000.0,36.55902131553856,-698.2388916015625,48,13,2,1980-01-06T03:09:25,1633357606.866993,2021-10-04T17:26:46
315965371,725000,572152,6.842578345912466,109201.25545833043,36.58832887057161,-635.8577880859375,119,13,2,1980-01-06T03:09:31,1633357613.126853,2021-10-04T17:26:53
315965385,724900,586152,6.690922433181754,102545.06099699184,36.64690634867427,-101.0693359375,30,13,2,1980-01-06T03:09:45,1633357628.856557,2021-10-04T17:27:08
315965392,724900,593152,6.590675443471104,99210.9780729259,36.68207450801429,177.48727416992188,112,13,2,1980-01-06T03:09:52,1633357635.666764,2021-10-04T17:27:15
315965399,724900,600152,6.4827172706236755,96192.55871384016,36.65375374136912,436.30535888671875,197,13,2,1980-01-06T03:09:59,1633357642.516924,2021-10-04T17:27:22
315965407,993100,608152,6.380221386007269,92512.79908755423,36.63695847841828,760.9113159179688,34,13,2,1980-01-06T03:10:07,1633357649.3266199,2021-10-04T17:27:29
315965413,993100,614152,6.291541654420962,88838.24472705253,36.55661600014849,1095.6993408203125,106,13,2,1980-01-06T03:10:13,1633357655.577081,2021-10-04T17:27:35
315965420,993100,621152,6.1980424659949,85259.22982693976,36.45324862132846,1432.7764892578125,190,13,2,1980-01-06T03:10:20,1633357662.958592,2021-10-04T17:27:42
315965426,993100,627152,6.106471189201057,82302.05997202075,36.396058123587984,1720.0716552734375,5,13,2,1980-01-06T03:10:26,1633357668.617177,2021-10-04T17:27:48
315965433,993200,634152,6.029037304391409,79159.0853028309,36.35611287053473,2034.763916015625,88,13,2,1980-01-06T03:10:33,1633357675.4377449,2021-10-04T17:27:55
315965440,993100,641152,5.9258993280007415,76535.73649963256,36.3393900497299,2305.296142578125,170,13,2,1980-01-06T03:10:40,1633357682.1978278,2021-10-04T17:28:02
315965454,993200,655152,5.736652691572658,72128.16878561466,36.380790800962814,2777.277587890625,81,13,2,1980-01-06T03:10:54,1633357697.319661,2021-10-04T17:28:17
315965462,993100,663152,5.602670167059932,70692.61135246602,36.46218215939827,2936.063232421875,176,13,2,1980-01-06T03:11:02,1633357704.696684,2021-10-04T17:28:24
315965468,993100,669152,5.393503599545534,98046.82588961629,33.77272841084883,276.5411071777344,248,13,2,1980-01-06T03:11:08,1633357710.9468958,2021-10-04T17:28:30
315965475,993200,676152,5.233817619637648,110000.0,30.7081003203669,-698.2388916015625,74,13,2,1980-01-06T03:11:15,1633357717.768144,2021-10-04T17:28:37
315965482,993100,683152,5.222250839243588,110000.0,32.69138845528457,-698.2388916015625,156,13,2,1980-01-06T03:11:22,1633357724.5167449,2021-10-04T17:28:44
315965489,993100,690152,5.148030700107688,110000.0,32.871036444881646,-698.2388916015625,241,13,2,1980-01-06T03:11:29,1633357731.3486528,2021-10-04T17:28:51
315965495,993200,696152,5.079272703265292,110000.0,32.866197332090444,-698.2388916015625,56,13,2,1980-01-06T03:11:35,1633357737.5271518,2021-10-04T17:28:57
315965503,993100,704152,4.965532953625939,108635.77408929287,32.844681157063185,-591.4700927734375,150,13,2,1980-01-06T03:11:43,1633357747.0674129,2021-10-04T17:29:07
