time_s,time_us,time_steady,accel[0],accel[1],accel[2],compass[0],compass[1],compass[2],light_diodes[0],light_diodes[1],light_diodes[2],light_diodes[3],light_diodes[4],light_diodes[5],light_diodes[6],light_diodes[7],light_diodes[8],light_diodes[9],light_dir_real[0],light_dir_real[1],light_dir_real[2],light_dir_measured[0],light_dir_measured[1],light_dir_measured[2],light_dir_error,quaternion[0],quaternion[1],quaternion[2],quaternion[3],flags,last_valid_gps_packet_time,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965029,445000,229431,0.2105683833360672,0.5156532526016235,11.009377479553223,-0.35266992449760437,-0.5125660300254822,-1.2693705558776855,0.0064453124068677425,0.0064453124068677425,0.0064453124068677425,0.004833984188735485,0.0024169920943677425,0.0008056640508584678,0.0032226562034338713,0.0016113281017169356,0.0064453124068677425,0.004833984188735485,0.0,0.0,0.0,1.0,1.5707963705062866,0.0,-1.0,-0.44130921363830566,-0.023938164114952087,-0.00488740811124444,-0.8970224261283875,1,0,161,11,0,1980-01-06T03:03:49,1633357270.745544,2021-10-04T17:21:10
315965119,929000,319832,0.0023928226437419653,0.26440688967704773,10.466205596923828,0.08116059750318527,-0.5744596123695374,-1.4450855255126953,0.0024169920943677425,0.0064453124068677425,0.0040283203125,0.0024169920943677425,0.0032226562034338713,0.0008056640508584678,0.0024169920943677425,0.0024169920943677425,0.0040283203125,0.0008056640508584678,0.0,0.0,0.0,1.0,1.5707963705062866,0.0,-1.0,-0.72746741771698,-0.00033764448016881943,-0.016098514199256897,-0.6859532594680786,1,0,169,11,0,1980-01-06T03:05:19,1633357362.586465,2021-10-04T17:22:42
315965209,581000,409395,-0.4582255482673645,0.6197410225868225,11.645867347717285,-0.09482128918170929,-0.5693257451057434,-1.4376400709152222,0.0032226562034338713,0.008056640625,0.004833984188735485,0.0032226562034338713,0.0008056640508584678,0.0032226562034338713,0.0064453124068677425,0.007250976748764515,0.0040283203125,0.0032226562034338713,0.0,0.0,0.0,1.0,1.5707963705062866,0.0,-1.0,-0.5937820672988892,-0.0073485542088747025,-0.020979436114430428,-0.8043187856674194,1,0,149,11,0,1980-01-06T03:06:49,1633357451.3261409,2021-10-04T17:24:11
315965301,989000,501710,0.7657032608985901,1.2681961059570312,10.41356372833252,-0.6524513363838196,-0.046418700367212296,-1.368707299232483,0.15549317002296448,0.1007080078125,0.43425291776657104,0.37141114473342896,0.4205566346645355,0.015307617373764515,0.01369628868997097,0.01369628868997097,0.011279297061264515,0.0040283203125,0.0,0.0,0.0,0.46207377314567566,1.7359533309936523,-1.243523359298706,0.04359882324934006,-0.15726980566978455,0.02459162287414074,0.05109025537967682,0.9859265685081482,1,0,194,11,0,1980-01-06T03:08:21,1633357543.4067369,2021-10-04T17:25:43
315965391,997000,591629,0.5216353535652161,0.7692924737930298,9.985248565673828,0.37398645281791687,-0.33771970868110657,-1.5121445655822754,0.03061523474752903,0.02980956993997097,0.01611328125,0.00966796837747097,0.01772460900247097,0.03786621242761612,0.03706054762005806,0.3117919862270355,0.46647948026657104,0.46003419160842896,0.0,0.0,0.0,0.49581870436668396,1.5517914295196533,1.465604543685913,4.086924931812064e-08,-0.9851349592208862,-0.06523355841636658,0.02553286962211132,-0.15684936940670013,1,0,183,11,0,1980-01-06T03:09:51,1633357635.076848,2021-10-04T17:27:15
315965481,992000,681534,-0.12681959569454193,1.4656038284301758,10.89571762084961,0.2581518292427063,-0.17304758727550507,-1.5525710582733154,0.01369628868997097,0.01047363318502903,0.01611328125,0.0120849609375,0.01611328125,0.3931640684604645,0.37785643339157104,0.500317394733429,0.22800293564796448,0.20222167670726776,0.0,0.0,0.0,0.4866996705532074,1.5550657510757446,2.622828483581543,0.05463404208421707,0.5737699866294861,-0.0028152482118457556,0.06296759098768234,0.816587507724762,1,0,156,11,0,1980-01-06T03:11:21,1633357723.937144,2021-10-04T17:28:43
315965571,951000,771403,0.29790642857551575,1.2287143468856812,10.388440132141113,0.48623016476631165,0.06784892827272415,-1.469470500946045,0.01369628868997097,0.01369628868997097,0.0120849609375,0.0120849609375,0.01853027381002903,0.4616455137729645,0.3971923887729645,0.46647948026657104,0.10231933742761612,0.14340820908546448,0.0,0.0,0.0,0.49750158190727234,1.7264915704727173,2.844752550125122,0.05370916798710823,0.960981547832489,0.04796444997191429,-0.03028280846774578,-0.2707338333129883,1,0,143,11,0,1980-01-06T03:12:51,1633357812.4872649,2021-10-04T17:30:12
315965663,133000,862495,0.3445664644241333,1.2239288091659546,10.603793144226074,0.3199823498725891,-0.2680797576904297,-1.576720118522644,0.01047363318502903,0.011279297061264515,0.01369628868997097,0.012890624813735485,0.0120849609375,0.2578125,0.2296142578125,0.5011230707168579,0.38591307401657104,0.3988037109375,0.0,0.0,0.0,0.5003541111946106,1.6308578252792358,2.1303257942199707,0.023697979748249054,-0.9903903603553772,-0.07109849154949188,0.012446773238480091,-0.11797056347131729,1,0,144,11,0,1980-01-06T03:14:23,1633357905.037204,2021-10-04T17:31:45
315965753,296000,952568,0.16271193325519562,2.073380708694458,13.417752265930176,0.15532836318016052,0.016613425686955452,-1.6921638250350952,0.00966796837747097,0.0120849609375,0.0120849609375,0.012890624813735485,0.01369628868997097,0.13937988877296448,0.23928222060203552,0.49628907442092896,0.43989259004592896,0.3665771484375,0.0,0.0,0.0,0.5072898864746094,1.3185409307479858,2.0223639011383057,0.05252521112561226,0.06003563478589058,0.03186178207397461,-0.036417774856090546,-0.9970226883888245,1,0,130,11,0,1980-01-06T03:15:53,1633357994.207108,2021-10-04T17:33:14
315965842,702000,1041885,0.2584248483181,0.41156548261642456,10.37767219543457,0.1205890104174614,-0.7905998826026917,-1.5417977571487427,0.34724122285842896,0.26103514432907104,0.02497558668255806,0.0064453124068677425,0.01933593675494194,0.01691894605755806,0.008056640625,0.02578124962747097,0.30534666776657104,0.38994139432907104,0.0,0.0,0.0,0.507157564163208,1.8195232152938843,0.8520483374595642,0.0012200748315081,0.7780997157096863,0.0210711769759655,-0.0017050604801625013,0.6277849078178406,1,0,94,11,0,1980-01-06T03:17:22,1633358084.3371608,2021-10-04T17:34:44
