time_s,time_us,time_steady,deg,vdda,vbat,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965017,383200,217989,25.241636276245117,3.299999952316284,3.2750184535980225,13,13,0,1980-01-06T03:03:37,1633357258.9448,2021-10-04T17:20:58
315965026,383200,226989,24.944238662719727,3.302000045776367,3.273406505584717,120,13,0,1980-01-06T03:03:46,1633357269.545068,2021-10-04T17:21:09
315965036,383200,236989,24.646841049194336,3.299999952316284,3.273406505584717,240,13,0,1980-01-06T03:03:56,1633357278.1152399,2021-10-04T17:21:18
315965045,383200,245989,24.349443435668945,3.299999952316284,3.279853582382202,91,13,0,1980-01-06T03:04:05,1633357288.205232,2021-10-04T17:21:28
315965054,383200,254989,24.349443435668945,3.302000045776367,3.279853582382202,198,13,0,1980-01-06T03:04:14,1633357296.205564,2021-10-04T17:21:36
315965064,383200,264989,24.349443435668945,3.302000045776367,3.279853582382202,60,13,0,1980-01-06T03:04:24,1633357306.8055959,2021-10-04T17:21:46
315965072,383200,272989,24.052043914794922,3.299999952316284,3.279853582382202,155,13,0,1980-01-06T03:04:32,1633357314.816664,2021-10-04T17:21:54
315965082,383200,282989,23.75464630126953,3.302000045776367,3.279853582382202,17,13,0,1980-01-06T03:04:42,1633357324.8352919,2021-10-04T17:22:04
315965091,383200,291989,23.45724868774414,3.299999952316284,3.27662992477417,124,13,0,1980-01-06T03:04:51,1633357333.385716,2021-10-04T17:22:13
315965100,383200,300989,23.45724868774414,3.302000045776367,3.2621243000030518,231,13,0,1980-01-06T03:05:00,1633357343.3956568,2021-10-04T17:22:23
315965109,383200,309989,23.15985107421875,3.299999952316284,3.27662992477417,82,13,0,1980-01-06T03:05:09,1633357351.415817,2021-10-04T17:22:31
315965119,383200,319989,23.15985107421875,3.302000045776367,3.2782416343688965,200,13,0,1980-01-06T03:05:19,1633357361.9861288,2021-10-04T17:22:41
315965128,383200,328989,23.15985107421875,3.302000045776367,3.27662992477417,51,13,0,1980-01-06T03:05:28,1633357369.9656448,2021-10-04T17:22:49
315965137,383200,337989,23.15985107421875,3.302000045776367,3.2717947959899902,157,13,0,1980-01-06T03:05:37,1633357380.046073,2021-10-04T17:23:00
315965146,383200,346989,22.86245346069336,3.302000045776367,3.2750184535980225,8,13,0,1980-01-06T03:05:46,1633357388.5476289,2021-10-04T17:23:08
315965164,383200,364989,22.267658233642578,3.302000045776367,3.2750184535980225,222,13,0,1980-01-06T03:06:04,1633357406.626093,2021-10-04T17:23:26
315965174,383200,374989,21.970260620117188,3.302000045776367,3.2717947959899902,86,13,0,1980-01-06T03:06:14,1633357417.336017,2021-10-04T17:23:37
315965183,383200,383989,21.375465393066406,3.302000045776367,3.212161064147949,193,13,0,1980-01-06T03:06:23,1633357425.3259199,2021-10-04T17:23:45
315965192,383200,392989,21.375465393066406,3.302000045776367,3.273406505584717,43,13,0,1980-01-06T03:06:32,1633357433.246248,2021-10-04T17:23:53
315965201,546500,401989,21.078067779541016,3.302000045776367,3.2621243000030518,150,13,0,1980-01-06T03:06:41,1633357443.9264128,2021-10-04T17:24:03
315965210,546500,410989,20.780670166015625,3.302000045776367,3.27662992477417,1,13,0,1980-01-06T03:06:50,1633357454.5563369,2021-10-04T17:24:14
315965220,546500,420989,20.483272552490234,3.302000045776367,3.2782416343688965,119,13,0,1980-01-06T03:07:00,1633357462.537637,2021-10-04T17:24:22
315965238,546500,438989,20.18587303161621,3.302000045776367,3.2782416343688965,77,13,0,1980-01-06T03:07:18,1633357481.1762838,2021-10-04T17:24:41
315965247,546500,447989,19.88847541809082,3.302000045776367,3.27662992477417,183,13,0,1980-01-06T03:07:27,1633357489.216356,2021-10-04T17:24:49
315965256,546500,456989,19.29368019104004,3.302000045776367,3.2750184535980225,34,13,0,1980-01-06T03:07:36,1633357499.90798,2021-10-04T17:24:59
315965265,546500,465989,19.29368019104004,3.302000045776367,3.273406505584717,141,13,0,1980-01-06T03:07:45,1633357507.317044,2021-10-04T17:25:07
315965274,546500,474989,19.29368019104004,3.302000045776367,3.2750184535980225,248,13,0,1980-01-06T03:07:54,1633357517.946301,2021-10-04T17:25:17
315965284,546500,484989,18.99628257751465,3.302000045776367,3.2750184535980225,110,13,0,1980-01-06T03:08:04,1633357525.866477,2021-10-04T17:25:25
315965303,546500,503989,18.698884963989258,3.302000045776367,3.2717947959899902,81,13,0,1980-01-06T03:08:23,1633357544.586736,2021-10-04T17:25:44
315965312,546500,512989,18.698884963989258,3.302000045776367,3.2782416343688965,187,13,0,1980-01-06T03:08:32,1633357555.256381,2021-10-04T17:25:55
315965320,546500,520989,18.698884963989258,3.302000045776367,3.216996192932129,25,13,0,1980-01-06T03:08:40,1633357563.246428,2021-10-04T17:26:03
315965330,546500,530989,18.401487350463867,3.302000045776367,3.2589011192321777,145,13,0,1980-01-06T03:08:50,1633357573.296937,2021-10-04T17:26:13
315965340,546500,540989,18.401487350463867,3.302000045776367,3.2717947959899902,7,13,0,1980-01-06T03:09:00,1633357581.866508,2021-10-04T17:26:21
315965357,546500,557989,18.401487350463867,3.302000045776367,3.2717947959899902,209,13,0,1980-01-06T03:09:17,1633357599.4669719,2021-10-04T17:26:39
315965367,546500,567989,18.104089736938477,3.302000045776367,3.2524542808532715,71,13,0,1980-01-06T03:09:27,1633357610.096813,2021-10-04T17:26:50
315965376,546500,576989,18.104089736938477,3.302000045776367,3.279853582382202,178,13,0,1980-01-06T03:09:36,1633357618.156924,2021-10-04T17:26:58
315965385,546500,585989,18.104089736938477,3.302000045776367,3.2750184535980225,29,13,0,1980-01-06T03:09:45,1633357626.156796,2021-10-04T17:27:06
315965394,546500,594989,18.104089736938477,3.302000045776367,3.2782416343688965,136,13,0,1980-01-06T03:09:54,1633357637.4466279,2021-10-04T17:27:17
315965403,814700,603989,17.806692123413086,3.302000045776367,3.2524542808532715,243,13,0,1980-01-06T03:10:03,1633357644.907044,2021-10-04T17:27:24
315965412,814700,612989,17.806692123413086,3.302000045776367,3.2717947959899902,93,13,0,1980-01-06T03:10:12,1633357655.577081,2021-10-04T17:27:35
315965423,814700,623989,17.806692123413086,3.302000045776367,3.2717947959899902,225,13,0,1980-01-06T03:10:23,1633357666.236876,2021-10-04T17:27:46
315965431,814700,631989,17.509294509887695,3.302000045776367,3.2556777000427246,62,13,0,1980-01-06T03:10:31,1633357673.6771078,2021-10-04T17:27:53
315965440,814700,640989,17.509294509887695,3.302000045776367,3.27662992477417,169,13,0,1980-01-06T03:10:40,1633357681.616976,2021-10-04T17:28:01
315965449,814700,649989,17.509294509887695,3.302000045776367,3.279853582382202,20,13,0,1980-01-06T03:10:49,1633357692.247112,2021-10-04T17:28:12
315965458,814700,658989,17.211896896362305,3.302000045776367,3.279853582382202,127,13,0,1980-01-06T03:10:58,1633357700.2569919,2021-10-04T17:28:20
315965467,814700,667989,16.61709976196289,3.302000045776367,3.220219850540161,233,13,0,1980-01-06T03:11:07,1633357710.346792,2021-10-04T17:28:30
315965477,814700,677989,16.61709976196289,3.302000045776367,3.27662992477417,97,13,0,1980-01-06T03:11:17,1633357718.9370959,2021-10-04T17:28:38
315965486,814700,686989,16.61709976196289,3.302000045776367,3.257289171218872,204,13,0,1980-01-06T03:11:26,1633357728.9585328,2021-10-04T17:28:48
315965495,814700,695989,16.61709976196289,3.302000045776367,3.2782416343688965,55,13,0,1980-01-06T03:11:35,1633357737.5271518,2021-10-04T17:28:57
315965504,814700,704989,16.3197021484375,3.302000045776367,3.2750184535980225,162,13,0,1980-01-06T03:11:44,1633357748.2868009,2021-10-04T17:29:08
315965513,814700,713989,16.3197021484375,3.302000045776367,3.2605128288269043,13,13,0,1980-01-06T03:11:53,1633357755.636889,2021-10-04T17:29:15
315965522,814700,722989,16.3197021484375,3.302000045776367,3.2717947959899902,119,13,0,1980-01-06T03:12:02,1633357766.3669438,2021-10-04T17:29:26
315965532,814700,732989,16.3197021484375,3.302000045776367,3.2717947959899902,237,13,0,1980-01-06T03:12:12,1633357774.9479718,2021-10-04T17:29:34
315965550,814700,750989,15.724906921386719,3.302000045776367,3.273406505584717,195,13,0,1980-01-06T03:12:30,1633357792.5371568,2021-10-04T17:29:52
315965560,814700,760989,15.724906921386719,3.302000045776367,3.2701830863952637,57,13,0,1980-01-06T03:12:40,1633357803.289029,2021-10-04T17:30:03
