time_s,time_us,time_steady,sd_last_error,sd_error_count,sd_elapsed_time_from_msg,sd_last_state,imi_last_error,imi_error_count,imi_elapsed_time_from_msg,imi_last_state,sins_comm_last_error,sins_comm_error_count,sins_comm_elapsed_time_from_msg,sins_comm_last_state,wifi_last_error,wifi_error_count,wifi_elapsed_time_from_msg,wifi_last_state,network_last_error,network_error_count,network_elapsed_time_from_msg,network_last_state,sensors_last_error,sensors_error_count,sensors_elapsed_time_from_msg,sensors_last_state,time_sync_last_error,time_sync_error_count,time_sync_elapsed_time_from_msg,time_sync_last_state,radio_last_error,radio_error_count,radio_elapsed_time_from_msg,radio_last_state,shift_reg_last_error,shift_reg_error_count,shift_reg_elapsed_time_from_msg,shift_reg_last_state,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965295,870028,496003,0,0,79,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,210,10,0,1980-01-06T03:08:15,1633357537.746393,2021-10-04T17:25:37
315965309,915734,510013,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,252,10,0,1980-01-06T03:08:29,1633357551.3469808,2021-10-04T17:25:51
315965336,905871,537003,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279240208,77,10,0,1980-01-06T03:08:56,1633357580.096572,2021-10-04T17:26:20
315965350,915384,551013,0,0,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,119,10,0,1980-01-06T03:09:10,1633357593.797288,2021-10-04T17:26:33
315965364,905453,565003,0,0,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,161,10,0,1980-01-06T03:09:24,1633357606.866993,2021-10-04T17:26:46
315965392,905491,593003,0,0,91,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278191633,245,10,0,1980-01-06T03:09:52,1633357636.2672238,2021-10-04T17:27:16
315965407,137792,607003,0,0,65,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,31,10,0,1980-01-06T03:10:07,1633357649.3266199,2021-10-04T17:27:29
315965421,137804,621003,0,0,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,73,10,0,1980-01-06T03:10:21,1633357662.366756,2021-10-04T17:27:42
315965434,147271,634013,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,112,10,0,1980-01-06T03:10:34,1633357676.0277638,2021-10-04T17:27:56
315965475,137389,675003,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279240208,235,10,0,1980-01-06T03:11:15,1633357717.768144,2021-10-04T17:28:37
315965489,137778,689003,0,0,72,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278191633,21,10,0,1980-01-06T03:11:29,1633357731.3486528,2021-10-04T17:28:51
315965503,225379,703003,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279240208,63,10,0,1980-01-06T03:11:43,1633357744.3870769,2021-10-04T17:29:04
315965517,225397,717003,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278191633,105,10,0,1980-01-06T03:11:57,1633357760.1388118,2021-10-04T17:29:20
315965530,234897,730013,0,0,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,144,10,0,1980-01-06T03:12:10,1633357773.1773648,2021-10-04T17:29:33
315965544,225398,744003,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,186,10,0,1980-01-06T03:12:24,1633357786.2874289,2021-10-04T17:29:46
315965558,225006,758003,0,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,228,10,0,1980-01-06T03:12:38,1633357799.3789918,2021-10-04T17:29:59
