time_s,time_us,time_steady,rx_packet_start_cnt,rx_packet_done_cnt,rx_cmds_start_cnt,rx_cmds_done_cnt,rx_drops_start_cnt,rx_drops_done_cnt,tx_psize_start_cnt,tx_psize_done_cnt,tx_packet_start_cnt,tx_packet_done_cnt,tx_zeroes_start_cnt,tx_zeroes_done_cnt,tx_empty_buffer_cnt,tx_overruns_cnt,cmds_get_size_cnt,cmds_get_packet_cnt,cmds_set_packet_cnt,cmds_invalid_cnt,restarts_cnt,berr_cnt,arlo_cnt,ovf_cnt,af_cnt,btf_cnt,tx_wrong_size_cnt,rx_wrong_size_cnt,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965322,553000,522254,5,5,30916,30916,463,463,13221,13221,13221,13221,0,0,4006,72,17227,13221,468,0,0,0,0,0,4006,0,0,0,210,11,0,1980-01-06T03:08:42,1633357563.246428,2021-10-04T17:26:03
315965350,29000,549702,5,5,32552,32552,488,488,13919,13919,13919,13919,0,0,4221,72,18140,13919,493,0,0,0,0,0,4221,0,0,0,138,11,0,1980-01-06T03:09:10,1633357592.01668,2021-10-04T17:26:32
315965363,256000,562916,5,5,33333,33333,500,500,14252,14252,14252,14252,0,0,4324,72,18576,14252,505,0,0,0,0,0,4324,0,0,0,216,11,0,1980-01-06T03:09:23,1633357605.696517,2021-10-04T17:26:45
315965377,502000,577148,5,5,34181,34181,512,512,14615,14615,14615,14615,0,0,4434,72,19049,14615,517,0,0,0,0,0,4434,0,0,0,68,11,0,1980-01-06T03:09:37,1633357618.7476208,2021-10-04T17:26:58
315965390,729000,590362,5,5,34973,34973,524,524,14954,14954,14954,14953,0,0,4536,72,19490,14954,529,0,0,0,0,0,4536,0,0,0,150,11,0,1980-01-06T03:09:50,1633357631.7967288,2021-10-04T17:27:11
315965404,975000,604594,5,5,35821,35821,537,537,15316,15316,15316,15316,0,0,4647,72,19963,15316,542,0,0,0,0,0,4647,0,0,0,255,11,0,1980-01-06T03:10:04,1633357647.587189,2021-10-04T17:27:27
315965419,218000,618823,5,5,36656,36656,550,550,15672,15672,15672,15671,0,0,4757,72,20429,15672,555,0,0,0,0,0,4757,0,0,0,100,11,0,1980-01-06T03:10:19,1633357661.206712,2021-10-04T17:27:41
315965431,431000,631024,5,5,37384,37384,561,561,15983,15983,15983,15983,0,0,4852,72,20835,15983,566,0,0,0,0,0,4852,0,0,0,156,11,0,1980-01-06T03:10:31,1633357674.2668328,2021-10-04T17:27:54
315965445,676000,645254,5,5,38237,38237,574,574,16348,16348,16348,16347,0,0,4962,72,21310,16348,579,0,0,0,0,0,4962,0,0,0,8,11,0,1980-01-06T03:10:45,1633357687.226645,2021-10-04T17:28:07
315965458,902000,658467,5,5,39030,39030,586,586,16687,16687,16687,16687,0,0,5065,72,21752,16687,591,0,0,0,0,0,5065,0,0,0,91,11,0,1980-01-06T03:10:58,1633357700.2569919,2021-10-04T17:28:20
315965486,375000,685912,5,5,40650,40650,611,611,17378,17378,17378,17377,0,0,5278,72,22656,17378,616,0,0,0,0,0,5278,0,0,0,14,11,0,1980-01-06T03:11:26,1633357729.5785449,2021-10-04T17:28:49
315965500,623000,700146,5,5,41502,41502,624,624,17742,17742,17742,17742,0,0,5389,72,23131,17742,629,0,0,0,0,0,5389,0,0,0,122,11,0,1980-01-06T03:11:40,1633357742.5968769,2021-10-04T17:29:02
315965514,867000,714376,5,5,42353,42353,637,637,18106,18106,18106,18106,0,0,5499,72,23605,18106,642,0,0,0,0,0,5499,0,0,0,231,11,0,1980-01-06T03:11:54,1633357756.216804,2021-10-04T17:29:16
315965528,96000,727591,5,5,43125,43125,648,648,18436,18436,18435,18435,0,0,5601,72,24037,18435,653,0,0,0,0,0,5601,0,0,0,46,11,0,1980-01-06T03:12:08,1633357769.3076198,2021-10-04T17:29:29
315965556,589000,756057,5,5,44823,44823,674,674,19162,19162,19161,19160,0,0,5821,72,24983,19161,679,0,0,0,0,0,5821,0,0,0,5,11,0,1980-01-06T03:12:36,1633357798.21796,2021-10-04T17:29:58
315965569,815000,769270,5,5,45614,45614,686,686,19500,19500,19499,19499,0,0,5924,72,25424,19499,691,0,0,0,0,0,5924,0,0,0,87,11,0,1980-01-06T03:12:49,1633357811.2685769,2021-10-04T17:30:11
315965584,62000,783503,5,5,46453,46453,699,699,19859,19859,19857,19856,0,0,6033,72,25892,19857,704,0,0,0,0,0,6033,0,0,0,187,11,0,1980-01-06T03:13:04,1633357825.6369798,2021-10-04T17:30:25
315965597,290000,796716,5,5,47234,47234,711,711,20192,20192,20190,20190,0,0,6136,72,26328,20190,716,0,0,0,0,0,6136,0,0,0,11,11,0,1980-01-06T03:13:17,1633357840.959101,2021-10-04T17:30:40
315965611,540000,810952,5,5,48085,48085,724,724,20556,20556,20554,20554,0,0,6246,72,26802,20554,729,0,0,0,0,0,6246,0,0,0,119,11,0,1980-01-06T03:13:31,1633357853.9573848,2021-10-04T17:30:53
315965624,773000,824173,5,5,48875,48875,736,736,20894,20894,20892,20892,0,0,6348,72,27242,20892,741,0,0,0,0,0,6348,0,0,0,201,11,0,1980-01-06T03:13:44,1633357867.647217,2021-10-04T17:31:07
315965639,23000,838409,5,5,49715,49715,749,749,21252,21252,21250,21250,0,0,6459,72,27711,21250,754,0,0,0,0,0,6459,0,0,0,47,11,0,1980-01-06T03:13:59,1633357880.757053,2021-10-04T17:31:20
315965653,272000,852643,5,5,50557,50557,762,762,21611,21611,21609,21609,0,0,6570,72,28181,21609,767,0,0,0,0,0,6570,0,0,0,150,11,0,1980-01-06T03:14:13,1633357894.337004,2021-10-04T17:31:34
315965667,515000,866872,5,5,51407,51407,774,774,21975,21975,21973,21973,0,0,6680,72,28655,21973,779,0,0,0,0,0,6680,0,0,0,2,11,0,1980-01-06T03:14:27,1633357910.117244,2021-10-04T17:31:50
315965681,765000,881108,5,5,52258,52258,787,787,22339,22339,22337,22337,0,0,6790,72,29129,22337,792,0,0,0,0,0,6790,0,0,0,110,11,0,1980-01-06T03:14:41,1633357923.1288478,2021-10-04T17:32:03
315965694,992000,894321,5,5,53043,53043,799,799,22674,22674,22672,22672,0,0,6893,72,29567,22672,804,0,0,0,0,0,6893,0,0,0,187,11,0,1980-01-06T03:14:54,1633357936.1770809,2021-10-04T17:32:16
315965708,219000,907534,5,5,53817,53817,811,811,23004,23004,23002,23002,0,0,6995,72,29999,23002,816,0,0,0,0,0,6995,0,0,0,7,11,0,1980-01-06T03:15:08,1633357949.8171759,2021-10-04T17:32:29
315965721,443000,920745,5,5,54610,54610,823,823,23343,23343,23341,23341,0,0,7098,72,30441,23341,828,0,0,0,0,0,7098,0,0,0,89,11,0,1980-01-06T03:15:21,1633357962.96712,2021-10-04T17:32:42
315965735,688000,934977,5,5,55462,55462,836,836,23707,23707,23705,23705,0,0,7209,72,30916,23705,841,0,0,0,0,0,7209,0,0,0,197,11,0,1980-01-06T03:15:35,1633357978.217548,2021-10-04T17:32:58
315965748,924000,948200,5,5,56250,56250,848,848,24044,24044,24042,24042,0,0,7311,72,31355,24042,853,0,0,0,0,0,7311,0,0,0,22,11,0,1980-01-06T03:15:48,1633357991.278456,2021-10-04T17:33:11
315965763,175000,962437,5,5,57082,57082,861,861,24398,24398,24396,24396,0,0,7422,72,31820,24396,866,0,0,0,0,0,7422,0,0,0,120,11,0,1980-01-06T03:16:03,1633358005.557008,2021-10-04T17:33:25
315965777,419000,976666,5,5,57934,57934,874,874,24762,24762,24760,24760,0,0,7533,72,32295,24760,879,0,0,0,0,0,7533,0,0,0,229,11,0,1980-01-06T03:16:17,1633358017.987109,2021-10-04T17:33:37
315965790,651000,989885,5,5,58725,58725,886,886,25100,25100,25098,25098,0,0,7636,72,32736,25098,891,0,0,0,0,0,7636,0,0,0,55,11,0,1980-01-06T03:16:30,1633358031.587884,2021-10-04T17:33:51
315965804,899000,1004119,5,5,59579,59579,898,898,25465,25465,25463,25463,0,0,7748,72,33213,25463,903,0,0,0,0,0,7748,0,0,0,163,11,0,1980-01-06T03:16:44,1633358046.717053,2021-10-04T17:34:06
