time_s,time_us,time_steady,last_report_time,last_good_report_time,reports_counter,bad_reports_counter,last_mistake,ignorance_depth,punishments_counter,last_punishment_time,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965585,81000,784520,784520,784520,19885,1,-11,0,0,0,213,11,0,1980-01-06T03:13:05,1633357825.6369798,2021-10-04T17:30:25
315965598,308000,797733,797733,797733,20222,1,-11,0,0,0,38,11,0,1980-01-06T03:13:18,1633357840.959101,2021-10-04T17:30:40
315965611,540000,810952,810952,810952,20560,1,-11,0,0,0,120,11,0,1980-01-06T03:13:31,1633357854.5574958,2021-10-04T17:30:54
315965625,790000,825189,825189,825189,20924,1,-11,0,0,0,228,11,0,1980-01-06T03:13:45,1633357867.647217,2021-10-04T17:31:07
315965639,23000,838409,838409,838409,21256,1,-11,0,0,0,48,11,0,1980-01-06T03:13:59,1633357880.757053,2021-10-04T17:31:20
315965653,272000,852643,852643,852643,21615,1,-11,0,0,0,151,11,0,1980-01-06T03:14:13,1633357894.337004,2021-10-04T17:31:34
315965667,515000,866872,866872,866872,21979,1,-11,0,0,0,3,11,0,1980-01-06T03:14:27,1633357910.117244,2021-10-04T17:31:50
315965681,765000,881108,881108,881108,22343,1,-11,0,0,0,111,11,0,1980-01-06T03:14:41,1633357923.1288478,2021-10-04T17:32:03
315965694,992000,894321,894321,894321,22676,1,-11,0,0,0,188,11,0,1980-01-06T03:14:54,1633357936.7872329,2021-10-04T17:32:16
315965709,235000,908550,908550,908550,23034,1,-11,0,0,0,34,11,0,1980-01-06T03:15:09,1633357949.8171759,2021-10-04T17:32:29
315965722,459000,921761,921761,921761,23372,1,-11,0,0,0,116,11,0,1980-01-06T03:15:22,1633357962.96712,2021-10-04T17:32:42
315965735,688000,934977,934977,934977,23710,1,-11,0,0,0,198,11,0,1980-01-06T03:15:35,1633357978.8073049,2021-10-04T17:32:58
315965749,942000,949217,949217,949217,24072,1,-11,0,0,0,48,11,0,1980-01-06T03:15:49,1633357991.856973,2021-10-04T17:33:11
315965764,192000,963453,963453,963453,24428,1,-11,0,0,0,148,11,0,1980-01-06T03:16:04,1633358005.557008,2021-10-04T17:33:25
315965777,419000,976666,976666,976666,24766,1,-11,0,0,0,230,11,0,1980-01-06T03:16:17,1633358018.566792,2021-10-04T17:33:38
315965791,668000,990901,990901,990901,25130,1,-11,0,0,0,82,11,0,1980-01-06T03:16:31,1633358034.27704,2021-10-04T17:33:54
315965804,899000,1004119,1004119,1004119,25468,1,-11,0,0,0,164,11,0,1980-01-06T03:16:44,1633358047.3168519,2021-10-04T17:34:07
315965819,145000,1018351,1018351,1018351,25821,1,-11,0,0,0,5,11,0,1980-01-06T03:16:59,1633358061.0680609,2021-10-04T17:34:21
315965832,377000,1031569,1031569,1031569,26159,1,-11,0,0,0,87,11,0,1980-01-06T03:17:12,1633358074.227108,2021-10-04T17:34:34
315965846,623000,1045801,1045801,1045801,26523,1,-11,0,0,0,195,11,0,1980-01-06T03:17:26,1633358087.846745,2021-10-04T17:34:47
