time_s,time_us,time_steady,last_report_time,last_good_report_time,reports_counter,bad_reports_counter,last_mistake,ignorance_depth,punishments_counter,last_punishment_time,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965012,585200,213175,213175,213175,1061,0,0,0,0,0,216,13,2,1980-01-06T03:03:32,1633357253.335481,2021-10-04T17:20:53
315965037,585200,238175,238175,238175,1186,0,0,0,0,0,0,13,2,1980-01-06T03:03:57,1633357280.765025,2021-10-04T17:21:20
315965087,585200,288175,288175,288175,1436,0,0,0,0,0,82,13,2,1980-01-06T03:04:47,1633357330.415524,2021-10-04T17:22:10
315965112,585200,313175,313175,313175,1561,0,0,0,0,0,122,13,2,1980-01-06T03:05:12,1633357355.245705,2021-10-04T17:22:35
315965137,585200,338175,338175,338175,1686,0,0,0,0,0,162,13,2,1980-01-06T03:05:37,1633357380.636304,2021-10-04T17:23:00
315965187,585200,388175,388175,388175,1936,0,0,0,0,0,244,13,2,1980-01-06T03:06:27,1633357430.306272,2021-10-04T17:23:50
315965212,748500,413175,413175,413175,2061,0,0,0,0,0,28,13,2,1980-01-06T03:06:52,1633357455.149633,2021-10-04T17:24:15
315965262,748500,463175,463175,463175,2311,0,0,0,0,0,110,13,2,1980-01-06T03:07:42,1633357504.9662719,2021-10-04T17:25:04
315965287,748500,488175,488175,488175,2436,0,0,0,0,0,150,13,2,1980-01-06T03:08:07,1633357530.306272,2021-10-04T17:25:30
315965312,748500,513175,513175,513175,2561,0,0,0,0,0,192,13,2,1980-01-06T03:08:32,1633357555.256381,2021-10-04T17:25:55
315965337,748500,538175,538175,538175,2686,0,0,0,0,0,232,13,2,1980-01-06T03:08:57,1633357580.096572,2021-10-04T17:26:20
315965362,748500,563175,563175,563175,2811,0,0,0,0,0,16,13,2,1980-01-06T03:09:22,1633357605.1073048,2021-10-04T17:26:45
315965387,748500,588175,588175,588175,2936,0,0,0,0,0,58,13,2,1980-01-06T03:09:47,1633357630.0185409,2021-10-04T17:27:10
315965413,16700,613175,613175,613175,3061,0,0,0,0,0,98,13,2,1980-01-06T03:10:13,1633357654.986733,2021-10-04T17:27:34
315965438,16700,638175,638175,638175,3186,0,0,0,0,0,138,13,2,1980-01-06T03:10:38,1633357679.837061,2021-10-04T17:27:59
315965463,16700,663175,663175,663175,3311,0,0,0,0,0,180,13,2,1980-01-06T03:11:03,1633357704.696684,2021-10-04T17:28:24
315965488,16700,688175,688175,688175,3436,0,0,0,0,0,220,13,2,1980-01-06T03:11:28,1633357729.5785449,2021-10-04T17:28:49
315965513,16700,713175,713175,713175,3561,0,0,0,0,0,4,13,2,1980-01-06T03:11:53,1633357755.056813,2021-10-04T17:29:15
315965538,16700,738175,738175,738175,3686,0,0,0,0,0,46,13,2,1980-01-06T03:12:18,1633357780.0767999,2021-10-04T17:29:40
315965563,16700,763175,763175,763175,3811,0,0,0,0,0,86,13,2,1980-01-06T03:12:43,1633357805.058729,2021-10-04T17:30:05
315965588,16700,788175,788175,788175,3936,0,0,0,0,0,126,13,2,1980-01-06T03:13:08,1633357830.1794128,2021-10-04T17:30:30
315965613,143800,813175,813175,813175,4061,0,0,0,0,0,168,13,2,1980-01-06T03:13:33,1633357855.1684449,2021-10-04T17:30:55
315965638,143800,838175,838175,838175,4186,0,0,0,0,0,208,13,2,1980-01-06T03:13:58,1633357880.1670399,2021-10-04T17:31:20
315965663,143800,863175,863175,863175,4311,0,0,0,0,0,248,13,2,1980-01-06T03:14:23,1633357905.037204,2021-10-04T17:31:45
315965688,143800,888175,888175,888175,4436,0,0,0,0,0,34,13,2,1980-01-06T03:14:48,1633357929.956929,2021-10-04T17:32:09
315965713,143800,913175,913175,913175,4561,0,0,0,0,0,74,13,2,1980-01-06T03:15:13,1633357954.906937,2021-10-04T17:32:34
315965738,143800,938175,938175,938175,4686,0,0,0,0,0,114,13,2,1980-01-06T03:15:38,1633357979.987764,2021-10-04T17:32:59
