time_s,time_us,time_steady,resets_count,reset_cause,active_oscillator,time_base,time_syncs_attempted,time_syncs_performed,last_time_sync_time_steady,last_time_sync_delta_s,last_time_sync_delta_us,seq,srcSystem,srcComponent,time_gregorian
1,14000,1066,1,2,1,0,0,0,0,0,0,3,12,0,1970-01-01T03:00:01
5,818000,6070,1,2,1,0,1,0,0,0,0,65,12,0,1970-01-01T03:00:05
315964804,524000,7072,1,2,1,1,1,1,6530,315964797,744000,77,12,0,1980-01-06T03:00:04
315964805,485000,8072,1,2,1,1,2,1,6530,315964797,744000,117,12,0,1980-01-06T03:00:05
315964806,447000,9075,1,2,1,1,3,1,6530,315964797,744000,137,12,0,1980-01-06T03:00:06
315964807,407000,10075,1,2,1,1,4,1,6530,315964797,744000,167,12,0,1980-01-06T03:00:07
315964808,369000,11077,1,2,1,1,5,1,6530,315964797,744000,178,12,0,1980-01-06T03:00:08
315964809,329000,12077,1,2,1,1,6,1,6530,315964797,744000,198,12,0,1980-01-06T03:00:09
315964810,291000,13079,1,2,1,1,6,1,6530,315964797,744000,227,12,0,1980-01-06T03:00:10
315964811,251000,14079,1,2,1,1,7,1,6530,315964797,744000,237,12,0,1980-01-06T03:00:11
315964812,212000,15081,1,2,1,1,8,1,6530,315964797,744000,245,12,0,1980-01-06T03:00:12
315964813,176000,16084,1,2,1,1,9,1,6530,315964797,744000,255,12,0,1980-01-06T03:00:13
315964814,442000,17086,1,2,1,1,10,2,16499,0,394,7,12,0,1980-01-06T03:00:14
315964815,405000,18089,1,2,1,1,11,2,16499,0,394,17,12,0,1980-01-06T03:00:15
315964816,367000,19091,1,2,1,1,12,2,16499,0,394,25,12,0,1980-01-06T03:00:16
315964817,327000,20091,1,2,1,1,13,2,16499,0,394,35,12,0,1980-01-06T03:00:17
315964818,288000,21093,1,2,1,1,14,2,16499,0,394,43,12,0,1980-01-06T03:00:18
315964819,252000,22096,1,2,1,1,15,2,16499,0,394,53,12,0,1980-01-06T03:00:19
315964820,213000,23098,1,2,1,1,15,2,16499,0,394,61,12,0,1980-01-06T03:00:20
315964821,176000,24101,1,2,1,1,16,2,16499,0,394,71,12,0,1980-01-06T03:00:21
315964822,445000,25103,1,2,1,1,17,3,24232,0,396,79,12,0,1980-01-06T03:00:22
