time_s,time_us,time_steady,current,voltage,seq,srcSystem,srcComponent,time_gregorian
315964896,298551,98526,0.00457763671875,7.788000106811523,90,10,2,1980-01-06T03:01:36
315964897,742097,99969,0.00457763671875,7.71999979019165,100,10,2,1980-01-06T03:01:37
315964899,265939,101493,0.00640869140625,7.71999979019165,116,10,2,1980-01-06T03:01:39
315964900,798836,103026,0.00640869140625,7.71999979019165,126,10,2,1980-01-06T03:01:40
315964902,235944,104463,0.00457763671875,7.783999919891357,142,10,2,1980-01-06T03:01:42
315964903,676236,105903,0.00457763671875,7.783999919891357,152,10,2,1980-01-06T03:01:43
315964905,228086,107455,0.00640869140625,7.71999979019165,168,10,2,1980-01-06T03:01:45
315964906,656112,108883,0.00640869140625,7.71999979019165,178,10,2,1980-01-06T03:01:46
315964908,125927,110353,0.00457763671875,7.788000106811523,194,10,2,1980-01-06T03:01:48
315964909,565801,111793,0.00457763671875,7.78000020980835,204,10,2,1980-01-06T03:01:49
315964911,28739,113256,0.00640869140625,7.71999979019165,214,10,2,1980-01-06T03:01:51
315964912,475950,114703,0.00457763671875,7.776000022888184,230,10,2,1980-01-06T03:01:52
315964913,956641,116184,0.0054931640625,7.716000080108643,240,10,2,1980-01-06T03:01:53
315964915,375909,117603,0.00457763671875,7.788000106811523,0,10,2,1980-01-06T03:01:55
315964916,808746,119036,nan,nan,10,10,2,1980-01-06T03:01:56
315964918,295985,120523,0.00640869140625,7.716000080108643,26,10,2,1980-01-06T03:01:58
315964919,728704,121956,nan,nan,36,10,2,1980-01-06T03:01:59
315964921,255918,123483,0.00457763671875,7.78000020980835,52,10,2,1980-01-06T03:02:01
315964922,687850,124915,0.0054931640625,7.723999977111816,62,10,2,1980-01-06T03:02:02
315964924,118553,126346,0.00640869140625,7.716000080108643,78,10,2,1980-01-06T03:02:04
315964925,658135,127885,0.00640869140625,7.716000080108643,88,10,2,1980-01-06T03:02:05
315964927,95810,129323,0.00457763671875,7.78000020980835,98,10,2,1980-01-06T03:02:07
315964928,519197,130746,0.00457763671875,7.78000020980835,114,10,2,1980-01-06T03:02:08
315964930,58053,132285,0.00640869140625,7.716000080108643,124,10,2,1980-01-06T03:02:10
315964931,476045,133703,0.00640869140625,7.711999893188477,140,10,2,1980-01-06T03:02:11
315964932,925947,135153,0.00457763671875,7.776000022888184,150,10,2,1980-01-06T03:02:12
315964934,355926,136583,nan,nan,166,10,2,1980-01-06T03:02:14
315964935,808658,138036,0.00640869140625,7.716000080108643,176,10,2,1980-01-06T03:02:15
315964937,248555,139476,nan,nan,192,10,2,1980-01-06T03:02:17
315964938,768559,140996,nan,nan,202,10,2,1980-01-06T03:02:18
315964940,218559,142446,0.00457763671875,7.776000022888184,218,10,2,1980-01-06T03:02:20
315964941,655801,143883,0.00457763671875,7.76800012588501,228,10,2,1980-01-06T03:02:21
315964943,85917,145313,0.00640869140625,7.679999828338623,238,10,2,1980-01-06T03:02:23
315964944,518567,146746,0.00640869140625,7.627999782562256,254,10,2,1980-01-06T03:02:24
315964945,955943,148183,0.00457763671875,7.691999912261963,8,10,2,1980-01-06T03:02:25
315964947,448202,149675,0.00640869140625,7.627999782562256,24,10,2,1980-01-06T03:02:27
315964948,899068,151126,nan,nan,34,10,2,1980-01-06T03:02:28
315964950,448029,152675,nan,7.708000183105469,50,10,2,1980-01-06T03:02:30
315964951,918571,154146,0.00457763671875,7.776000022888184,60,10,2,1980-01-06T03:02:31
315964953,355806,155583,0.00457763671875,7.78000020980835,76,10,2,1980-01-06T03:02:33
315964954,848461,157075,0.00640869140625,7.711999893188477,86,10,2,1980-01-06T03:02:34
315964956,278671,158506,nan,nan,102,10,2,1980-01-06T03:02:36
315964957,765942,159993,0.00457763671875,7.776000022888184,112,10,2,1980-01-06T03:02:37
315964959,205814,161433,0.00457763671875,7.76800012588501,122,10,2,1980-01-06T03:02:39
315964960,627401,162854,0.00732421875,7.703999996185303,138,10,2,1980-01-06T03:02:40
315964962,65925,164293,0.00457763671875,7.748000144958496,148,10,2,1980-01-06T03:02:42
315964963,568544,165796,0.00640869140625,7.699999809265137,164,10,2,1980-01-06T03:02:43
315964964,998552,167226,0.00457763671875,7.76800012588501,174,10,2,1980-01-06T03:02:44
315964966,418563,168646,0.0054931640625,7.76800012588501,190,10,2,1980-01-06T03:02:46
315964967,858583,170086,0.00640869140625,7.699999809265137,200,10,2,1980-01-06T03:02:47
315964969,288745,171516,0.00457763671875,7.711999893188477,216,10,2,1980-01-06T03:02:49
315964970,845798,173073,0.00457763671875,7.76800012588501,226,10,2,1980-01-06T03:02:50
315964972,305936,174533,0.00640869140625,7.699999809265137,242,10,2,1980-01-06T03:02:52
315964973,738799,175966,0.00640869140625,7.74399995803833,252,10,2,1980-01-06T03:02:53
315964975,241944,177469,0.0054931640625,7.703999996185303,6,10,2,1980-01-06T03:02:55
315964976,686317,178913,0.00457763671875,7.76800012588501,22,10,2,1980-01-06T03:02:56
315964978,118552,180346,0.00457763671875,7.76800012588501,32,10,2,1980-01-06T03:02:58
315964979,648108,181875,0.00640869140625,7.703999996185303,48,10,2,1980-01-06T03:02:59
315964981,85798,183313,nan,nan,58,10,2,1980-01-06T03:03:01
315964982,547806,184775,0.00457763671875,7.763999938964844,74,10,2,1980-01-06T03:03:02
315964983,965917,186193,0.00457763671875,7.76800012588501,84,10,2,1980-01-06T03:03:03
315964985,395921,187623,0.00640869140625,7.699999809265137,100,10,2,1980-01-06T03:03:05
315964986,855928,189083,0.00457763671875,7.723999977111816,110,10,2,1980-01-06T03:03:06
315964988,288240,190515,nan,nan,126,10,2,1980-01-06T03:03:08
315964989,738638,191966,nan,nan,136,10,2,1980-01-06T03:03:09
315964991,195820,193423,0.00640869140625,7.699999809265137,146,10,2,1980-01-06T03:03:11
315964992,688119,194915,nan,nan,162,10,2,1980-01-06T03:03:12
315964994,145814,196373,0.00640869140625,7.703999996185303,172,10,2,1980-01-06T03:03:14
315964995,588559,197816,0.00457763671875,7.763999938964844,188,10,2,1980-01-06T03:03:15
315964997,88299,199315,nan,nan,198,10,2,1980-01-06T03:03:17
315965000,476672,200773,0.00640869140625,7.703999996185303,214,10,2,1980-01-06T03:03:20
315965001,998819,202295,nan,nan,224,10,2,1980-01-06T03:03:21
315965003,429298,203726,nan,nan,240,10,2,1980-01-06T03:03:23
315965004,866674,205163,nan,nan,250,10,2,1980-01-06T03:03:24
315965006,306533,206603,0.00457763671875,7.76800012588501,10,10,2,1980-01-06T03:03:26
315965007,746617,208043,0.00457763671875,7.760000228881836,20,10,2,1980-01-06T03:03:27
315965009,209512,209506,0.0054931640625,7.699999809265137,30,10,2,1980-01-06T03:03:29
315965010,656691,210953,nan,nan,46,10,2,1980-01-06T03:03:30
315965012,146670,212443,0.00457763671875,7.76800012588501,56,10,2,1980-01-06T03:03:32
315965013,576636,213873,0.00640869140625,7.703999996185303,72,10,2,1980-01-06T03:03:33
315965015,39274,215336,nan,nan,82,10,2,1980-01-06T03:03:35
315965016,549302,216846,0.00640869140625,7.703999996185303,98,10,2,1980-01-06T03:03:36
315965017,996643,218293,nan,nan,108,10,2,1980-01-06T03:03:37
315965019,436677,219733,nan,nan,124,10,2,1980-01-06T03:03:39
315965020,866872,221163,nan,nan,134,10,2,1980-01-06T03:03:40
315965022,309289,222606,0.00457763671875,7.71999979019165,150,10,2,1980-01-06T03:03:42
315965023,817424,224114,0.00457763671875,7.763999938964844,160,10,2,1980-01-06T03:03:43
315965025,246536,225543,0.00457763671875,7.763999938964844,170,10,2,1980-01-06T03:03:45
315965026,699581,226996,0.00640869140625,7.763999938964844,186,10,2,1980-01-06T03:03:46
315965028,218971,228515,0.00640869140625,7.703999996185303,196,10,2,1980-01-06T03:03:48
315965029,677261,229974,nan,nan,212,10,2,1980-01-06T03:03:49
315965031,136669,231433,0.00457763671875,7.76800012588501,222,10,2,1980-01-06T03:03:51
315965032,608918,232905,0.00640869140625,7.699999809265137,238,10,2,1980-01-06T03:03:52
315965034,26659,234323,0.0054931640625,7.699999809265137,248,10,2,1980-01-06T03:03:54
315965035,569673,235866,0.00640869140625,7.703999996185303,8,10,2,1980-01-06T03:03:55
315965037,6528,237303,0.00457763671875,7.76800012588501,18,10,2,1980-01-06T03:03:57
315965038,426657,238723,0.0054931640625,7.699999809265137,34,10,2,1980-01-06T03:03:58
315965040,8830,240305,0.00640869140625,7.699999809265137,44,10,2,1980-01-06T03:04:00
315965041,419965,241716,0.00640869140625,7.688000202178955,54,10,2,1980-01-06T03:04:01
315965042,889976,243186,0.00457763671875,7.75600004196167,70,10,2,1980-01-06T03:04:02
315965044,398949,244695,0.0054931640625,7.691999912261963,80,10,2,1980-01-06T03:04:04
315965045,839475,246136,0.00640869140625,7.611999988555908,96,10,2,1980-01-06T03:04:05
315965047,257266,247554,0.0054931640625,7.676000118255615,106,10,2,1980-01-06T03:04:07
315965048,777074,249073,0.00457763671875,7.676000118255615,122,10,2,1980-01-06T03:04:08
315965050,206666,250503,0.00457763671875,7.671999931335449,132,10,2,1980-01-06T03:04:10
315965051,676635,251973,0.00457763671875,7.73199987411499,148,10,2,1980-01-06T03:04:11
315965053,166651,253463,0.0054931640625,7.684000015258789,158,10,2,1980-01-06T03:04:13
315965054,656677,254953,nan,nan,174,10,2,1980-01-06T03:04:14
315965056,109274,256406,0.00457763671875,7.75600004196167,184,10,2,1980-01-06T03:04:16
315965057,547258,257843,0.00640869140625,7.691999912261963,200,10,2,1980-01-06T03:04:17
315965058,996531,259293,0.0054931640625,7.751999855041504,210,10,2,1980-01-06T03:04:18
315965060,506655,260803,0.00640869140625,7.688000202178955,226,10,2,1980-01-06T03:04:20
315965061,966532,262263,0.00457763671875,7.75600004196167,236,10,2,1980-01-06T03:04:21
315965063,396533,263693,nan,nan,246,10,2,1980-01-06T03:04:23
315965064,898592,265195,0.00640869140625,7.691999912261963,6,10,2,1980-01-06T03:04:24
315965066,326655,266623,0.0054931640625,7.751999855041504,16,10,2,1980-01-06T03:04:26
315965067,847013,268143,nan,nan,32,10,2,1980-01-06T03:04:27
315965069,302659,269599,nan,nan,42,10,2,1980-01-06T03:04:29
315965070,739317,271036,nan,nan,58,10,2,1980-01-06T03:04:30
315965072,269022,272565,nan,nan,68,10,2,1980-01-06T03:04:32
315965073,746635,274043,0.00457763671875,7.75600004196167,84,10,2,1980-01-06T03:04:33
315965075,169299,275466,0.00457763671875,7.75600004196167,94,10,2,1980-01-06T03:04:35
315965076,688848,276985,0.00640869140625,7.688000202178955,110,10,2,1980-01-06T03:04:36
315965078,116529,278413,0.00640869140625,7.688000202178955,120,10,2,1980-01-06T03:04:38
315965079,579473,279876,nan,7.75600004196167,136,10,2,1980-01-06T03:04:39
315965081,96527,281393,0.00457763671875,7.75600004196167,146,10,2,1980-01-06T03:04:41
315965082,519286,282816,0.00640869140625,7.691999912261963,162,10,2,1980-01-06T03:04:42
315965084,78806,284375,0.00640869140625,7.691999912261963,172,10,2,1980-01-06T03:04:44
315965085,506659,285803,0.00640869140625,7.688000202178955,188,10,2,1980-01-06T03:04:45
315965086,929875,287226,nan,nan,198,10,2,1980-01-06T03:04:46
315965088,488870,288785,0.0054931640625,7.691999912261963,214,10,2,1980-01-06T03:04:48
315965089,936654,290233,nan,nan,224,10,2,1980-01-06T03:04:49
315965091,418863,291715,0.00640869140625,7.696000099182129,234,10,2,1980-01-06T03:04:51
315965092,856871,293153,0.00457763671875,7.760000228881836,250,10,2,1980-01-06T03:04:52
315965094,336687,294633,0.00640869140625,7.699999809265137,4,10,2,1980-01-06T03:04:54
315965095,868810,296165,nan,nan,20,10,2,1980-01-06T03:04:55
315965097,309327,297606,nan,nan,30,10,2,1980-01-06T03:04:57
315965098,801300,299056,0.00457763671875,7.679999828338623,46,10,2,1980-01-06T03:04:58
315965100,300936,300555,nan,nan,56,10,2,1980-01-06T03:05:00
315965101,728657,301983,nan,nan,72,10,2,1980-01-06T03:05:01
315965103,188662,303443,0.00457763671875,7.703999996185303,82,10,2,1980-01-06T03:05:03
315965104,618701,304873,0.00457763671875,7.763999938964844,98,10,2,1980-01-06T03:05:04
