time_s,time_us,time_steady,temperature,pressure,altitude,seq,srcSystem,srcComponent,time_gregorian
2,351300,1373,11.390000343322754,147415,-1000.0,4,13,2,1970-01-01T03:00:02
3,351300,2373,11.40999984741211,145801,-1000.0,15,13,2,1970-01-01T03:00:03
6,62300,6373,11.430000305175781,141105,-1000.0,64,13,2,1970-01-01T03:00:06
315964804,830600,7373,11.4399995803833,140006,-1000.0,75,13,2,1980-01-06T03:00:04
315964805,830600,8373,11.449999809265137,138938,-1000.0,87,13,2,1980-01-06T03:00:05
315964806,830600,9373,11.460000038146973,137890,-1000.0,100,13,2,1980-01-06T03:00:06
315964807,830600,10373,11.470000267028809,136866,-1000.0,111,13,2,1980-01-06T03:00:07
315964808,830600,11373,11.470000267028809,135864,-1000.0,122,13,2,1980-01-06T03:00:08
315964809,830600,12373,11.479999542236328,134882,-1000.0,135,13,2,1980-01-06T03:00:09
315964810,830700,13373,11.489999771118164,133917,-1000.0,147,13,2,1980-01-06T03:00:10
315964811,830700,14373,11.5,132974,-1000.0,158,13,2,1980-01-06T03:00:11
315964812,830600,15373,11.510000228881836,132046,-1000.0,171,13,2,1980-01-06T03:00:12
315964813,830600,16373,11.529999732971191,131140,-1000.0,182,13,2,1980-01-06T03:00:13
315964814,830600,17373,11.529999732971191,130245,-1000.0,193,13,2,1980-01-06T03:00:14
315964815,830600,18373,11.539999961853027,129368,-1000.0,207,13,2,1980-01-06T03:00:15
315964816,830600,19373,11.550000190734863,128507,-1000.0,218,13,2,1980-01-06T03:00:16
315964817,830600,20373,11.5600004196167,127657,-1000.0,229,13,2,1980-01-06T03:00:17
315964818,830600,21373,11.569999694824219,126820,-1000.0,242,13,2,1980-01-06T03:00:18
315964819,830600,22373,11.579999923706055,125997,-1000.0,253,13,2,1980-01-06T03:00:19
315964820,830600,23373,11.59000015258789,125192,-1000.0,9,13,2,1980-01-06T03:00:20
315964821,830700,24373,11.600000381469727,124396,-1000.0,22,13,2,1980-01-06T03:00:21
315964822,830700,25373,11.609999656677246,123608,-1000.0,33,13,2,1980-01-06T03:00:22
315964823,830600,26373,11.619999885559082,122834,-1000.0,44,13,2,1980-01-06T03:00:23
315964824,830600,27373,11.630000114440918,122071,-1000.0,57,13,2,1980-01-06T03:00:24
315964825,830600,28373,11.640000343322754,121316,-1000.0,69,13,2,1980-01-06T03:00:25
315964826,830600,29373,11.649999618530273,120577,-1000.0,80,13,2,1980-01-06T03:00:26
315964827,830600,30373,11.65999984741211,119845,-1000.0,93,13,2,1980-01-06T03:00:27
315964828,830600,31373,11.670000076293945,119123,-1000.0,104,13,2,1980-01-06T03:00:28
315964829,830600,32373,11.680000305175781,118409,-1000.0,115,13,2,1980-01-06T03:00:29
315964830,830600,33373,11.6899995803833,117708,-1000.0,129,13,2,1980-01-06T03:00:30
315964831,830600,34373,11.699999809265137,117015,-1000.0,140,13,2,1980-01-06T03:00:31
315964832,830700,35373,11.710000038146973,116333,-1000.0,151,13,2,1980-01-06T03:00:32
315964833,830600,36373,11.720000267028809,115662,-1000.0,164,13,2,1980-01-06T03:00:33
315964834,830600,37373,11.729999542236328,114997,-1000.0,175,13,2,1980-01-06T03:00:34
315964835,830600,38373,11.739999771118164,114345,-1000.0,187,13,2,1980-01-06T03:00:35
315964836,830600,39373,11.75,113699,-982.4168090820312,200,13,2,1980-01-06T03:00:36
315964837,830600,40373,11.760000228881836,113070,-934.628173828125,211,13,2,1980-01-06T03:00:37
