time_s,time_us,time_steady,gps_init_error,gps_config_error,lsm6ds3_error,lis3mdl_error,analog_sensor_init_error,gps_uart_init_error,mems_i2c_error,timers_error,rtc_error,mems_i2c_error_counter,lsm6ds3_error_counter,lis3mdl_error_counter,gps_reconfig_counter,osc_source,reset_counter,reset_cause,seq,srcSystem,srcComponent,time_gregorian
315964863,343000,63329,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,17,11,0,1980-01-06T03:01:03
315964864,557000,64543,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,48,11,0,1980-01-06T03:01:04
315964865,770000,65756,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,79,11,0,1980-01-06T03:01:05
315964866,984000,66970,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,109,11,0,1980-01-06T03:01:06
315964868,202000,68188,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,141,11,0,1980-01-06T03:01:08
315964869,416000,69402,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,172,11,0,1980-01-06T03:01:09
315964870,629000,70615,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,203,11,0,1980-01-06T03:01:10
315964871,843000,71829,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,234,11,0,1980-01-06T03:01:11
315964873,60000,73046,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,8,11,0,1980-01-06T03:01:13
315964874,274000,74261,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,40,11,0,1980-01-06T03:01:14
315964875,489000,75475,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,71,11,0,1980-01-06T03:01:15
315964876,703000,76689,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,102,11,0,1980-01-06T03:01:16
315964877,916000,77902,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,132,11,0,1980-01-06T03:01:17
315964879,134000,79120,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,164,11,0,1980-01-06T03:01:19
315964880,348000,80334,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,195,11,0,1980-01-06T03:01:20
315964881,562000,81548,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,226,11,0,1980-01-06T03:01:21
315964882,775000,82761,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,1,11,0,1980-01-06T03:01:22
315964883,987000,83973,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,31,11,0,1980-01-06T03:01:23
315964885,204000,85190,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,63,11,0,1980-01-06T03:01:25
315964886,417000,86403,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,94,11,0,1980-01-06T03:01:26
315964887,630000,87616,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,125,11,0,1980-01-06T03:01:27
315964888,842000,88828,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,156,11,0,1980-01-06T03:01:28
315964890,57000,90043,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,186,11,0,1980-01-06T03:01:30
315964891,269000,91255,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,218,11,0,1980-01-06T03:01:31
315964892,481000,92467,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,249,11,0,1980-01-06T03:01:32
315964893,693000,93679,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,24,11,0,1980-01-06T03:01:33
315964894,905000,94891,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,55,11,0,1980-01-06T03:01:34
315964896,120000,96106,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,87,11,0,1980-01-06T03:01:36
315964897,333000,97319,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,118,11,0,1980-01-06T03:01:37
315964898,545000,98531,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,149,11,0,1980-01-06T03:01:38
315964899,757000,99743,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,180,11,0,1980-01-06T03:01:39
315964900,970000,100956,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,210,11,0,1980-01-06T03:01:40
315964902,186000,102172,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,242,11,0,1980-01-06T03:01:42
315964903,398000,103384,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,17,11,0,1980-01-06T03:01:43
315964904,610000,104596,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,48,11,0,1980-01-06T03:01:44
315964905,822000,105808,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,79,11,0,1980-01-06T03:01:45
315964907,40000,107026,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,109,11,0,1980-01-06T03:01:47
315964908,253000,108239,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,141,11,0,1980-01-06T03:01:48
315964909,466000,109453,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,172,11,0,1980-01-06T03:01:49
315964910,681000,110667,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,203,11,0,1980-01-06T03:01:50
315964911,894000,111880,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,234,11,0,1980-01-06T03:01:51
315964913,111000,113097,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,8,11,0,1980-01-06T03:01:53
315964914,324000,114310,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,39,11,0,1980-01-06T03:01:54
315964915,537000,115523,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,71,11,0,1980-01-06T03:01:55
315964916,749000,116735,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,102,11,0,1980-01-06T03:01:56
315964917,962000,117948,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,132,11,0,1980-01-06T03:01:57
315964919,179000,119165,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,163,11,0,1980-01-06T03:01:59
315964920,391000,120377,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,195,11,0,1980-01-06T03:02:00
315964921,604000,121590,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,226,11,0,1980-01-06T03:02:01
315964922,816000,122802,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,1,11,0,1980-01-06T03:02:02
315964924,28000,124014,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,31,11,0,1980-01-06T03:02:04
315964925,244000,125230,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,62,11,0,1980-01-06T03:02:05
315964926,457000,126442,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,94,11,0,1980-01-06T03:02:06
315964927,670000,127656,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,125,11,0,1980-01-06T03:02:07
315964928,883000,128869,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,156,11,0,1980-01-06T03:02:08
315964930,101000,130086,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,186,11,0,1980-01-06T03:02:10
315964931,315000,131301,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,217,11,0,1980-01-06T03:02:11
315964932,529000,132515,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,249,11,0,1980-01-06T03:02:12
315964933,742000,133728,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,24,11,0,1980-01-06T03:02:13
315964934,956000,134942,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,54,11,0,1980-01-06T03:02:14
315964936,174000,136160,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,85,11,0,1980-01-06T03:02:16
315964937,388000,137374,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,117,11,0,1980-01-06T03:02:17
315964938,602000,138588,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,148,11,0,1980-01-06T03:02:18
315964939,815000,139801,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,179,11,0,1980-01-06T03:02:19
315964941,29000,141015,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,209,11,0,1980-01-06T03:02:21
315964942,246000,142232,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,240,11,0,1980-01-06T03:02:22
315964943,461000,143447,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,16,11,0,1980-01-06T03:02:23
315964944,675000,144661,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,47,11,0,1980-01-06T03:02:24
315964945,889000,145875,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,78,11,0,1980-01-06T03:02:25
315964947,107000,147093,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,108,11,0,1980-01-06T03:02:27
315964948,325000,148311,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,139,11,0,1980-01-06T03:02:28
315964949,544000,149530,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,171,11,0,1980-01-06T03:02:29
315964950,762000,150748,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,202,11,0,1980-01-06T03:02:30
315964951,980000,151966,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,232,11,0,1980-01-06T03:02:31
315964953,203000,153189,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,7,11,0,1980-01-06T03:02:33
315964954,422000,154408,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,39,11,0,1980-01-06T03:02:34
315964955,637000,155623,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,70,11,0,1980-01-06T03:02:35
315964956,851000,156836,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,101,11,0,1980-01-06T03:02:36
315964958,68000,158054,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,131,11,0,1980-01-06T03:02:38
315964959,282000,159268,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,162,11,0,1980-01-06T03:02:39
315964960,496000,160482,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,194,11,0,1980-01-06T03:02:40
315964961,710000,161696,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,225,11,0,1980-01-06T03:02:41
315964962,923000,162909,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,255,11,0,1980-01-06T03:02:42
315964964,140000,164125,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,30,11,0,1980-01-06T03:02:44
315964965,353000,165339,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,62,11,0,1980-01-06T03:02:45
315964966,567000,166553,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,93,11,0,1980-01-06T03:02:46
315964967,781000,167767,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,124,11,0,1980-01-06T03:02:47
315964968,995000,168981,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,154,11,0,1980-01-06T03:02:48
315964970,212000,170198,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,185,11,0,1980-01-06T03:02:50
315964971,426000,171412,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,217,11,0,1980-01-06T03:02:51
315964972,640000,172626,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,248,11,0,1980-01-06T03:02:52
315964973,854000,173840,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,23,11,0,1980-01-06T03:02:53
315964975,71000,175057,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,53,11,0,1980-01-06T03:02:55
