time_s,time_us,time_steady,rx_packet_start_cnt,rx_packet_done_cnt,rx_cmds_start_cnt,rx_cmds_done_cnt,rx_drops_start_cnt,rx_drops_done_cnt,tx_psize_start_cnt,tx_psize_done_cnt,tx_packet_start_cnt,tx_packet_done_cnt,tx_zeroes_start_cnt,tx_zeroes_done_cnt,tx_empty_buffer_cnt,tx_overruns_cnt,cmds_get_size_cnt,cmds_get_packet_cnt,cmds_set_packet_cnt,cmds_invalid_cnt,restarts_cnt,berr_cnt,arlo_cnt,ovf_cnt,af_cnt,btf_cnt,tx_wrong_size_cnt,rx_wrong_size_cnt,seq,srcSystem,srcComponent,time_gregorian
5,517700,5807,1,1,51,51,0,0,23,23,23,23,0,0,4,34,27,23,1,0,1,0,0,0,3,0,0,0,58,13,0,1970-01-01T03:00:05
315964806,286000,8807,4,4,150,150,0,0,59,59,59,59,0,0,28,34,87,59,4,0,1,0,0,0,27,0,0,0,94,13,0,1980-01-06T03:00:06
315964809,286000,11807,6,6,245,245,0,0,94,94,94,94,0,0,51,34,145,94,6,0,1,0,0,0,50,0,0,0,129,13,0,1980-01-06T03:00:09
315964812,286000,14807,9,9,343,343,0,0,130,130,130,130,0,0,74,34,204,130,9,0,1,0,0,0,73,0,0,0,165,13,0,1980-01-06T03:00:12
315964815,286000,17807,12,12,439,439,0,0,165,165,165,165,0,0,97,34,262,165,12,0,1,0,0,0,96,0,0,0,200,13,0,1980-01-06T03:00:15
315964818,286000,20807,14,14,536,536,0,0,201,201,201,201,0,0,120,34,321,201,14,0,1,0,0,0,119,0,0,0,236,13,0,1980-01-06T03:00:18
315964821,286000,23807,17,17,635,635,0,0,237,237,237,237,0,0,144,34,381,237,17,0,1,0,0,0,143,0,0,0,16,13,0,1980-01-06T03:00:21
315964824,286000,26807,20,20,731,731,0,0,272,272,272,272,0,0,167,34,439,272,20,0,1,0,0,0,166,0,0,0,51,13,0,1980-01-06T03:00:24
315964827,286000,29807,23,23,829,829,0,0,308,308,308,308,0,0,190,34,498,308,23,0,1,0,0,0,189,0,0,0,87,13,0,1980-01-06T03:00:27
315964830,286000,32807,25,25,925,925,0,0,343,343,343,343,0,0,214,34,557,343,25,0,1,0,0,0,213,0,0,0,122,13,0,1980-01-06T03:00:30
315964833,286000,35807,28,28,1023,1023,0,0,379,379,379,379,0,0,237,34,616,379,28,0,1,0,0,0,236,0,0,0,158,13,0,1980-01-06T03:00:33
315964836,286000,38807,31,31,1121,1121,0,0,415,415,415,415,0,0,260,34,675,415,31,0,1,0,0,0,259,0,0,0,194,13,0,1980-01-06T03:00:36
315964839,286000,41807,33,33,1216,1216,0,0,450,450,450,450,0,0,283,34,733,450,33,0,1,0,0,0,282,0,0,0,229,13,0,1980-01-06T03:00:39
315964842,286000,44807,36,36,1314,1314,0,0,486,486,486,486,0,0,306,34,792,486,36,0,1,0,0,0,305,0,0,0,9,13,0,1980-01-06T03:00:42
315964845,286000,47807,39,39,1411,1411,0,0,521,521,521,521,0,0,330,34,851,521,39,0,1,0,0,0,329,0,0,0,44,13,0,1980-01-06T03:00:45
315964848,286000,50807,42,42,1509,1509,0,0,557,557,557,557,0,0,353,34,910,557,42,0,1,0,0,0,352,0,0,0,80,13,0,1980-01-06T03:00:48
315964851,286000,53807,44,44,1606,1606,0,0,593,593,593,593,0,0,376,34,969,593,44,0,1,0,0,0,375,0,0,0,116,13,0,1980-01-06T03:00:51
315964854,286000,56807,47,47,1703,1703,0,0,628,628,628,628,0,0,400,34,1028,628,47,0,1,0,0,0,399,0,0,0,151,13,0,1980-01-06T03:00:54
315964857,286000,59807,50,50,1801,1801,0,0,664,664,664,664,0,0,423,34,1087,664,50,0,1,0,0,0,422,0,0,0,187,13,0,1980-01-06T03:00:57
315964860,286000,62807,52,52,1896,1896,0,0,699,699,699,699,0,0,446,34,1145,699,52,0,1,0,0,0,445,0,0,0,222,13,0,1980-01-06T03:01:00
315964863,286000,65807,55,55,1995,1995,0,0,735,735,735,735,0,0,470,34,1205,735,55,0,1,0,0,0,469,0,0,0,2,13,0,1980-01-06T03:01:03
315964866,286000,68807,58,58,2093,2093,0,0,771,771,771,771,0,0,493,34,1264,771,58,0,1,0,0,0,492,0,0,0,38,13,0,1980-01-06T03:01:06
315964869,286000,71807,61,61,2189,2189,0,0,806,806,806,806,0,0,516,34,1322,806,61,0,1,0,0,0,515,0,0,0,73,13,0,1980-01-06T03:01:09
315964872,286000,74807,63,63,2286,2286,0,0,842,842,842,842,0,0,539,34,1381,842,63,0,1,0,0,0,538,0,0,0,109,13,0,1980-01-06T03:01:12
315964875,286000,77807,66,66,2382,2382,0,0,877,877,877,877,0,0,562,34,1439,877,66,0,1,0,0,0,561,0,0,0,144,13,0,1980-01-06T03:01:15
315964878,286000,80807,69,69,2480,2480,0,0,913,913,913,913,0,0,585,34,1498,913,69,0,1,0,0,0,584,0,0,0,180,13,0,1980-01-06T03:01:18
315964881,286000,83807,71,71,2577,2577,0,0,949,949,949,949,0,0,608,34,1557,949,71,0,1,0,0,0,607,0,0,0,216,13,0,1980-01-06T03:01:21
315964884,286000,86807,74,74,2674,2674,0,0,984,984,984,984,0,0,632,34,1616,984,74,0,1,0,0,0,631,0,0,0,251,13,0,1980-01-06T03:01:24
315964887,286000,89807,77,77,2772,2772,0,0,1020,1020,1020,1020,0,0,655,34,1675,1020,77,0,1,0,0,0,654,0,0,0,31,13,0,1980-01-06T03:01:27
315964890,286000,92807,79,79,2867,2867,0,0,1055,1055,1055,1055,0,0,678,34,1733,1055,79,0,1,0,0,0,677,0,0,0,66,13,0,1980-01-06T03:01:30
315964893,286000,95807,82,82,2965,2965,0,0,1091,1091,1091,1091,0,0,701,34,1792,1091,82,0,1,0,0,0,700,0,0,0,102,13,0,1980-01-06T03:01:33
315964896,286000,98807,85,85,3063,3063,0,0,1127,1127,1127,1127,0,0,724,34,1851,1127,85,0,1,0,0,0,723,0,0,0,138,13,0,1980-01-06T03:01:36
315964899,286000,101807,88,88,3159,3159,0,0,1162,1162,1162,1162,0,0,747,34,1909,1162,88,0,1,0,0,0,746,0,0,0,173,13,0,1980-01-06T03:01:39
315964902,286000,104807,90,90,3257,3257,0,0,1198,1198,1198,1198,0,0,771,34,1969,1198,90,0,1,0,0,0,770,0,0,0,209,13,0,1980-01-06T03:01:42
315964905,286000,107807,93,93,3353,3353,0,0,1233,1233,1233,1233,0,0,794,34,2027,1233,93,0,1,0,0,0,793,0,0,0,244,13,0,1980-01-06T03:01:45
315964908,286000,110807,96,96,3451,3451,0,0,1269,1269,1269,1269,0,0,817,34,2086,1269,96,0,1,0,0,0,816,0,0,0,24,13,0,1980-01-06T03:01:48
315964911,286000,113807,98,98,3549,3549,0,0,1305,1305,1305,1305,0,0,841,34,2146,1305,98,0,1,0,0,0,840,0,0,0,60,13,0,1980-01-06T03:01:51
315964914,286000,116807,101,101,3645,3645,0,0,1340,1340,1340,1340,0,0,864,34,2204,1340,101,0,1,0,0,0,863,0,0,0,95,13,0,1980-01-06T03:01:54
315964917,286000,119807,104,104,3743,3743,0,0,1376,1376,1376,1376,0,0,887,34,2263,1376,104,0,1,0,0,0,886,0,0,0,131,13,0,1980-01-06T03:01:57
315964920,286000,122807,107,107,3840,3840,0,0,1411,1411,1411,1411,0,0,911,34,2322,1411,107,0,1,0,0,0,910,0,0,0,166,13,0,1980-01-06T03:02:00
315964923,286000,125807,109,109,3937,3937,0,0,1447,1447,1447,1447,0,0,934,34,2381,1447,109,0,1,0,0,0,933,0,0,0,202,13,0,1980-01-06T03:02:03
315964926,286000,128807,112,112,4035,4035,0,0,1483,1483,1483,1483,0,0,957,34,2440,1483,112,0,1,0,0,0,956,0,0,0,238,13,0,1980-01-06T03:02:06
315964929,286000,131807,115,115,4132,4132,0,0,1518,1518,1518,1518,0,0,981,34,2499,1518,115,0,1,0,0,0,980,0,0,0,17,13,0,1980-01-06T03:02:09
315964932,286000,134807,117,117,4229,4229,0,0,1554,1554,1554,1554,0,0,1004,34,2558,1554,117,0,1,0,0,0,1003,0,0,0,53,13,0,1980-01-06T03:02:12
315964935,286000,137807,120,120,4325,4325,0,0,1589,1589,1589,1589,0,0,1027,34,2616,1589,120,0,1,0,0,0,1026,0,0,0,88,13,0,1980-01-06T03:02:15
315964938,286000,140807,123,123,4423,4423,0,0,1625,1625,1625,1625,0,0,1050,34,2675,1625,123,0,1,0,0,0,1049,0,0,0,124,13,0,1980-01-06T03:02:18
315964941,286000,143807,126,126,4522,4522,0,0,1661,1661,1661,1661,0,0,1074,34,2735,1661,126,0,1,0,0,0,1073,0,0,0,160,13,0,1980-01-06T03:02:21
315964944,286000,146807,128,128,4616,4616,0,0,1696,1696,1696,1696,0,0,1096,34,2792,1696,128,0,1,0,0,0,1095,0,0,0,195,13,0,1980-01-06T03:02:24
315964947,286000,149807,131,131,4714,4714,0,0,1732,1732,1732,1732,0,0,1119,34,2851,1732,131,0,1,0,0,0,1118,0,0,0,231,13,0,1980-01-06T03:02:27
315964950,286000,152807,134,134,4811,4811,0,0,1767,1767,1767,1767,0,0,1143,34,2910,1767,134,0,1,0,0,0,1142,0,0,0,10,13,0,1980-01-06T03:02:30
315964953,286000,155807,136,136,4908,4908,0,0,1803,1803,1803,1803,0,0,1166,34,2969,1803,136,0,1,0,0,0,1165,0,0,0,46,13,0,1980-01-06T03:02:33
315964956,286000,158807,139,139,5006,5006,0,0,1839,1839,1839,1839,0,0,1189,34,3028,1839,139,0,1,0,0,0,1188,0,0,0,82,13,0,1980-01-06T03:02:36
315964959,286000,161807,142,142,5102,5102,0,0,1874,1874,1874,1874,0,0,1212,34,3086,1874,142,0,1,0,0,0,1211,0,0,0,117,13,0,1980-01-06T03:02:39
315964962,286000,164807,144,144,5199,5199,0,0,1910,1910,1910,1910,0,0,1235,34,3145,1910,144,0,1,0,0,0,1234,0,0,0,153,13,0,1980-01-06T03:02:42
315964965,286000,167807,147,147,5296,5296,0,0,1945,1945,1945,1945,0,0,1259,34,3204,1945,147,0,1,0,0,0,1258,0,0,0,188,13,0,1980-01-06T03:02:45
315964968,286000,170807,150,150,5394,5394,0,0,1981,1981,1981,1981,0,0,1282,34,3263,1981,150,0,1,0,0,0,1281,0,0,0,224,13,0,1980-01-06T03:02:48
315964971,286000,173807,153,153,5492,5492,0,0,2017,2017,2017,2017,0,0,1305,34,3322,2017,153,0,1,0,0,0,1304,0,0,0,4,13,0,1980-01-06T03:02:51
315964974,286000,176807,155,155,5587,5587,0,0,2052,2052,2052,2052,0,0,1328,34,3380,2052,155,0,1,0,0,0,1327,0,0,0,39,13,0,1980-01-06T03:02:54
315964977,286000,179807,158,158,5685,5685,0,0,2088,2088,2088,2088,0,0,1351,34,3439,2088,158,0,1,0,0,0,1350,0,0,0,75,13,0,1980-01-06T03:02:57
315964980,286000,182807,161,161,5781,5781,0,0,2123,2123,2123,2123,0,0,1374,34,3497,2123,161,0,1,0,0,0,1373,0,0,0,110,13,0,1980-01-06T03:03:00
315964983,286000,185807,163,163,5878,5878,0,0,2159,2159,2159,2159,0,0,1397,34,3556,2159,163,0,1,0,0,0,1396,0,0,0,146,13,0,1980-01-06T03:03:03
315964986,286000,188807,166,166,5977,5977,0,0,2195,2195,2195,2195,0,0,1421,34,3616,2195,166,0,1,0,0,0,1420,0,0,0,182,13,0,1980-01-06T03:03:06
315964989,286000,191807,169,169,6072,6072,0,0,2230,2230,2230,2230,0,0,1443,34,3673,2230,169,0,1,0,0,0,1442,0,0,0,217,13,0,1980-01-06T03:03:09
315964992,286000,194807,172,172,6171,6171,0,0,2266,2266,2266,2266,0,0,1467,34,3733,2266,172,0,1,0,0,0,1466,0,0,0,253,13,0,1980-01-06T03:03:12
315964995,286000,197807,174,174,6266,6266,0,0,2301,2301,2301,2301,0,0,1490,34,3791,2301,174,0,1,0,0,0,1489,0,0,0,32,13,0,1980-01-06T03:03:15
315965000,217000,200807,177,177,6364,6364,0,0,2337,2337,2337,2337,0,0,1513,34,3850,2337,177,0,1,0,0,0,1512,0,0,0,68,13,0,1980-01-06T03:03:20
315965003,217000,203807,180,180,6462,6462,0,0,2373,2373,2373,2373,0,0,1536,34,3909,2373,180,0,1,0,0,0,1535,0,0,0,104,13,0,1980-01-06T03:03:23
315965006,217000,206807,182,182,6558,6558,0,0,2408,2408,2408,2408,0,0,1560,34,3968,2408,182,0,1,0,0,0,1559,0,0,0,139,13,0,1980-01-06T03:03:26
315965009,217000,209807,185,185,6656,6656,0,0,2444,2444,2444,2444,0,0,1583,34,4027,2444,185,0,1,0,0,0,1582,0,0,0,175,13,0,1980-01-06T03:03:29
315965012,217000,212807,188,188,6752,6752,0,0,2479,2479,2479,2479,0,0,1606,34,4085,2479,188,0,1,0,0,0,1605,0,0,0,210,13,0,1980-01-06T03:03:32
315965015,217000,215807,191,191,6850,6850,0,0,2515,2515,2515,2515,0,0,1629,34,4144,2515,191,0,1,0,0,0,1628,0,0,0,246,13,0,1980-01-06T03:03:35
315965018,217000,218807,193,193,6947,6947,0,0,2551,2551,2551,2551,0,0,1652,34,4203,2551,193,0,1,0,0,0,1651,0,0,0,26,13,0,1980-01-06T03:03:38
315965021,217000,221807,196,196,7043,7043,0,0,2586,2586,2586,2586,0,0,1675,34,4261,2586,196,0,1,0,0,0,1674,0,0,0,61,13,0,1980-01-06T03:03:41
315965024,217000,224807,199,199,7141,7141,0,0,2622,2622,2622,2622,0,0,1698,34,4320,2622,199,0,1,0,0,0,1697,0,0,0,97,13,0,1980-01-06T03:03:44
315965027,217000,227807,201,201,7236,7236,0,0,2657,2657,2657,2657,0,0,1721,34,4378,2657,201,0,1,0,0,0,1720,0,0,0,132,13,0,1980-01-06T03:03:47
315965030,217000,230807,204,204,7334,7334,0,0,2693,2693,2693,2693,0,0,1744,34,4437,2693,204,0,1,0,0,0,1743,0,0,0,168,13,0,1980-01-06T03:03:50
315965033,217000,233807,207,207,7432,7432,0,0,2729,2729,2729,2729,0,0,1767,34,4496,2729,207,0,1,0,0,0,1766,0,0,0,204,13,0,1980-01-06T03:03:53
315965036,217000,236807,209,209,7527,7527,0,0,2764,2764,2764,2764,0,0,1790,34,4554,2764,209,0,1,0,0,0,1789,0,0,0,239,13,0,1980-01-06T03:03:56
315965039,217000,239807,212,212,7625,7625,0,0,2800,2800,2800,2800,0,0,1813,34,4613,2800,212,0,1,0,0,0,1812,0,0,0,19,13,0,1980-01-06T03:03:59
315965042,217000,242807,215,215,7722,7722,0,0,2835,2835,2835,2835,0,0,1837,34,4672,2835,215,0,1,0,0,0,1836,0,0,0,54,13,0,1980-01-06T03:04:02
315965045,217000,245807,218,218,7820,7820,0,0,2871,2871,2871,2871,0,0,1860,34,4731,2871,218,0,1,0,0,0,1859,0,0,0,90,13,0,1980-01-06T03:04:05
315965048,217000,248807,220,220,7917,7917,0,0,2907,2907,2907,2907,0,0,1883,34,4790,2907,220,0,1,0,0,0,1882,0,0,0,126,13,0,1980-01-06T03:04:08
315965051,217000,251807,223,223,8014,8014,0,0,2942,2942,2942,2942,0,0,1907,34,4849,2942,223,0,1,0,0,0,1906,0,0,0,161,13,0,1980-01-06T03:04:11
315965054,217000,254807,226,226,8111,8111,0,0,2978,2978,2978,2978,0,0,1929,34,4907,2978,226,0,1,0,0,0,1928,0,0,0,197,13,0,1980-01-06T03:04:14
315965057,217000,257807,228,228,8207,8207,0,0,3013,3013,3013,3013,0,0,1953,34,4966,3013,228,0,1,0,0,0,1952,0,0,0,232,13,0,1980-01-06T03:04:17
315965060,217000,260807,231,231,8305,8305,0,0,3049,3049,3049,3049,0,0,1976,34,5025,3049,231,0,1,0,0,0,1975,0,0,0,12,13,0,1980-01-06T03:04:20
315965063,217000,263807,234,234,8403,8403,0,0,3085,3085,3085,3085,0,0,1999,34,5084,3085,234,0,1,0,0,0,1998,0,0,0,48,13,0,1980-01-06T03:04:23
315965066,217000,266807,237,237,8499,8499,0,0,3120,3120,3120,3120,0,0,2022,34,5142,3120,237,0,1,0,0,0,2021,0,0,0,83,13,0,1980-01-06T03:04:26
315965069,217000,269807,239,239,8596,8596,0,0,3156,3156,3156,3156,0,0,2045,34,5201,3156,239,0,1,0,0,0,2044,0,0,0,119,13,0,1980-01-06T03:04:29
315965072,217000,272807,242,242,8693,8693,0,0,3191,3191,3191,3191,0,0,2069,34,5260,3191,242,0,1,0,0,0,2068,0,0,0,154,13,0,1980-01-06T03:04:32
315965075,217000,275807,245,245,8791,8791,0,0,3227,3227,3227,3227,0,0,2092,34,5319,3227,245,0,1,0,0,0,2091,0,0,0,190,13,0,1980-01-06T03:04:35
315965078,217000,278807,248,248,8889,8889,0,0,3263,3263,3263,3263,0,0,2115,34,5378,3263,248,0,1,0,0,0,2114,0,0,0,226,13,0,1980-01-06T03:04:38
315965081,217000,281807,250,250,8984,8984,0,0,3298,3298,3298,3298,0,0,2138,34,5436,3298,250,0,1,0,0,0,2137,0,0,0,5,13,0,1980-01-06T03:04:41
315965084,217000,284807,253,253,9083,9083,0,0,3334,3334,3334,3334,0,0,2162,34,5496,3334,253,0,1,0,0,0,2161,0,0,0,41,13,0,1980-01-06T03:04:44
315965087,217000,287807,256,256,9179,9179,0,0,3369,3369,3369,3369,0,0,2185,34,5554,3369,256,0,1,0,0,0,2184,0,0,0,76,13,0,1980-01-06T03:04:47
315965090,217000,290807,258,258,9276,9276,0,0,3405,3405,3405,3405,0,0,2208,34,5613,3405,258,0,1,0,0,0,2207,0,0,0,112,13,0,1980-01-06T03:04:50
315965093,217000,293807,261,261,9374,9374,0,0,3441,3441,3441,3441,0,0,2231,34,5672,3441,261,0,1,0,0,0,2230,0,0,0,148,13,0,1980-01-06T03:04:53
315965096,217000,296807,264,264,9471,9471,0,0,3476,3476,3476,3476,0,0,2255,34,5731,3476,264,0,1,0,0,0,2254,0,0,0,183,13,0,1980-01-06T03:04:56
315965099,217000,299807,267,267,9569,9569,0,0,3512,3512,3512,3512,0,0,2278,34,5790,3512,267,0,1,0,0,0,2277,0,0,0,219,13,0,1980-01-06T03:04:59
315965102,217000,302807,269,269,9664,9664,0,0,3547,3547,3547,3547,0,0,2301,34,5848,3547,269,0,1,0,0,0,2300,0,0,0,254,13,0,1980-01-06T03:05:02
315965105,217000,305807,272,272,9762,9762,0,0,3583,3583,3583,3583,0,0,2324,34,5907,3583,272,0,1,0,0,0,2323,0,0,0,34,13,0,1980-01-06T03:05:05
315965108,217000,308807,275,275,9861,9861,0,0,3619,3619,3619,3619,0,0,2348,34,5967,3619,275,0,1,0,0,0,2347,0,0,0,70,13,0,1980-01-06T03:05:08
315965111,217000,311807,277,277,9956,9956,0,0,3654,3654,3654,3654,0,0,2371,34,6025,3654,277,0,1,0,0,0,2370,0,0,0,105,13,0,1980-01-06T03:05:11
315965114,217000,314807,280,280,10054,10054,0,0,3690,3690,3690,3690,0,0,2394,34,6084,3690,280,0,1,0,0,0,2393,0,0,0,141,13,0,1980-01-06T03:05:14
315965117,217000,317807,283,283,10150,10150,0,0,3725,3725,3725,3725,0,0,2417,34,6142,3725,283,0,1,0,0,0,2416,0,0,0,176,13,0,1980-01-06T03:05:17
315965120,217000,320807,285,285,10248,10248,0,0,3761,3761,3761,3761,0,0,2441,34,6202,3761,285,0,1,0,0,0,2440,0,0,0,212,13,0,1980-01-06T03:05:20
315965123,217000,323807,288,288,10346,10346,0,0,3797,3797,3797,3797,0,0,2464,34,6261,3797,288,0,1,0,0,0,2463,0,0,0,248,13,0,1980-01-06T03:05:23
315965126,217000,326807,291,291,10442,10442,0,0,3832,3832,3832,3832,0,0,2487,34,6319,3832,291,0,1,0,0,0,2486,0,0,0,27,13,0,1980-01-06T03:05:26
315965129,217000,329807,294,294,10540,10540,0,0,3868,3868,3868,3868,0,0,2510,34,6378,3868,294,0,1,0,0,0,2509,0,0,0,63,13,0,1980-01-06T03:05:29
315965132,217000,332807,296,296,10636,10636,0,0,3903,3903,3903,3903,0,0,2534,34,6437,3903,296,0,1,0,0,0,2533,0,0,0,98,13,0,1980-01-06T03:05:32
315965135,217000,335807,299,299,10734,10734,0,0,3939,3939,3939,3939,0,0,2557,34,6496,3939,299,0,1,0,0,0,2556,0,0,0,134,13,0,1980-01-06T03:05:35
315965138,217000,338807,302,302,10832,10832,0,0,3975,3975,3975,3975,0,0,2580,34,6555,3975,302,0,1,0,0,0,2579,0,0,0,170,13,0,1980-01-06T03:05:38
315965141,217000,341807,304,304,10927,10927,0,0,4010,4010,4010,4010,0,0,2603,34,6613,4010,304,0,1,0,0,0,2602,0,0,0,205,13,0,1980-01-06T03:05:41
315965144,217000,344807,307,307,11025,11025,0,0,4046,4046,4046,4046,0,0,2626,34,6672,4046,307,0,1,0,0,0,2625,0,0,0,241,13,0,1980-01-06T03:05:44
315965147,217000,347807,310,310,11122,11122,0,0,4081,4081,4081,4081,0,0,2650,34,6731,4081,310,0,1,0,0,0,2649,0,0,0,20,13,0,1980-01-06T03:05:47
315965150,217000,350807,313,313,11220,11220,0,0,4117,4117,4117,4117,0,0,2673,34,6790,4117,313,0,1,0,0,0,2672,0,0,0,56,13,0,1980-01-06T03:05:50
315965153,217000,353807,315,315,11318,11318,0,0,4153,4153,4153,4153,0,0,2697,34,6850,4153,315,0,1,0,0,0,2696,0,0,0,92,13,0,1980-01-06T03:05:53
315965156,217000,356807,318,318,11414,11414,0,0,4188,4188,4188,4188,0,0,2720,34,6908,4188,318,0,1,0,0,0,2719,0,0,0,127,13,0,1980-01-06T03:05:56
315965159,217000,359807,321,321,11512,11512,0,0,4224,4224,4224,4224,0,0,2743,34,6967,4224,321,0,1,0,0,0,2742,0,0,0,163,13,0,1980-01-06T03:05:59
315965162,217000,362807,323,323,11607,11607,0,0,4259,4259,4259,4259,0,0,2766,34,7025,4259,323,0,1,0,0,0,2765,0,0,0,198,13,0,1980-01-06T03:06:02
315965165,217000,365807,326,326,11705,11705,0,0,4295,4295,4295,4295,0,0,2789,34,7084,4295,326,0,1,0,0,0,2788,0,0,0,234,13,0,1980-01-06T03:06:05
315965168,217000,368807,329,329,11804,11804,0,0,4331,4331,4331,4331,0,0,2813,34,7144,4331,329,0,1,0,0,0,2812,0,0,0,14,13,0,1980-01-06T03:06:08
315965171,217000,371807,331,331,11899,11899,0,0,4366,4366,4366,4366,0,0,2836,34,7202,4366,331,0,1,0,0,0,2835,0,0,0,49,13,0,1980-01-06T03:06:11
315965174,217000,374807,334,334,11997,11997,0,0,4402,4402,4402,4402,0,0,2859,34,7261,4402,334,0,1,0,0,0,2858,0,0,0,85,13,0,1980-01-06T03:06:14
315965177,217000,377807,337,337,12093,12093,0,0,4437,4437,4437,4437,0,0,2882,34,7319,4437,337,0,1,0,0,0,2881,0,0,0,120,13,0,1980-01-06T03:06:17
