time_s,time_us,time_steady,count_tick,delta_time,seq,srcSystem,srcComponent,time_gregorian
315964893,430600,95951,0,1200,106,13,0,1980-01-06T03:01:33
315964894,630600,97151,0,1200,117,13,0,1980-01-06T03:01:34
315964894,630600,97151,0,1200,128,13,0,1980-01-06T03:01:34
315964895,830600,98351,0,1200,142,13,0,1980-01-06T03:01:35
315964897,30700,99551,0,1200,153,13,0,1980-01-06T03:01:37
315964898,230700,100751,0,1200,164,13,0,1980-01-06T03:01:38
315964899,430600,101951,0,1200,177,13,0,1980-01-06T03:01:39
315964900,630600,103151,0,1200,188,13,0,1980-01-06T03:01:40
315964900,630600,103151,0,1200,200,13,0,1980-01-06T03:01:40
315964901,830600,104351,0,1200,213,13,0,1980-01-06T03:01:41
315964903,30600,105551,0,1200,224,13,0,1980-01-06T03:01:43
315964904,230600,106751,0,1200,235,13,0,1980-01-06T03:01:44
315964905,430600,107951,0,1200,248,13,0,1980-01-06T03:01:45
315964906,630600,109151,0,1200,4,13,0,1980-01-06T03:01:46
315964906,630600,109151,0,1200,15,13,0,1980-01-06T03:01:46
315964907,830600,110351,0,1200,28,13,0,1980-01-06T03:01:47
315964909,30600,111551,0,1200,39,13,0,1980-01-06T03:01:49
315964910,230700,112751,0,1200,50,13,0,1980-01-06T03:01:50
315964911,430700,113951,0,1200,64,13,0,1980-01-06T03:01:51
315964912,630700,115151,0,1200,75,13,0,1980-01-06T03:01:52
315964912,630700,115151,0,1200,86,13,0,1980-01-06T03:01:52
315964913,830600,116351,0,1200,99,13,0,1980-01-06T03:01:53
315964915,30600,117551,0,1200,110,13,0,1980-01-06T03:01:55
315964916,230600,118751,1,1200,122,13,0,1980-01-06T03:01:56
315964917,430600,119951,0,1200,135,13,0,1980-01-06T03:01:57
315964918,630600,121151,0,1200,146,13,0,1980-01-06T03:01:58
315964918,630600,121151,0,1200,157,13,0,1980-01-06T03:01:58
315964919,830600,122351,0,1200,170,13,0,1980-01-06T03:01:59
315964921,30600,123551,0,1200,182,13,0,1980-01-06T03:02:01
315964922,230600,124751,0,1200,193,13,0,1980-01-06T03:02:02
315964923,430600,125951,0,1200,206,13,0,1980-01-06T03:02:03
315964924,630600,127151,0,1200,217,13,0,1980-01-06T03:02:04
315964924,630600,127151,0,1200,228,13,0,1980-01-06T03:02:04
315964925,830700,128351,0,1200,242,13,0,1980-01-06T03:02:05
315964927,30700,129551,1,1200,253,13,0,1980-01-06T03:02:07
315964928,230600,130751,0,1200,8,13,0,1980-01-06T03:02:08
315964929,430600,131951,0,1200,21,13,0,1980-01-06T03:02:09
315964930,630600,133151,0,1200,32,13,0,1980-01-06T03:02:10
315964930,630600,133151,0,1200,44,13,0,1980-01-06T03:02:10
315964931,830600,134351,0,1200,57,13,0,1980-01-06T03:02:11
315964933,30600,135551,0,1200,68,13,0,1980-01-06T03:02:13
315964934,230600,136751,0,1200,79,13,0,1980-01-06T03:02:14
315964935,430600,137951,0,1200,92,13,0,1980-01-06T03:02:15
315964936,630600,139151,0,1200,104,13,0,1980-01-06T03:02:16
315964936,630600,139151,0,1200,115,13,0,1980-01-06T03:02:16
315964937,830600,140351,0,1200,128,13,0,1980-01-06T03:02:17
315964939,30600,141551,0,1200,139,13,0,1980-01-06T03:02:19
315964940,230700,142751,0,1200,150,13,0,1980-01-06T03:02:20
315964941,430700,143951,0,1200,164,13,0,1980-01-06T03:02:21
315964942,630600,145151,0,1200,175,13,0,1980-01-06T03:02:22
315964942,630600,145151,0,1200,186,13,0,1980-01-06T03:02:22
315964943,830600,146351,0,1200,199,13,0,1980-01-06T03:02:23
315964945,30600,147551,1,1200,210,13,0,1980-01-06T03:02:25
315964946,230600,148751,0,1200,222,13,0,1980-01-06T03:02:26
315964947,430600,149951,0,1200,235,13,0,1980-01-06T03:02:27
315964948,630600,151151,0,1200,246,13,0,1980-01-06T03:02:28
315964948,630600,151151,0,1200,1,13,0,1980-01-06T03:02:28
315964949,830600,152351,0,1200,14,13,0,1980-01-06T03:02:29
315964951,30600,153551,2,1200,26,13,0,1980-01-06T03:02:31
315964952,230600,154751,0,1200,37,13,0,1980-01-06T03:02:32
315964953,430600,155951,1,1200,50,13,0,1980-01-06T03:02:33
315964954,630700,157151,0,1200,61,13,0,1980-01-06T03:02:34
315964954,630700,157151,0,1200,72,13,0,1980-01-06T03:02:34
315964955,830700,158351,0,1200,86,13,0,1980-01-06T03:02:35
315964957,30600,159551,1,1200,97,13,0,1980-01-06T03:02:37
315964958,230600,160751,0,1200,108,13,0,1980-01-06T03:02:38
315964959,430600,161951,0,1200,121,13,0,1980-01-06T03:02:39
315964960,630600,163151,0,1200,132,13,0,1980-01-06T03:02:40
315964960,630600,163151,0,1200,144,13,0,1980-01-06T03:02:40
315964961,830600,164351,0,1200,157,13,0,1980-01-06T03:02:41
315964963,30600,165551,0,1200,168,13,0,1980-01-06T03:02:43
315964964,230600,166751,0,1200,179,13,0,1980-01-06T03:02:44
315964965,430600,167951,0,1200,192,13,0,1980-01-06T03:02:45
315964966,630600,169151,1,1200,204,13,0,1980-01-06T03:02:46
315964966,630600,169151,1,1200,215,13,0,1980-01-06T03:02:46
315964967,830600,170351,0,1200,228,13,0,1980-01-06T03:02:47
315964969,30700,171551,0,1200,239,13,0,1980-01-06T03:02:49
315964970,230700,172751,1,1200,250,13,0,1980-01-06T03:02:50
315964971,430600,173951,0,1200,8,13,0,1980-01-06T03:02:51
315964972,630600,175151,1,1200,19,13,0,1980-01-06T03:02:52
315964972,630600,175151,1,1200,30,13,0,1980-01-06T03:02:52
315964973,830600,176351,0,1200,43,13,0,1980-01-06T03:02:53
315964975,30600,177551,0,1200,54,13,0,1980-01-06T03:02:55
315964976,230600,178751,1,1200,66,13,0,1980-01-06T03:02:56
315964977,430600,179951,0,1200,79,13,0,1980-01-06T03:02:57
315964978,630600,181151,0,1200,90,13,0,1980-01-06T03:02:58
315964978,630600,181151,0,1200,101,13,0,1980-01-06T03:02:58
315964979,830600,182351,0,1200,114,13,0,1980-01-06T03:02:59
315964981,30600,183551,0,1200,126,13,0,1980-01-06T03:03:01
315964982,230600,184751,0,1200,137,13,0,1980-01-06T03:03:02
315964983,430700,185951,0,1200,150,13,0,1980-01-06T03:03:03
315964984,630700,187151,0,1200,161,13,0,1980-01-06T03:03:04
315964984,630700,187151,0,1200,172,13,0,1980-01-06T03:03:04
315964985,830600,188351,0,1200,186,13,0,1980-01-06T03:03:05
315964987,30600,189551,0,1200,197,13,0,1980-01-06T03:03:07
315964988,230600,190751,0,1200,208,13,0,1980-01-06T03:03:08
315964989,430600,191951,0,1200,221,13,0,1980-01-06T03:03:09
315964990,630600,193151,0,1200,232,13,0,1980-01-06T03:03:10
315964990,630600,193151,0,1200,244,13,0,1980-01-06T03:03:10
315964991,830600,194351,0,1200,1,13,0,1980-01-06T03:03:11
315964993,30600,195551,0,1200,12,13,0,1980-01-06T03:03:13
315964994,230600,196751,0,1200,23,13,0,1980-01-06T03:03:14
315964995,430600,197951,0,1200,36,13,0,1980-01-06T03:03:15
315964996,630700,199151,1,1200,48,13,0,1980-01-06T03:03:16
315964996,630700,199151,1,1200,59,13,0,1980-01-06T03:03:16
315964999,761700,200351,0,1200,72,13,0,1980-01-06T03:03:19
315965000,961600,201551,0,1200,83,13,0,1980-01-06T03:03:20
315965002,161600,202751,0,1200,94,13,0,1980-01-06T03:03:22
315965003,361600,203951,0,1200,108,13,0,1980-01-06T03:03:23
315965004,561600,205151,0,1200,119,13,0,1980-01-06T03:03:24
315965004,561600,205151,0,1200,130,13,0,1980-01-06T03:03:24
315965005,761600,206351,0,1200,143,13,0,1980-01-06T03:03:25
315965006,961600,207551,0,1200,154,13,0,1980-01-06T03:03:26
315965008,161600,208751,0,1200,166,13,0,1980-01-06T03:03:28
315965009,361600,209951,0,1200,179,13,0,1980-01-06T03:03:29
315965010,561600,211151,0,1200,190,13,0,1980-01-06T03:03:30
315965010,561600,211151,0,1200,201,13,0,1980-01-06T03:03:30
