time_s,time_us,time_steady,o2_conc,seq,srcSystem,srcComponent,time_gregorian
315964876,52200,78573,10.549162864685059,154,13,0,1980-01-06T03:01:16
315964877,52200,79573,10.844145774841309,165,13,0,1980-01-06T03:01:17
315964878,52200,80573,11.139129638671875,176,13,0,1980-01-06T03:01:18
315964879,52200,81573,11.434113502502441,189,13,0,1980-01-06T03:01:19
315964880,52200,82573,11.6729097366333,200,13,0,1980-01-06T03:01:20
315964881,52200,83573,11.925751686096191,212,13,0,1980-01-06T03:01:21
315964882,52200,84573,12.178593635559082,225,13,0,1980-01-06T03:01:22
315964883,52200,85573,12.417389869689941,236,13,0,1980-01-06T03:01:23
315964884,52200,86573,12.656185150146484,247,13,0,1980-01-06T03:01:24
315964885,52200,87573,12.8528413772583,4,13,0,1980-01-06T03:01:25
315964886,52200,88573,13.0494966506958,16,13,0,1980-01-06T03:01:26
315964887,52200,89573,13.274247169494629,27,13,0,1980-01-06T03:01:27
315964888,52200,90573,13.456853866577148,40,13,0,1980-01-06T03:01:28
315964889,52200,91573,13.611371040344238,51,13,0,1980-01-06T03:01:29
315964890,52200,92573,13.779932022094727,62,13,0,1980-01-06T03:01:30
315964891,52200,93573,13.962539672851562,76,13,0,1980-01-06T03:01:31
315964892,52200,94573,14.103008270263672,87,13,0,1980-01-06T03:01:32
315964893,52200,95573,14.243475914001465,98,13,0,1980-01-06T03:01:33
315964894,52200,96573,14.38394546508789,111,13,0,1980-01-06T03:01:34
315964895,52200,97573,14.552506446838379,122,13,0,1980-01-06T03:01:35
315964896,52200,98573,14.636788368225098,134,13,0,1980-01-06T03:01:36
315964897,52200,99573,14.791302680969238,147,13,0,1980-01-06T03:01:37
315964898,52200,100573,14.875582695007324,158,13,0,1980-01-06T03:01:38
315964899,52200,101573,15.01605224609375,169,13,0,1980-01-06T03:01:39
315964900,52200,102573,15.100333213806152,182,13,0,1980-01-06T03:01:40
315964901,52200,103573,15.198660850524902,194,13,0,1980-01-06T03:01:41
315964902,52200,104573,15.296987533569336,205,13,0,1980-01-06T03:01:42
315964903,52200,105573,15.40936279296875,218,13,0,1980-01-06T03:01:43
315964904,52200,106573,15.479597091674805,229,13,0,1980-01-06T03:01:44
315964905,52200,107573,15.563879013061523,240,13,0,1980-01-06T03:01:45
315964906,52200,108573,15.648160934448242,254,13,0,1980-01-06T03:01:46
315964907,52200,109573,15.76053524017334,9,13,0,1980-01-06T03:01:47
315964908,52200,110573,15.816722869873047,20,13,0,1980-01-06T03:01:48
315964909,52200,111573,15.858861923217773,33,13,0,1980-01-06T03:01:49
315964910,52200,112573,15.929095268249512,44,13,0,1980-01-06T03:01:50
315964911,52200,113573,16.013378143310547,56,13,0,1980-01-06T03:01:51
315964912,52200,114573,16.0836124420166,69,13,0,1980-01-06T03:01:52
315964913,52200,115573,16.125751495361328,80,13,0,1980-01-06T03:01:53
315964914,52200,116573,16.210031509399414,91,13,0,1980-01-06T03:01:54
315964915,52200,117573,16.252174377441406,104,13,0,1980-01-06T03:01:55
315964916,52200,118573,16.28026580810547,116,13,0,1980-01-06T03:01:56
315964917,52200,119573,16.336454391479492,127,13,0,1980-01-06T03:01:57
315964918,52200,120573,16.392641067504883,140,13,0,1980-01-06T03:01:58
315964919,52200,121573,16.43478012084961,151,13,0,1980-01-06T03:01:59
315964920,52200,122573,16.47692108154297,162,13,0,1980-01-06T03:02:00
315964921,52200,123573,16.547155380249023,176,13,0,1980-01-06T03:02:01
315964922,52200,124573,16.561203002929688,187,13,0,1980-01-06T03:02:02
315964923,52200,125573,16.617389678955078,198,13,0,1980-01-06T03:02:03
315964924,52200,126573,16.645484924316406,211,13,0,1980-01-06T03:02:04
315964925,52200,127573,16.715717315673828,222,13,0,1980-01-06T03:02:05
315964926,52200,128573,16.715717315673828,234,13,0,1980-01-06T03:02:06
315964927,52200,129573,16.75786018371582,247,13,0,1980-01-06T03:02:07
315964928,52200,130573,16.785951614379883,2,13,0,1980-01-06T03:02:08
315964929,52200,131573,16.799999237060547,13,13,0,1980-01-06T03:02:09
315964930,52200,132573,16.87023162841797,26,13,0,1980-01-06T03:02:10
315964931,52200,133573,16.884281158447266,38,13,0,1980-01-06T03:02:11
315964932,52200,134573,16.912372589111328,49,13,0,1980-01-06T03:02:12
315964933,52200,135573,16.926420211791992,62,13,0,1980-01-06T03:02:13
315964934,52200,136573,16.96856117248535,73,13,0,1980-01-06T03:02:14
315964935,52200,137573,16.982606887817383,84,13,0,1980-01-06T03:02:15
315964936,52200,138573,17.01070213317871,98,13,0,1980-01-06T03:02:16
315964937,52200,139573,17.052841186523438,109,13,0,1980-01-06T03:02:17
315964938,52200,140573,17.06688690185547,120,13,0,1980-01-06T03:02:18
315964939,52200,141573,17.080934524536133,133,13,0,1980-01-06T03:02:19
315964940,52200,142573,17.109027862548828,144,13,0,1980-01-06T03:02:20
315964941,52200,143573,17.15117073059082,156,13,0,1980-01-06T03:02:21
315964942,52200,144573,17.179264068603516,169,13,0,1980-01-06T03:02:22
315964943,52200,145573,17.179264068603516,180,13,0,1980-01-06T03:02:23
315964944,52200,146573,17.193309783935547,191,13,0,1980-01-06T03:02:24
315964945,52200,147573,17.221403121948242,204,13,0,1980-01-06T03:02:25
315964946,52200,148573,17.2635440826416,216,13,0,1980-01-06T03:02:26
315964947,52200,149573,17.277591705322266,227,13,0,1980-01-06T03:02:27
315964948,52200,150573,17.319730758666992,240,13,0,1980-01-06T03:02:28
315964949,52200,151573,17.347824096679688,251,13,0,1980-01-06T03:02:29
315964950,52200,152573,17.347824096679688,6,13,0,1980-01-06T03:02:30
315964951,52200,153573,17.375917434692383,20,13,0,1980-01-06T03:02:31
315964952,52200,154573,17.418058395385742,31,13,0,1980-01-06T03:02:32
315964953,52200,155573,17.432106018066406,42,13,0,1980-01-06T03:02:33
315964954,52200,156573,17.44615364074707,55,13,0,1980-01-06T03:02:34
315964955,52200,157573,17.50234031677246,66,13,0,1980-01-06T03:02:35
315964956,52200,158573,17.544479370117188,78,13,0,1980-01-06T03:02:36
315964957,52200,159573,17.55852699279785,91,13,0,1980-01-06T03:02:37
315964958,52200,160573,17.60066795349121,102,13,0,1980-01-06T03:02:38
315964959,52200,161573,17.614715576171875,113,13,0,1980-01-06T03:02:39
315964960,52200,162573,17.628759384155273,126,13,0,1980-01-06T03:02:40
315964961,52200,163573,17.69899559020996,138,13,0,1980-01-06T03:02:41
315964962,52200,164573,17.727088928222656,149,13,0,1980-01-06T03:02:42
