time_s,time_us,time_steady,temperature,pressure,humidity,altitude,seq,srcSystem,srcComponent,time_gregorian
2,151900,1152,9.67361824682448,102750.69775037708,68.5584894343849,-118.00682067871094,1,13,1,1970-01-01T03:00:02
3,151900,2152,8.879603258890189,102616.38952849957,68.44739077692583,-106.9471435546875,12,13,1,1970-01-01T03:00:03
5,862900,6152,9.692651853725328,102753.02383707583,68.40500070343106,-118.19847869873047,61,13,1,1970-01-01T03:00:05
315964804,631200,7152,9.687893451616423,102749.45105198714,68.41041789463837,-117.90455627441406,72,13,1,1980-01-06T03:00:04
315964805,631200,8152,8.720991450002135,102583.53260228482,68.33937748034077,-104.23936462402344,83,13,1,1980-01-06T03:00:05
315964806,631200,9152,8.516699858940251,102552.54403021574,68.32553008852315,-101.68608856201172,97,13,1,1980-01-06T03:00:06
315964807,631200,10152,8.517334304145356,102550.69755743993,68.31985241282582,-101.53350830078125,108,13,1,1980-01-06T03:00:07
315964808,631300,11152,8.812986264539564,102601.33669918985,68.34560710253228,-105.70655822753906,119,13,1,1980-01-06T03:00:08
315964809,631300,12152,9.698361936593665,102747.8219489628,68.40538207808697,-117.77013397216797,132,13,1,1980-01-06T03:00:09
315964810,631200,13152,9.701534205013013,102748.52357634295,68.41705847453319,-117.82801818847656,143,13,1,1980-01-06T03:00:10
315964811,631200,14152,8.508769294260128,102547.43149785744,68.33642153524106,-101.264404296875,155,13,1,1980-01-06T03:00:11
315964812,631200,15152,8.424388130063836,102530.78291187892,68.33069496059882,-99.89237976074219,168,13,1,1980-01-06T03:00:12
315964813,631200,16152,8.769209409836208,102589.7368254473,68.35980697624669,-104.75053405761719,179,13,1,1980-01-06T03:00:13
315964814,631200,17152,8.547787679338239,102552.21540726259,68.34478951097027,-101.65904998779297,190,13,1,1980-01-06T03:00:14
315964815,631200,18152,9.715174960511671,102747.95488850417,68.42944563074435,-117.78106689453125,203,13,1,1980-01-06T03:00:15
315964816,631200,19152,9.71834722953356,102748.98173027224,68.42965618136805,-117.865966796875,215,13,1,1980-01-06T03:00:16
315964817,631200,20152,8.744465979798246,102579.61711414129,68.36956686800963,-103.91682434082031,226,13,1,1980-01-06T03:00:17
315964818,631200,21152,8.941144717270458,102614.32826319434,68.38861550678601,-106.77718353271484,239,13,1,1980-01-06T03:00:18
315964819,631300,22152,8.805690120585496,102591.81049036181,68.40232946249876,-104.9217758178711,250,13,1,1980-01-06T03:00:19
315964820,631300,23152,9.02679527179664,102628.1338780635,68.41731708207762,-107.91476440429688,5,13,1,1980-01-06T03:00:20
315964821,631200,24152,9.36019877509425,102683.98925623372,68.44560758508408,-112.51543426513672,19,13,1,1980-01-06T03:00:21
315964822,631200,25152,9.73611193815707,102748.6325558408,68.4709873118433,-117.83702087402344,30,13,1,1980-01-06T03:00:22
315964823,631200,26152,9.745628747814795,102750.7711285253,68.47736638186502,-118.01325225830078,41,13,1,1980-01-06T03:00:23
315964824,631200,27152,9.234894742166421,102655.54527159884,68.45430601040253,-110.17365264892578,54,13,1,1980-01-06T03:00:24
315964825,631200,28152,9.29675367296186,102665.5695478807,68.47567989382242,-110.99884033203125,65,13,1,1980-01-06T03:00:25
315964826,631200,29152,9.35924709822632,102676.6703425493,68.49136836565793,-111.91278839111328,77,13,1,1980-01-06T03:00:26
315964827,631200,30152,9.306587660814353,102667.09072714683,68.48779647992575,-111.12425994873047,90,13,1,1980-01-06T03:00:27
315964828,631200,31152,9.80272962724796,102745.80905142815,68.5500234953742,-117.6048355102539,101,13,1,1980-01-06T03:00:28
315964829,631200,32152,9.81256367131291,102743.78646067216,68.57363372305613,-117.4382553100586,112,13,1,1980-01-06T03:00:29
315964830,631300,33152,9.366860513456254,102665.63264898316,68.60072228872647,-111.00399017333984,125,13,1,1980-01-06T03:00:30
