time_s,time_us,time_steady,current,voltage,seq,srcSystem,srcComponent,time_gregorian
0,238200,233,nan,nan,1,10,1,1970-01-01T03:00:00
1,680259,1676,nan,nan,11,10,1,1970-01-01T03:00:01
3,137624,3133,nan,nan,27,10,1,1970-01-01T03:00:03
4,687482,4683,nan,nan,37,10,1,1970-01-01T03:00:04
315964803,908568,6136,0.00457763671875,7.97599983215332,53,10,1,1980-01-06T03:00:03
315964805,317943,7545,0.0054931640625,7.964000225067139,63,10,1,1980-01-06T03:00:05
315964806,765802,8993,0.0054931640625,7.992000102996826,73,10,1,1980-01-06T03:00:06
315964808,238071,10465,0.00457763671875,7.78000020980835,89,10,1,1980-01-06T03:00:08
315964809,666884,11894,0.00457763671875,7.835999965667725,99,10,1,1980-01-06T03:00:09
315964811,95929,13323,0.0054931640625,7.771999835968018,115,10,1,1980-01-06T03:00:11
315964812,648131,14875,nan,nan,125,10,1,1980-01-06T03:00:12
315964814,75910,16303,nan,nan,141,10,1,1980-01-06T03:00:14
315964815,545936,17773,0.00457763671875,7.835999965667725,151,10,1,1980-01-06T03:00:15
315964817,48215,19275,0.00457763671875,7.815999984741211,167,10,1,1980-01-06T03:00:17
315964818,518556,20746,0.0054931640625,7.751999855041504,177,10,1,1980-01-06T03:00:18
315964820,18143,22245,nan,nan,193,10,1,1980-01-06T03:00:20
315964821,445928,23673,0.00457763671875,7.820000171661377,203,10,1,1980-01-06T03:00:21
315964822,895936,25123,0.00457763671875,7.823999881744385,219,10,1,1980-01-06T03:00:22
315964824,408688,26636,0.00457763671875,7.823999881744385,229,10,1,1980-01-06T03:00:24
315964825,858552,28086,0.0054931640625,7.760000228881836,239,10,1,1980-01-06T03:00:25
315964827,306929,29534,0.00457763671875,7.763999938964844,255,10,1,1980-01-06T03:00:27
315964828,738572,30966,0.00457763671875,7.823999881744385,9,10,1,1980-01-06T03:00:28
315964830,157827,32385,0.00640869140625,7.788000106811523,25,10,1,1980-01-06T03:00:30
315964831,645943,33873,0.0054931640625,7.760000228881836,35,10,1,1980-01-06T03:00:31
315964833,128047,35355,nan,nan,51,10,1,1980-01-06T03:00:33
315964834,568579,36796,0.00457763671875,7.823999881744385,61,10,1,1980-01-06T03:00:34
315964836,28541,38256,0.0054931640625,7.75600004196167,77,10,1,1980-01-06T03:00:36
315964837,477834,39705,0.00457763671875,7.788000106811523,87,10,1,1980-01-06T03:00:37
315964839,5949,41233,0.0054931640625,7.75600004196167,103,10,1,1980-01-06T03:00:39
315964840,476254,42703,nan,nan,113,10,1,1980-01-06T03:00:40
315964841,978534,44206,0.00457763671875,7.78000020980835,129,10,1,1980-01-06T03:00:41
315964843,415924,45643,0.0054931640625,7.75600004196167,139,10,1,1980-01-06T03:00:43
315964844,938111,47165,0.00457763671875,7.815999984741211,149,10,1,1980-01-06T03:00:44
315964846,365920,48593,0.00457763671875,7.815999984741211,165,10,1,1980-01-06T03:00:46
315964847,808583,50036,0.00457763671875,7.815999984741211,175,10,1,1980-01-06T03:00:47
315964849,285947,51513,0.0054931640625,7.800000190734863,191,10,1,1980-01-06T03:00:49
315964850,728620,52956,0.0054931640625,7.75600004196167,201,10,1,1980-01-06T03:00:50
315964852,175802,54403,0.0054931640625,7.75600004196167,217,10,1,1980-01-06T03:00:52
315964853,595921,55823,0.00457763671875,7.815999984741211,227,10,1,1980-01-06T03:00:53
