time_s,time_us,time_steady,last_report_time,last_good_report_time,reports_counter,bad_reports_counter,last_mistake,ignorance_depth,punishments_counter,last_punishment_time,seq,srcSystem,srcComponent,time_gregorian
315964805,654200,8175,8152,8152,8,0,0,0,0,0,86,13,1,1980-01-06T03:00:05
315964830,654200,33175,33152,33152,33,0,0,0,0,0,128,13,1,1980-01-06T03:00:30
315964855,654200,58175,58152,58152,58,0,0,0,0,0,168,13,1,1980-01-06T03:00:55
315964880,654200,83175,83152,83152,83,0,0,0,0,0,208,13,1,1980-01-06T03:01:20
315964905,654200,108175,108152,108152,108,0,0,0,0,0,250,13,1,1980-01-06T03:01:45
315964930,654200,133175,133152,133152,133,0,0,0,0,0,34,13,1,1980-01-06T03:02:10
315964955,654200,158175,158152,158152,158,0,0,0,0,0,74,13,1,1980-01-06T03:02:35
315964980,654200,183175,183152,183152,183,0,0,0,0,0,116,13,1,1980-01-06T03:03:00
315965007,585200,208175,208152,208152,208,0,0,0,0,0,156,13,1,1980-01-06T03:03:27
315965032,585200,233175,233152,233152,233,0,0,0,0,0,196,13,1,1980-01-06T03:03:52
315965057,585200,258175,258152,258152,258,0,0,0,0,0,238,13,1,1980-01-06T03:04:17
315965082,585200,283175,283152,283152,283,0,0,0,0,0,22,13,1,1980-01-06T03:04:42
315965107,585200,308175,308152,308152,308,0,0,0,0,0,62,13,1,1980-01-06T03:05:07
315965132,585200,333175,333152,333152,333,0,0,0,0,0,104,13,1,1980-01-06T03:05:32
315965157,585200,358175,358152,358152,358,0,0,0,0,0,144,13,1,1980-01-06T03:05:57
315965182,585200,383175,383152,383152,383,0,0,0,0,0,184,13,1,1980-01-06T03:06:22
315965207,748500,408175,408152,408152,408,0,0,0,0,0,226,13,1,1980-01-06T03:06:47
315965232,748500,433175,433152,433152,433,0,0,0,0,0,10,13,1,1980-01-06T03:07:12
315965257,748500,458175,458152,458152,458,0,0,0,0,0,50,13,1,1980-01-06T03:07:37
315965282,748500,483175,483152,483152,483,0,0,0,0,0,92,13,1,1980-01-06T03:08:02
315965307,748500,508175,508152,508152,508,0,0,0,0,0,132,13,1,1980-01-06T03:08:27
315965332,748500,533175,533152,533152,533,0,0,0,0,0,172,13,1,1980-01-06T03:08:52
315965357,748500,558175,558152,558152,558,0,0,0,0,0,214,13,1,1980-01-06T03:09:17
315965382,748500,583175,583152,583152,583,0,0,0,0,0,254,13,1,1980-01-06T03:09:42
315965408,16700,608175,608152,608152,608,0,0,0,0,0,38,13,1,1980-01-06T03:10:08
315965433,16700,633175,633152,633152,633,0,0,0,0,0,80,13,1,1980-01-06T03:10:33
315965458,16700,658175,658152,658152,658,0,0,0,0,0,120,13,1,1980-01-06T03:10:58
315965483,16700,683175,683152,683152,683,0,0,0,0,0,160,13,1,1980-01-06T03:11:23
