time_s,time_us,time_steady,update_time_operator,update_time_radio,last_packet_time,last_packet_rssi,last_packet_snr,last_packet_signal_rssi,last_executed_cmd_seq,radio_error_bits,radio_state,count_packet_recieved,count_crc_errors,count_hdr_errors,count_mavlink_msgs_recieved,count_operator_cmds_recieved,count_operator_cmds_executed,count_operator_errors,seq,srcSystem,srcComponent,time_gregorian
315964843,776321,46003,46003,45873,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,138,10,0,1980-01-06T03:00:43
315964844,776602,47004,46993,47004,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,141,10,0,1980-01-06T03:00:44
315964845,785790,48013,48003,48013,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,144,10,0,1980-01-06T03:00:45
315964846,776322,49003,49003,48993,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,147,10,0,1980-01-06T03:00:46
315964847,776330,50003,50003,49983,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,150,10,0,1980-01-06T03:00:47
315964848,776326,51003,51003,50903,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,153,10,0,1980-01-06T03:00:48
315964849,776560,52004,51993,52003,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,156,10,0,1980-01-06T03:00:49
315964850,775933,53003,53003,53003,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,159,10,0,1980-01-06T03:00:50
315964851,776325,54003,54003,53863,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,162,10,0,1980-01-06T03:00:51
315964852,775938,55003,55003,54993,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,165,10,0,1980-01-06T03:00:52
315964853,776459,56003,56003,55983,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,168,10,0,1980-01-06T03:00:53
315964854,785795,57013,57003,57013,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,171,10,0,1980-01-06T03:00:54
315964855,776333,58003,58003,57993,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,174,10,0,1980-01-06T03:00:55
315964856,776330,59003,59003,58863,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,177,10,0,1980-01-06T03:00:56
315964857,776318,60003,60003,59983,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,180,10,0,1980-01-06T03:00:57
315964858,776302,61003,61003,60993,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,183,10,0,1980-01-06T03:00:58
315964859,776330,62003,62003,61993,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,186,10,0,1980-01-06T03:00:59
315964860,785789,63013,63003,63013,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,189,10,0,1980-01-06T03:01:00
315964861,776345,64003,64003,63883,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,192,10,0,1980-01-06T03:01:01
315964862,775953,65003,65003,64993,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,195,10,0,1980-01-06T03:01:02
315964863,785808,66013,66003,66013,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,198,10,0,1980-01-06T03:01:03
315964864,776322,67003,67003,66993,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,201,10,0,1980-01-06T03:01:04
315964865,785943,68013,68003,68013,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,204,10,0,1980-01-06T03:01:05
315964866,776347,69003,69003,68873,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,207,10,0,1980-01-06T03:01:06
315964867,785794,70013,70003,70013,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,210,10,0,1980-01-06T03:01:07
315964869,776402,72003,72003,71883,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,216,10,0,1980-01-06T03:01:09
315964870,776325,73003,73003,72993,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,219,10,0,1980-01-06T03:01:10
315964871,785796,74013,74003,74013,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,222,10,0,1980-01-06T03:01:11
315964872,786079,75013,75003,75013,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,225,10,0,1980-01-06T03:01:12
315964873,786546,76014,76003,76013,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,228,10,0,1980-01-06T03:01:13
315964874,776322,77003,77003,76893,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,231,10,0,1980-01-06T03:01:14
315964875,785859,78013,78003,78013,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,234,10,0,1980-01-06T03:01:15
315964876,775934,79003,79003,78993,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,237,10,0,1980-01-06T03:01:16
315964877,785789,80013,80003,80013,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,240,10,0,1980-01-06T03:01:17
315964878,776329,81003,81003,80983,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,243,10,0,1980-01-06T03:01:18
315964879,776333,82003,82003,81963,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,246,10,0,1980-01-06T03:01:19
315964880,775942,83003,83003,82993,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,249,10,0,1980-01-06T03:01:20
315964881,776330,84003,84003,83993,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,252,10,0,1980-01-06T03:01:21
315964882,776344,85003,85003,84913,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,255,10,0,1980-01-06T03:01:22
315964883,776448,86003,85993,86003,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,2,10,0,1980-01-06T03:01:23
315964884,775921,87003,87003,87003,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,5,10,0,1980-01-06T03:01:24
315964885,785841,88013,88003,88013,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,8,10,0,1980-01-06T03:01:25
315964886,786029,89013,89003,89013,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,11,10,0,1980-01-06T03:01:26
315964887,776330,90003,90003,89893,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,14,10,0,1980-01-06T03:01:27
315964888,775949,91003,91003,91003,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,17,10,0,1980-01-06T03:01:28
315964889,775946,92003,92003,92003,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,20,10,0,1980-01-06T03:01:29
315964890,775981,93003,93003,92993,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,23,10,0,1980-01-06T03:01:30
315964891,775938,94003,94003,93993,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,26,10,0,1980-01-06T03:01:31
315964892,776330,95003,95003,94953,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,29,10,0,1980-01-06T03:01:32
315964893,775935,96003,96003,95993,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,32,10,0,1980-01-06T03:01:33
315964894,776325,97003,97003,96993,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,35,10,0,1980-01-06T03:01:34
315964895,785839,98013,98003,98013,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,38,10,0,1980-01-06T03:01:35
315964896,775976,99003,98993,99003,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,41,10,0,1980-01-06T03:01:36
315964897,776326,100003,100003,99923,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,44,10,0,1980-01-06T03:01:37
315964898,776330,101003,101003,100994,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,47,10,0,1980-01-06T03:01:38
315964899,776329,102003,102003,101993,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,50,10,0,1980-01-06T03:01:39
315964900,776329,103003,103003,102913,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,53,10,0,1980-01-06T03:01:40
315964901,776481,104003,103993,104003,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,56,10,0,1980-01-06T03:01:41
315964902,775952,105003,105003,105003,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,59,10,0,1980-01-06T03:01:42
315964903,785794,106013,106003,106013,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,62,10,0,1980-01-06T03:01:43
315964904,775955,107003,107003,107003,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,65,10,0,1980-01-06T03:01:44
315964905,776345,108003,108003,107943,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,68,10,0,1980-01-06T03:01:45
