time_s,time_us,cookie,rssi_pkt,snr_pkt,rssi_signal,time_gregorian,log_timestamp,log_timestamp_gregorian
1633357308,613889,707,-64,6,-66,2021-10-04T17:21:48,1633357308.617952,2021-10-04T17:21:48
1633357309,214381,708,-64,12,-64,2021-10-04T17:21:49,1633357309.217206,2021-10-04T17:21:49
1633357311,853641,709,-64,12,-65,2021-10-04T17:21:51,1633357311.858017,2021-10-04T17:21:51
1633357312,443697,710,-62,12,-62,2021-10-04T17:21:52,1633357312.44786,2021-10-04T17:21:52
1633357313,34010,711,-60,12,-61,2021-10-04T17:21:53,1633357313.038182,2021-10-04T17:21:53
1633357313,623647,712,-60,11,-61,2021-10-04T17:21:53,1633357313.626816,2021-10-04T17:21:53
1633357314,233688,713,-61,13,-61,2021-10-04T17:21:54,1633357314.237288,2021-10-04T17:21:54
1633357314,815268,714,-61,13,-61,2021-10-04T17:21:54,1633357314.81836,2021-10-04T17:21:54
1633357315,403909,715,-61,12,-62,2021-10-04T17:21:55,1633357315.406894,2021-10-04T17:21:55
1633357318,53709,716,-61,11,-62,2021-10-04T17:21:58,1633357318.057751,2021-10-04T17:21:58
1633357318,644323,717,-64,12,-64,2021-10-04T17:21:58,1633357318.647375,2021-10-04T17:21:58
1633357319,234268,718,-63,11,-63,2021-10-04T17:21:59,1633357319.237595,2021-10-04T17:21:59
1633357319,823767,719,-63,12,-64,2021-10-04T17:21:59,1633357319.827049,2021-10-04T17:21:59
1633357320,433716,720,-60,12,-61,2021-10-04T17:22:00,1633357320.437572,2021-10-04T17:22:00
1633357321,34162,721,-58,13,-58,2021-10-04T17:22:01,1633357321.037887,2021-10-04T17:22:01
1633357321,614029,722,-62,11,-63,2021-10-04T17:22:01,1633357321.616764,2021-10-04T17:22:01
1633357324,244747,723,-58,12,-59,2021-10-04T17:22:04,1633357324.247751,2021-10-04T17:22:04
1633357324,834022,724,-61,11,-62,2021-10-04T17:22:04,1633357324.837019,2021-10-04T17:22:04
1633357325,424480,725,-60,13,-61,2021-10-04T17:22:05,1633357325.427944,2021-10-04T17:22:05
1633357326,4049,726,-59,12,-60,2021-10-04T17:22:06,1633357326.007006,2021-10-04T17:22:06
1633357326,584092,727,-59,12,-59,2021-10-04T17:22:06,1633357326.587155,2021-10-04T17:22:06
1633357327,175670,728,-61,12,-61,2021-10-04T17:22:07,1633357327.178245,2021-10-04T17:22:07
1633357327,764235,729,-61,13,-61,2021-10-04T17:22:07,1633357327.767019,2021-10-04T17:22:07
1633357330,414097,730,-60,12,-61,2021-10-04T17:22:10,1633357330.417052,2021-10-04T17:22:10
1633357331,34186,731,-61,12,-62,2021-10-04T17:22:11,1633357331.037502,2021-10-04T17:22:11
1633357331,624435,732,-62,12,-62,2021-10-04T17:22:11,1633357331.627432,2021-10-04T17:22:11
1633357332,213787,733,-62,12,-62,2021-10-04T17:22:12,1633357332.216671,2021-10-04T17:22:12
1633357332,794279,734,-62,11,-63,2021-10-04T17:22:12,1633357332.797947,2021-10-04T17:22:12
1633357333,384078,735,-61,12,-61,2021-10-04T17:22:13,1633357333.387681,2021-10-04T17:22:13
1633357333,974710,736,-60,12,-61,2021-10-04T17:22:13,1633357333.978657,2021-10-04T17:22:13
1633357336,623825,737,-62,12,-62,2021-10-04T17:22:16,1633357336.62693,2021-10-04T17:22:16
