time_s,time_us,checksum_valid,cookie,frame_no,rssi_pkt,snr_pkt,rssi_signal,time_gregorian,log_timestamp,log_timestamp_gregorian
1633357302,973955,True,702,293,-62,11,-63,2021-10-04T17:21:42,1633357302.975574,2021-10-04T17:21:42
1633357306,223764,True,703,295,-63,13,-63,2021-10-04T17:21:46,1633357306.226109,2021-10-04T17:21:46
1633357306,803556,True,704,296,-66,4,-67,2021-10-04T17:21:46,1633357306.805596,2021-10-04T17:21:46
1633357307,433565,True,705,297,-65,5,-66,2021-10-04T17:21:47,1633357307.435138,2021-10-04T17:21:47
1633357308,33543,True,706,298,-61,12,-62,2021-10-04T17:21:48,1633357308.035149,2021-10-04T17:21:48
1633357308,613561,True,707,299,-64,6,-66,2021-10-04T17:21:48,1633357308.616652,2021-10-04T17:21:48
1633357309,214066,True,708,300,-64,12,-64,2021-10-04T17:21:49,1633357309.215761,2021-10-04T17:21:49
1633357311,853560,True,709,301,-64,12,-65,2021-10-04T17:21:51,1633357311.856283,2021-10-04T17:21:51
1633357312,443615,True,710,302,-62,12,-62,2021-10-04T17:21:52,1633357312.446295,2021-10-04T17:21:52
1633357313,33928,True,711,303,-60,12,-61,2021-10-04T17:21:53,1633357313.036629,2021-10-04T17:21:53
1633357313,623564,True,712,304,-60,11,-61,2021-10-04T17:21:53,1633357313.625283,2021-10-04T17:21:53
1633357314,233595,True,713,305,-61,13,-61,2021-10-04T17:21:54,1633357314.235402,2021-10-04T17:21:54
1633357314,814926,True,714,306,-61,13,-61,2021-10-04T17:21:54,1633357314.816664,2021-10-04T17:21:54
1633357315,403584,True,715,307,-61,12,-62,2021-10-04T17:21:55,1633357315.405225,2021-10-04T17:21:55
1633357318,53619,True,716,308,-61,11,-62,2021-10-04T17:21:58,1633357318.055296,2021-10-04T17:21:58
1633357318,643836,True,717,309,-64,12,-64,2021-10-04T17:21:58,1633357318.645565,2021-10-04T17:21:58
1633357319,234185,True,718,310,-63,11,-63,2021-10-04T17:21:59,1633357319.235972,2021-10-04T17:21:59
1633357319,823674,True,719,311,-63,12,-64,2021-10-04T17:21:59,1633357319.825525,2021-10-04T17:21:59
1633357320,433633,True,720,312,-60,12,-61,2021-10-04T17:22:00,1633357320.435277,2021-10-04T17:22:00
1633357321,33843,True,721,313,-58,13,-58,2021-10-04T17:22:01,1633357321.035861,2021-10-04T17:22:01
