time_s,time_us,time_steady,last_report_time,last_good_report_time,reports_counter,bad_reports_counter,last_mistake,ignorance_depth,punishments_counter,last_punishment_time,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965242,748500,443175,442395,442395,442,0,0,0,0,0,128,13,3,1980-01-06T03:07:22,1633357486.03478,2021-10-04T17:24:46
315965743,143800,943175,942395,942395,942,0,0,0,0,0,174,13,3,1980-01-06T03:15:43,1633357985.411521,2021-10-04T17:33:05
315965768,143800,968175,967395,967395,967,0,0,0,0,0,214,13,3,1980-01-06T03:16:08,1633358010.419541,2021-10-04T17:33:30
315965918,415100,1118175,1117395,1117395,1117,0,0,0,0,0,202,13,3,1980-01-06T03:18:38,1633358159.056397,2021-10-04T17:35:59
