time_s,time_us,time_steady,count_tick,delta_time,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965286,724900,487151,0,1200,137,13,0,1980-01-06T03:08:06,1633357530.057724,2021-10-04T17:25:30
315965299,924900,500351,0,1200,48,13,0,1980-01-06T03:08:19,1633357543.1822798,2021-10-04T17:25:43
315965866,720300,1066751,0,1200,107,13,0,1980-01-06T03:17:46,1633358110.3040729,2021-10-04T17:35:10
