time_s,time_us,time_steady,count_tick,delta_time,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965632,720200,832751,26,75600,147,13,1,1980-01-06T03:13:52,1633357874.8746278,2021-10-04T17:31:14
315965701,120200,901151,33,75600,198,13,1,1980-01-06T03:15:01,1633357943.328853,2021-10-04T17:32:23
315965728,720200,928751,37,75600,7,13,1,1980-01-06T03:15:28,1633357972.3047118,2021-10-04T17:32:52
315965743,120200,943151,37,75600,173,13,1,1980-01-06T03:15:43,1633357985.411521,2021-10-04T17:33:05
315965866,720300,1066751,54,75600,108,13,1,1980-01-06T03:17:46,1633358110.3040729,2021-10-04T17:35:10
315966252,441700,1451951,122,75600,70,13,1,1980-01-06T03:24:12,1633358494.628592,2021-10-04T17:41:34
