time_s,time_us,time_steady,temperature,pressure,humidity,altitude,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965241,725500,442152,5.421613051320674,84901.03178012777,51.51401667659881,1467.1416015625,114,13,1,1980-01-06T03:07:21,1633357486.03478,2021-10-04T17:24:46
315965247,725500,448152,5.11296679122554,84443.91381528607,51.59008767359555,1511.1669921875,185,13,1,1980-01-06T03:07:27,1633357492.1996639,2021-10-04T17:24:52
315965262,725500,463152,4.038581677826369,83310.73081938075,50.87431053707653,1621.14794921875,107,13,1,1980-01-06T03:07:42,1633357505.314077,2021-10-04T17:25:05
315965269,725500,470152,4.057296866387537,82810.8388005517,47.06780247034168,1670.0521240234375,190,13,1,1980-01-06T03:07:49,1633357512.119937,2021-10-04T17:25:12
315965454,993800,655152,2.526153759405497,70820.09819903955,28.792065433228892,2921.85546875,82,13,1,1980-01-06T03:10:54,1633357698.2443209,2021-10-04T17:28:18
315965544,993700,745152,1.0502292006405924,65535.759823251545,26.69130549264767,3528.965576171875,126,13,1,1980-01-06T03:12:24,1633357787.242189,2021-10-04T17:29:47
315965593,993700,794152,-0.5297091843472117,62690.2361389761,24.54403977540243,3872.536376953125,195,13,1,1980-01-06T03:13:13,1633357836.266912,2021-10-04T17:30:36
315965752,120800,952152,-4.9680400583094295,54231.438363019464,24.159337580312965,4974.63232421875,22,13,1,1980-01-06T03:15:52,1633357993.9364479,2021-10-04T17:33:13
315966261,642200,1461152,-24.529186521646057,31411.321803142593,17.872629359851608,8867.3662109375,175,13,1,1980-01-06T03:24:21,1633358502.7102878,2021-10-04T17:41:42
