time_s,time_us,time_steady,dna_temp,heater_is_on,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965675,363800,875395,16.783966064453125,0,137,13,0,1980-01-06T03:14:35,1633357916.9289289,2021-10-04T17:31:56
315965688,363800,888395,19.40533447265625,0,37,13,0,1980-01-06T03:14:48,1633357929.956929,2021-10-04T17:32:09
315965701,363800,901395,16.282440185546875,0,190,13,0,1980-01-06T03:15:01,1633357942.9973009,2021-10-04T17:32:22
315965716,363800,916395,20.528717041015625,0,112,13,0,1980-01-06T03:15:16,1633357956.676957,2021-10-04T17:32:36
315965729,363800,929395,15.4931640625,0,10,13,0,1980-01-06T03:15:29,1633357971.9277198,2021-10-04T17:32:51
315965742,363800,942395,19.699676513671875,0,165,13,0,1980-01-06T03:15:42,1633357985.618084,2021-10-04T17:33:05
315965757,363800,957395,18.551727294921875,1,87,13,0,1980-01-06T03:15:57,1633357999.3173048,2021-10-04T17:33:19
315965771,363800,971395,15.866790771484375,1,252,13,0,1980-01-06T03:16:11,1633358012.4076278,2021-10-04T17:33:32
315965784,363800,984395,18.551727294921875,0,152,13,0,1980-01-06T03:16:24,1633358025.3767478,2021-10-04T17:33:45
315965798,363800,998395,18.465301513671875,1,61,13,0,1980-01-06T03:16:38,1633358041.057164,2021-10-04T17:34:01
315965812,363800,1012395,17.233917236328125,0,227,13,0,1980-01-06T03:16:52,1633358054.2068238,2021-10-04T17:34:14
315965825,363800,1025395,18.637939453125,1,125,13,0,1980-01-06T03:17:05,1633358067.91688,2021-10-04T17:34:27
315965840,363800,1040395,16.3741455078125,0,47,13,0,1980-01-06T03:17:20,1633358081.036829,2021-10-04T17:34:41
315965854,363800,1054395,20.24053955078125,0,214,13,0,1980-01-06T03:17:34,1633358096.797669,2021-10-04T17:34:56
315965867,363800,1067395,14.7816162109375,1,111,13,0,1980-01-06T03:17:47,1633358109.8770769,2021-10-04T17:35:09
315965882,363800,1082395,18.98089599609375,0,33,13,0,1980-01-06T03:18:02,1633358125.436729,2021-10-04T17:35:25
315965897,363800,1097395,19.657745361328125,0,211,13,0,1980-01-06T03:18:17,1633358138.636972,2021-10-04T17:35:38
315965911,635100,1111395,16.282440185546875,1,122,13,0,1980-01-06T03:18:31,1633358152.380317,2021-10-04T17:35:52
315965925,635100,1125395,18.248382568359375,0,33,13,0,1980-01-06T03:18:45,1633358167.6770358,2021-10-04T17:36:07
315965939,635100,1139395,18.938201904296875,1,198,13,0,1980-01-06T03:18:59,1633358183.34656,2021-10-04T17:36:23
315965955,635100,1155395,15.304840087890625,1,133,13,0,1980-01-06T03:19:15,1633358197.106669,2021-10-04T17:36:37
315965969,635100,1169395,19.783355712890625,0,42,13,0,1980-01-06T03:19:29,1633358210.2065809,2021-10-04T17:36:50
315965982,635100,1182395,16.6024169921875,1,197,13,0,1980-01-06T03:19:42,1633358223.3167288,2021-10-04T17:37:03
315965998,635100,1198395,16.51129150390625,0,131,13,0,1980-01-06T03:19:58,1633358241.0266528,2021-10-04T17:37:21
315966012,635100,1212395,19.699676513671875,0,41,13,0,1980-01-06T03:20:12,1633358254.206709,2021-10-04T17:37:34
