time_s,time_us,time_steady,deg,vdda,vbat,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965011,486000,211471,31.758241653442383,3.2929999828338623,2.996190309524536,215,11,0,1980-01-06T03:03:31,1633357252.744736,2021-10-04T17:20:52
315965019,985000,219970,30.293041229248047,3.2929999828338623,2.997802257537842,175,11,0,1980-01-06T03:03:39,1633357262.7752209,2021-10-04T17:21:02
315965029,698000,229683,26.77655601501465,3.2929999828338623,3.0106959342956543,168,11,0,1980-01-06T03:03:49,1633357271.3249838,2021-10-04T17:21:11
315965038,202000,238186,24.72527503967285,3.2929999828338623,2.9945785999298096,129,11,0,1980-01-06T03:03:58,1633357281.375525,2021-10-04T17:21:21
315965047,923000,247898,23.846153259277344,3.2929999828338623,3.0026373863220215,121,11,0,1980-01-06T03:04:07,1633357289.4052489,2021-10-04T17:21:29
315965056,433000,256400,22.380952835083008,3.2929999828338623,2.9945785999298096,83,11,0,1980-01-06T03:04:16,1633357300.025292,2021-10-04T17:21:40
315965066,159000,266116,21.5018310546875,3.2929999828338623,2.992967128753662,74,11,0,1980-01-06T03:04:26,1633357308.0351489,2021-10-04T17:21:48
315965074,666000,274614,20.91575050354004,3.2929999828338623,2.9913551807403564,36,11,0,1980-01-06T03:04:34,1633357318.055296,2021-10-04T17:21:58
315965084,390000,284329,20.329669952392578,3.2929999828338623,3.0058608055114746,27,11,0,1980-01-06T03:04:44,1633357326.005684,2021-10-04T17:22:06
315965094,116000,294045,19.743589401245117,3.2929999828338623,2.992967128753662,20,11,0,1980-01-06T03:04:54,1633357336.6255288,2021-10-04T17:22:16
315965101,407000,301328,20.03662872314453,3.2929999828338623,2.997802257537842,207,11,0,1980-01-06T03:05:01,1633357344.5859568,2021-10-04T17:22:24
315965111,134000,311046,19.157508850097656,3.2929999828338623,2.9913551807403564,198,11,0,1980-01-06T03:05:11,1633357352.6064079,2021-10-04T17:22:32
315965120,857000,320759,19.157508850097656,3.2929999828338623,2.98974347114563,191,11,0,1980-01-06T03:05:20,1633357363.165616,2021-10-04T17:22:43
315965129,367000,329260,18.571428298950195,3.2929999828338623,2.9913551807403564,151,11,0,1980-01-06T03:05:29,1633357371.1257489,2021-10-04T17:22:51
315965139,90000,338973,18.86446762084961,3.2929999828338623,2.9945785999298096,143,11,0,1980-01-06T03:05:39,1633357381.2160928,2021-10-04T17:23:01
315965148,815000,348689,17.985347747802734,3.2929999828338623,2.9865200519561768,136,11,0,1980-01-06T03:05:48,1633357389.736193,2021-10-04T17:23:09
315965157,325000,357191,17.692306518554688,3.2929999828338623,2.9881317615509033,96,11,0,1980-01-06T03:05:57,1633357399.7858489,2021-10-04T17:23:19
315965165,833000,365690,17.106225967407227,3.2929999828338623,2.9913551807403564,58,11,0,1980-01-06T03:06:05,1633357407.786581,2021-10-04T17:23:27
315965175,559000,375407,16.22710609436035,3.2929999828338623,2.992967128753662,51,11,0,1980-01-06T03:06:15,1633357418.516425,2021-10-04T17:23:38
315965185,284000,385121,15.347984313964844,3.2929999828338623,2.9881317615509033,42,11,0,1980-01-06T03:06:25,1633357426.508044,2021-10-04T17:23:46
315965193,792000,393621,15.641024589538574,3.2929999828338623,2.9945785999298096,4,11,0,1980-01-06T03:06:33,1633357436.496516,2021-10-04T17:23:56
315965203,516000,403336,15.347984313964844,3.2950000762939453,2.98974347114563,252,11,0,1980-01-06T03:06:43,1633357445.09658,2021-10-04T17:24:05
315965212,25000,411835,14.761903762817383,3.2929999828338623,2.9849085807800293,212,11,0,1980-01-06T03:06:52,1633357455.149633,2021-10-04T17:24:15
315965221,748000,421549,14.761903762817383,3.2929999828338623,2.9913551807403564,205,11,0,1980-01-06T03:07:01,1633357463.716073,2021-10-04T17:24:23
315965231,477000,431269,14.175823211669922,3.2929999828338623,2.9865200519561768,196,11,0,1980-01-06T03:07:11,1633357473.778805,2021-10-04T17:24:33
315965239,988000,439770,13.589742660522461,3.2929999828338623,2.9832966327667236,158,11,0,1980-01-06T03:07:19,1633357481.776177,2021-10-04T17:24:41
315965258,225000,457990,12.124541282653809,3.2929999828338623,2.9832966327667236,111,11,0,1980-01-06T03:07:38,1633357500.498836,2021-10-04T17:25:00
315965267,601000,467357,12.124541282653809,3.2929999828338623,2.978461503982544,95,11,0,1980-01-06T03:07:47,1633357510.596396,2021-10-04T17:25:10
315965276,756000,476502,13.003662109375,3.2950000762939453,2.9913551807403564,73,11,0,1980-01-06T03:07:56,1633357519.1077008,2021-10-04T17:25:19
315965286,934000,486670,13.589742660522461,3.2929999828338623,2.981684923171997,75,11,0,1980-01-06T03:08:06,1633357529.1068928,2021-10-04T17:25:29
315965295,78000,494806,14.175823211669922,3.2929999828338623,2.9913551807403564,19,11,0,1980-01-06T03:08:15,1633357537.1667209,2021-10-04T17:25:37
315965314,416000,514125,14.468863487243652,3.2929999828338623,2.9913551807403564,0,11,0,1980-01-06T03:08:34,1633357556.4265559,2021-10-04T17:25:56
315965332,727000,532418,14.761903762817383,3.2929999828338623,3.0026373863220215,213,11,0,1980-01-06T03:08:52,1633357574.4671478,2021-10-04T17:26:14
315965342,905000,542585,14.468863487243652,3.2929999828338623,2.9849085807800293,217,11,0,1980-01-06T03:09:02,1633357585.1869009,2021-10-04T17:26:25
315965351,46000,550718,14.761903762817383,3.2929999828338623,2.9849085807800293,161,11,0,1980-01-06T03:09:11,1633357593.216696,2021-10-04T17:26:33
