time_s,time_us,time_steady,temperature,pressure,altitude,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965014,761600,215373,13.020000457763672,102588,-104.60761260986328,239,13,2,1980-01-06T03:03:34,1633357257.155241,2021-10-04T17:20:57
315965021,761600,222373,13.0600004196167,102014,-57.19710159301758,67,13,2,1980-01-06T03:03:41,1633357263.944869,2021-10-04T17:21:03
315965028,761600,229373,13.100000381469727,101424,-8.238736152648926,150,13,2,1980-01-06T03:03:48,1633357270.745544,2021-10-04T17:21:10
315965035,761600,236373,13.130000114440918,100785,45.04964065551758,232,13,2,1980-01-06T03:03:55,1633357277.525836,2021-10-04T17:21:17
315965042,761600,243373,13.15999984741211,100263,88.7823715209961,61,13,2,1980-01-06T03:04:02,1633357284.3654358,2021-10-04T17:21:24
315965056,761600,257373,13.199999809265137,99153,182.39788818359375,225,13,2,1980-01-06T03:04:16,1633357299.435184,2021-10-04T17:21:39
315965063,761600,264373,13.210000038146973,98639,226.0364227294922,54,13,2,1980-01-06T03:04:23,1633357306.226109,2021-10-04T17:21:46
315965070,761600,271373,13.220000267028809,98112,270.9697570800781,136,13,2,1980-01-06T03:04:30,1633357313.036629,2021-10-04T17:21:53
315965077,761600,278373,13.220000267028809,97598,314.9859313964844,219,13,2,1980-01-06T03:04:37,1633357319.8255248,2021-10-04T17:21:59
315965083,761700,284373,13.220000267028809,97146,353.8470764160156,34,13,2,1980-01-06T03:04:43,1633357326.005684,2021-10-04T17:22:06
315965090,761600,291373,13.210000038146973,96609,400.2076416015625,118,13,2,1980-01-06T03:04:50,1633357333.385716,2021-10-04T17:22:13
315965096,761600,297373,13.199999809265137,96181,437.3092346191406,189,13,2,1980-01-06T03:04:56,1633357339.605645,2021-10-04T17:22:19
315965104,761700,305373,13.180000305175781,95560,491.3795471191406,27,13,2,1980-01-06T03:05:04,1633357346.367241,2021-10-04T17:22:26
315965111,761600,312373,13.15999984741211,95009,539.5938110351562,111,13,2,1980-01-06T03:05:11,1633357352.6064079,2021-10-04T17:22:32
315965118,761600,319373,13.130000114440918,94438,589.7990112304688,194,13,2,1980-01-06T03:05:18,1633357361.406421,2021-10-04T17:22:41
315965125,761700,326373,13.079999923706055,93894,637.86083984375,20,13,2,1980-01-06T03:05:25,1633357368.1860769,2021-10-04T17:22:48
315965132,761600,333373,13.050000190734863,93347,686.4161987304688,105,13,2,1980-01-06T03:05:32,1633357375.586076,2021-10-04T17:22:55
315965138,761600,339373,13.0,92876,728.4098510742188,176,13,2,1980-01-06T03:05:38,1633357381.8073719,2021-10-04T17:23:01
315965146,761600,347373,12.9399995803833,92264,783.2350463867188,13,13,2,1980-01-06T03:05:46,1633357388.5476289,2021-10-04T17:23:08
315965151,761600,352373,12.899999618530273,91936,812.7404174804688,73,13,2,1980-01-06T03:05:51,1633357394.736773,2021-10-04T17:23:14
315965159,761600,360373,12.819999694824219,91296,870.5573120117188,169,13,2,1980-01-06T03:05:59,1633357401.585768,2021-10-04T17:23:21
315965165,761700,366373,12.760000228881836,90829,912.9551391601562,240,13,2,1980-01-06T03:06:05,1633357407.786581,2021-10-04T17:23:27
315965172,761600,373373,12.670000076293945,90300,961.1945190429688,67,13,2,1980-01-06T03:06:12,1633357417.336017,2021-10-04T17:23:37
315965180,761600,381373,12.529999732971191,123290,-1000.0,162,13,2,1980-01-06T03:06:20,1633357423.546413,2021-10-04T17:23:43
315965186,761600,387373,12.390000343322754,123045,-1000.0,233,13,2,1980-01-06T03:06:26,1633357430.306272,2021-10-04T17:23:50
315965193,761600,394373,12.380000114440918,147710,-1000.0,60,13,2,1980-01-06T03:06:33,1633357436.496516,2021-10-04T17:23:56
315965200,924900,401373,12.25,139786,-1000.0,142,13,2,1980-01-06T03:06:40,1633357443.326681,2021-10-04T17:24:03
315965206,924900,407373,12.140000343322754,133296,-1000.0,213,13,2,1980-01-06T03:06:46,1633357449.5378208,2021-10-04T17:24:09
315965214,924900,415373,12.0,126423,-1000.0,53,13,2,1980-01-06T03:06:54,1633357456.9361439,2021-10-04T17:24:16
315965221,924900,422373,11.880000114440918,120986,-1000.0,135,13,2,1980-01-06T03:07:01,1633357463.117061,2021-10-04T17:24:23
315965228,924900,429373,11.760000228881836,115979,-1000.0,220,13,2,1980-01-06T03:07:08,1633357470.506068,2021-10-04T17:24:30
315965235,924900,436373,11.630000114440918,111539,-817.4027099609375,46,13,2,1980-01-06T03:07:15,1633357476.746724,2021-10-04T17:24:36
315965242,924900,443373,11.510000228881836,107450,-497.7789611816406,129,13,2,1980-01-06T03:07:22,1633357485.6581879,2021-10-04T17:24:45
315965255,924900,456373,11.270000457763672,100521,67.1441650390625,28,13,2,1980-01-06T03:07:35,1633357498.7284288,2021-10-04T17:24:58
315965261,924900,462373,11.149999618530273,97557,318.5043029785156,99,13,2,1980-01-06T03:07:41,1633357504.9662719,2021-10-04T17:25:04
315965269,925000,470373,10.979999542236328,93795,646.6318359375,193,13,2,1980-01-06T03:07:49,1633357512.3667889,2021-10-04T17:25:12
315965275,924900,476373,10.850000381469727,91063,891.6886596679688,8,13,2,1980-01-06T03:07:55,1633357518.5263128,2021-10-04T17:25:18
315965283,924900,484373,10.680000305175781,87860,1186.7197265625,104,13,2,1980-01-06T03:08:03,1633357525.2863529,2021-10-04T17:25:25
315965289,925000,490373,10.5600004196167,85799,1381.2122802734375,175,13,2,1980-01-06T03:08:09,1633357531.5077128,2021-10-04T17:25:31
315965296,924900,497373,10.420000076293945,83775,1575.943359375,1,13,2,1980-01-06T03:08:16,1633357538.346361,2021-10-04T17:25:38
315965303,924900,504373,10.289999961853027,82078,1742.1806640625,86,13,2,1980-01-06T03:08:23,1633357545.166745,2021-10-04T17:25:45
315965310,925000,511373,10.15999984741211,80790,1870.2252197265625,168,13,2,1980-01-06T03:08:30,1633357554.046473,2021-10-04T17:25:54
315965316,924900,517373,10.050000190734863,80001,1949.48486328125,239,13,2,1980-01-06T03:08:36,1633357560.887281,2021-10-04T17:26:00
315965324,924900,525373,9.819999694824219,110130,-708.3572387695312,79,13,2,1980-01-06T03:08:44,1633357567.6666,2021-10-04T17:26:07
315965331,925000,532373,9.739999771118164,136900,-1000.0,161,13,2,1980-01-06T03:08:51,1633357573.886921,2021-10-04T17:26:13
315965338,924900,539373,9.630000114440918,130448,-1000.0,244,13,2,1980-01-06T03:08:58,1633357580.686712,2021-10-04T17:26:20
315965344,924900,545373,9.529999732971191,125844,-1000.0,59,13,2,1980-01-06T03:09:04,1633357586.9665048,2021-10-04T17:26:26
315965351,925000,552373,9.420000076293945,120959,-1000.0,143,13,2,1980-01-06T03:09:11,1633357594.3769329,2021-10-04T17:26:34
315965357,924900,558373,9.34000015258789,117121,-1000.0,215,13,2,1980-01-06T03:09:17,1633357600.656761,2021-10-04T17:26:40
315965365,924900,566373,9.229999542236328,112403,-883.7168579101562,52,13,2,1980-01-06T03:09:25,1633357607.4565449,2021-10-04T17:26:47
315965372,925000,573373,9.130000114440918,108612,-589.6002807617188,137,13,2,1980-01-06T03:09:32,1633357613.746553,2021-10-04T17:26:53
315965385,924900,586373,8.960000038146973,102252,-76.88145446777344,34,13,2,1980-01-06T03:09:45,1633357628.856557,2021-10-04T17:27:08
315965393,925000,594373,8.859999656677246,98618,227.82281494140625,130,13,2,1980-01-06T03:09:53,1633357636.2672238,2021-10-04T17:27:16
315965401,193100,601373,8.770000457763672,95487,497.7546691894531,212,13,2,1980-01-06T03:10:01,1633357643.107529,2021-10-04T17:27:23
315965408,193100,608373,8.6899995803833,92123,795.9083862304688,39,13,2,1980-01-06T03:10:08,1633357649.9166129,2021-10-04T17:27:29
315965414,193200,614373,8.609999656677246,88551,1122.340576171875,110,13,2,1980-01-06T03:10:14,1633357656.156772,2021-10-04T17:27:36
315965422,193100,622373,8.510000228881836,84386,1516.7591552734375,205,13,2,1980-01-06T03:10:22,1633357662.958592,2021-10-04T17:27:42
315965428,193100,628373,8.4399995803833,81596,1789.9053955078125,21,13,2,1980-01-06T03:10:28,1633357669.8068168,2021-10-04T17:27:49
315965435,193100,635373,8.350000381469727,78655,2086.17626953125,103,13,2,1980-01-06T03:10:35,1633357678.677809,2021-10-04T17:27:58
315965441,193100,641373,8.270000457763672,76360,2323.686279296875,174,13,2,1980-01-06T03:10:41,1633357682.1978278,2021-10-04T17:28:02
