time_s,time_us,time_steady,rx_packet_start_cnt,rx_packet_done_cnt,rx_cmds_start_cnt,rx_cmds_done_cnt,rx_drops_start_cnt,rx_drops_done_cnt,tx_psize_start_cnt,tx_psize_done_cnt,tx_packet_start_cnt,tx_packet_done_cnt,tx_zeroes_start_cnt,tx_zeroes_done_cnt,tx_empty_buffer_cnt,tx_overruns_cnt,cmds_get_size_cnt,cmds_get_packet_cnt,cmds_set_packet_cnt,cmds_invalid_cnt,restarts_cnt,berr_cnt,arlo_cnt,ovf_cnt,af_cnt,btf_cnt,tx_wrong_size_cnt,rx_wrong_size_cnt,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965311,85000,512094,458,458,14381,14381,0,0,5000,5000,5000,5000,0,0,3923,2764,8923,5000,458,0,0,0,0,0,3923,0,0,0,87,12,0,1980-01-06T03:08:31,1633357556.4265559,2021-10-04T17:25:56
315965326,160000,527125,472,472,14758,14757,0,0,5123,5123,5122,5122,0,0,4040,2840,9163,5122,472,0,0,0,0,0,4040,0,0,0,17,12,0,1980-01-06T03:08:46,1633357569.467016,2021-10-04T17:26:09
315965339,273000,540154,483,483,15106,15106,0,0,5240,5240,5240,5240,0,0,4143,2928,9383,5240,483,0,0,0,0,0,4143,0,0,0,207,12,0,1980-01-06T03:08:59,1633357582.486552,2021-10-04T17:26:22
315965369,342000,570220,510,510,15948,15948,0,0,5531,5531,5531,5531,0,0,4376,2964,9907,5531,510,0,0,0,0,0,4376,0,0,0,248,12,0,1980-01-06T03:09:29,1633357611.316936,2021-10-04T17:26:51
315965383,417000,584253,523,523,16345,16345,0,0,5669,5669,5669,5669,0,0,4484,2967,10153,5669,523,0,0,0,0,0,4484,0,0,0,121,12,0,1980-01-06T03:09:43,1633357624.986861,2021-10-04T17:27:04
315965396,229000,597279,535,535,16721,16721,0,0,5800,5800,5800,5800,0,0,4586,2967,10386,5800,535,0,0,0,0,0,4586,0,0,0,237,12,0,1980-01-06T03:09:56,1633357638.6268408,2021-10-04T17:27:18
315965410,485000,611303,548,548,17122,17122,0,0,5940,5940,5940,5940,0,0,4694,2967,10634,5940,548,0,0,0,0,0,4694,0,0,0,107,12,0,1980-01-06T03:10:10,1633357653.816648,2021-10-04T17:27:33
315965424,554000,625332,560,560,17523,17523,0,0,6080,6080,6080,6080,0,0,4803,2967,10883,6080,560,0,0,0,0,0,4803,0,0,0,233,12,0,1980-01-06T03:10:24,1633357667.4267719,2021-10-04T17:27:47
315965438,621000,639361,573,573,17925,17925,0,0,6220,6220,6220,6220,0,0,4912,2967,11132,6220,573,0,0,0,0,0,4912,0,0,0,103,12,0,1980-01-06T03:10:38,1633357680.426725,2021-10-04T17:28:00
315965451,723000,652384,585,585,18300,18300,0,0,6351,6351,6351,6351,0,0,5013,2967,11364,6351,585,0,0,0,0,0,5013,0,0,0,221,12,0,1980-01-06T03:10:51,1633357694.016748,2021-10-04T17:28:14
315965464,761000,665413,596,596,18670,18670,0,0,6480,6480,6480,6480,0,0,5114,2967,11594,6480,596,0,0,0,0,0,5114,0,0,0,81,12,0,1980-01-06T03:11:04,1633357707.057005,2021-10-04T17:28:27
315965479,490000,680441,610,610,19103,19103,0,0,6631,6631,6631,6631,0,0,5231,2967,11862,6631,610,0,0,0,0,0,5231,0,0,0,217,12,0,1980-01-06T03:11:19,1633357722.1669478,2021-10-04T17:28:42
315965493,558000,694470,623,623,19504,19504,0,0,6771,6771,6771,6771,0,0,5339,2967,12110,6771,623,0,0,0,0,0,5339,0,0,0,87,12,0,1980-01-06T03:11:33,1633357735.786948,2021-10-04T17:28:55
315965506,716000,707499,634,634,19874,19874,0,0,6900,6900,6900,6900,0,0,5440,2967,12340,6900,634,0,0,0,0,0,5440,0,0,0,203,12,0,1980-01-06T03:11:46,1633357749.4681199,2021-10-04T17:29:09
315965519,819000,720531,646,646,20249,20249,0,0,7031,7031,7031,7031,0,0,5541,2967,12572,7031,646,0,0,0,0,0,5541,0,0,0,65,12,0,1980-01-06T03:11:59,1633357762.5271769,2021-10-04T17:29:22
315965534,849000,735561,660,660,20678,20678,0,0,7180,7180,7180,7180,0,0,5658,2980,12838,7180,660,0,0,0,0,0,5658,0,0,0,212,12,0,1980-01-06T03:12:14,1633357775.5468118,2021-10-04T17:29:35
315965547,666000,748593,672,672,21053,21053,0,0,7311,7311,7311,7311,0,0,5759,3003,13070,7311,672,0,0,0,0,0,5759,0,0,0,97,12,0,1980-01-06T03:12:27,1633357790.7674599,2021-10-04T17:29:50
315965561,725000,762615,684,684,21453,21453,0,0,7451,7451,7451,7451,0,0,5867,3063,13318,7451,684,0,0,0,0,0,5867,0,0,0,27,12,0,1980-01-06T03:12:41,1633357804.459132,2021-10-04T17:30:04
315965575,793000,776650,697,697,21855,21855,0,0,7591,7591,7591,7591,0,0,5976,3119,13567,7591,697,0,0,0,0,0,5976,0,0,0,209,12,0,1980-01-06T03:12:55,1633357818.156905,2021-10-04T17:30:18
315965589,859000,790681,710,710,22257,22257,0,0,7731,7731,7731,7731,0,0,6085,3183,13816,7731,710,0,0,0,0,0,6085,0,0,0,143,12,0,1980-01-06T03:13:09,1633357831.3697639,2021-10-04T17:30:31
315965603,942000,804715,722,722,22658,22658,0,0,7871,7871,7871,7871,0,0,6194,3222,14065,7871,722,0,0,0,0,0,6194,0,0,0,52,12,0,1980-01-06T03:13:23,1633357847.1870089,2021-10-04T17:30:47
315965617,745000,818742,735,735,23059,23059,0,0,8011,8011,8011,8011,0,0,6302,3258,14313,8011,735,0,0,0,0,0,6302,0,0,0,214,12,0,1980-01-06T03:13:37,1633357860.237388,2021-10-04T17:31:00
315965630,820000,831761,747,747,23429,23429,0,0,8140,8140,8140,8140,0,0,6402,3278,14542,8140,747,0,0,0,0,0,6402,0,0,0,94,12,0,1980-01-06T03:13:50,1633357873.277413,2021-10-04T17:31:13
315965644,942000,845787,759,759,23831,23831,0,0,8280,8280,8280,8280,0,0,6512,3282,14792,8280,759,0,0,0,0,0,6512,0,0,0,224,12,0,1980-01-06T03:14:04,1633357886.907949,2021-10-04T17:31:26
315965658,766000,859817,772,772,24232,24232,0,0,8420,8420,8420,8420,0,0,6620,3282,15040,8420,772,0,0,0,0,0,6620,0,0,0,94,12,0,1980-01-06T03:14:18,1633357899.948197,2021-10-04T17:31:39
315965672,887000,873829,785,785,24634,24634,0,0,8560,8560,8560,8560,0,0,6729,3282,15289,8560,785,0,0,0,0,0,6729,0,0,0,220,12,0,1980-01-06T03:14:32,1633357915.747068,2021-10-04T17:31:55
315965685,731000,886842,796,796,25007,25007,0,0,8691,8691,8691,8691,0,0,6829,3282,15520,8691,796,0,0,0,0,0,6829,0,0,0,82,12,0,1980-01-06T03:14:45,1633357929.376996,2021-10-04T17:32:09
315965700,837000,901876,810,810,25436,25436,0,0,8840,8840,8840,8840,0,0,6946,3282,15786,8840,810,0,0,0,0,0,6946,0,0,0,216,12,0,1980-01-06T03:15:00,1633357942.407305,2021-10-04T17:32:22
315965714,16000,914908,822,822,25811,25811,0,0,8971,8971,8971,8971,0,0,7047,3282,16018,8971,822,0,0,0,0,0,7047,0,0,0,78,12,0,1980-01-06T03:15:14,1633357956.098281,2021-10-04T17:32:36
315965727,841000,928935,834,834,26212,26212,0,0,9111,9111,9111,9111,0,0,7156,3282,16267,9111,834,0,0,0,0,0,7156,0,0,0,204,12,0,1980-01-06T03:15:27,1633357969.2074878,2021-10-04T17:32:49
315965741,970000,942958,847,847,26613,26613,0,0,9251,9251,9251,9251,0,0,7264,3282,16515,9251,847,0,0,0,0,0,7264,0,0,0,74,12,0,1980-01-06T03:15:41,1633357984.43716,2021-10-04T17:33:04
