time_s,time_us,time_steady,o2_conc,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965475,414700,675573,56.98795700073242,70,13,0,1980-01-06T03:11:15,1633357717.1769478,2021-10-04T17:28:37
315965484,414700,684573,56.9317626953125,177,13,0,1980-01-06T03:11:24,1633357725.6882129,2021-10-04T17:28:45
315965494,414700,694573,56.9317626953125,39,13,0,1980-01-06T03:11:34,1633357736.36702,2021-10-04T17:28:56
315965503,414700,703573,29.891637802124023,146,13,0,1980-01-06T03:11:43,1633357744.3870769,2021-10-04T17:29:04
315965512,414700,712573,12.319063186645508,252,13,0,1980-01-06T03:11:52,1633357754.476768,2021-10-04T17:29:14
315965521,414700,721573,6.489631175994873,103,13,0,1980-01-06T03:12:01,1633357762.5271769,2021-10-04T17:29:22
315965531,414700,731573,4.312373638153076,221,13,0,1980-01-06T03:12:11,1633357773.1773648,2021-10-04T17:29:33
315965540,414700,740573,3.8488292694091797,72,13,0,1980-01-06T03:12:20,1633357781.2468798,2021-10-04T17:29:41
315965549,414700,749573,3.8628761768341064,179,13,0,1980-01-06T03:12:29,1633357791.956868,2021-10-04T17:29:51
315965558,414700,758573,4.073577880859375,30,13,0,1980-01-06T03:12:38,1633357799.968561,2021-10-04T17:29:59
315965567,414700,767573,4.298327445983887,136,13,0,1980-01-06T03:12:47,1633357810.096885,2021-10-04T17:30:10
315965577,414700,777573,4.607357978820801,0,13,0,1980-01-06T03:12:57,1633357818.758241,2021-10-04T17:30:18
315965587,414700,787573,5.084949970245361,118,13,0,1980-01-06T03:13:07,1633357829.567188,2021-10-04T17:30:29
315965595,414700,795573,5.408026218414307,214,13,0,1980-01-06T03:13:15,1633357837.057169,2021-10-04T17:30:37
315965605,541800,805573,5.913712024688721,76,13,0,1980-01-06T03:13:25,1633357847.7872288,2021-10-04T17:30:47
315965615,541800,815573,53.63076400756836,194,13,0,1980-01-06T03:13:35,1633357856.327329,2021-10-04T17:30:56
315965624,541800,824573,56.917724609375,45,13,0,1980-01-06T03:13:44,1633357866.467373,2021-10-04T17:31:06
315965633,541800,833573,56.98795700073242,152,13,0,1980-01-06T03:13:53,1633357874.4776008,2021-10-04T17:31:14
315965642,541800,842573,56.95986557006836,2,13,0,1980-01-06T03:14:02,1633357885.167033,2021-10-04T17:31:25
315965650,541800,850573,35.65083312988281,98,13,0,1980-01-06T03:14:10,1633357893.1670918,2021-10-04T17:31:33
315965670,541800,870573,8.301671028137207,80,13,0,1980-01-06T03:14:30,1633357911.877053,2021-10-04T17:31:51
315965679,541800,879573,53.89765167236328,187,13,0,1980-01-06T03:14:39,1633357921.957273,2021-10-04T17:32:01
315965688,541800,888573,52.04347610473633,38,13,0,1980-01-06T03:14:48,1633357930.556972,2021-10-04T17:32:10
315965706,541800,906573,9.411370277404785,251,13,0,1980-01-06T03:15:06,1633357948.0581448,2021-10-04T17:32:28
315965715,541800,915573,5.506353855133057,102,13,0,1980-01-06T03:15:15,1633357956.676957,2021-10-04T17:32:36
315965724,541800,924573,4.228093147277832,209,13,0,1980-01-06T03:15:24,1633357966.846873,2021-10-04T17:32:46
315965733,541800,933573,3.890969753265381,60,13,0,1980-01-06T03:15:33,1633357974.8695278,2021-10-04T17:32:54
315965743,541800,943573,3.975250482559204,178,13,0,1980-01-06T03:15:43,1633357985.618084,2021-10-04T17:33:05
315965753,541800,953573,4.284280300140381,40,13,0,1980-01-06T03:15:53,1633357996.937005,2021-10-04T17:33:16
315965762,541800,962573,19.79197120666504,146,13,0,1980-01-06T03:16:02,1633358004.3870718,2021-10-04T17:33:24
315965771,541800,971573,56.98795700073242,253,13,0,1980-01-06T03:16:11,1633358012.4076278,2021-10-04T17:33:32
315965781,541800,981573,56.97390365600586,117,13,0,1980-01-06T03:16:21,1633358023.027297,2021-10-04T17:33:43
315965789,541800,989573,42.449493408203125,211,13,0,1980-01-06T03:16:29,1633358030.997308,2021-10-04T17:33:50
315965798,541800,998573,21.168561935424805,62,13,0,1980-01-06T03:16:38,1633358041.057164,2021-10-04T17:34:01
315965808,541800,1008573,11.335784912109375,182,13,0,1980-01-06T03:16:48,1633358049.73728,2021-10-04T17:34:09
315965816,541800,1016573,8.807357788085938,19,13,0,1980-01-06T03:16:56,1633358059.287257,2021-10-04T17:34:19
315965826,541800,1026573,45.202667236328125,139,13,0,1980-01-06T03:17:06,1633358067.91688,2021-10-04T17:34:27
315965836,541800,1036573,16.420734405517578,1,13,0,1980-01-06T03:17:16,1633358078.7067559,2021-10-04T17:34:38
315965845,541800,1045573,8.58260726928711,108,13,0,1980-01-06T03:17:25,1633358086.676949,2021-10-04T17:34:46
315965855,541800,1055573,5.688962936401367,226,13,0,1980-01-06T03:17:35,1633358097.3878288,2021-10-04T17:34:57
315965863,541800,1063573,4.986621856689453,66,13,0,1980-01-06T03:17:43,1633358105.97838,2021-10-04T17:35:05
315965873,541800,1073573,4.775919437408447,184,13,0,1980-01-06T03:17:53,1633358115.517557,2021-10-04T17:35:15
315965882,541800,1082573,4.9585280418396,34,13,0,1980-01-06T03:18:02,1633358126.0166838,2021-10-04T17:35:26
315965894,541800,1094573,5.281604766845703,177,13,0,1980-01-06T03:18:14,1633358136.856688,2021-10-04T17:35:36
315965902,813100,1102573,6.784614562988281,16,13,0,1980-01-06T03:18:22,1633358144.896632,2021-10-04T17:35:44
315965912,813100,1112573,57.00199890136719,134,13,0,1980-01-06T03:18:32,1633358155.136977,2021-10-04T17:35:55
315965921,813100,1121573,56.53845977783203,241,13,0,1980-01-06T03:18:41,1633358163.766888,2021-10-04T17:36:03
315965930,813100,1130573,23.851503372192383,92,13,0,1980-01-06T03:18:50,1633358171.238644,2021-10-04T17:36:11
315965940,813100,1140573,53.68695068359375,212,13,0,1980-01-06T03:19:00,1633358183.927284,2021-10-04T17:36:23
315965952,813100,1152573,17.375917434692383,98,13,0,1980-01-06T03:19:12,1633358194.736872,2021-10-04T17:36:34
315965961,813100,1161573,47.75918960571289,205,13,0,1980-01-06T03:19:21,1633358202.786681,2021-10-04T17:36:42
315965970,813100,1170573,26.506351470947266,56,13,0,1980-01-06T03:19:30,1633358210.7867968,2021-10-04T17:36:50
315965979,813100,1179573,11.167223930358887,163,13,0,1980-01-06T03:19:39,1633358221.5467808,2021-10-04T17:37:01
315965988,813100,1188573,5.885618209838867,14,13,0,1980-01-06T03:19:48,1633358231.4964008,2021-10-04T17:37:11
315965999,813100,1199573,3.9612038135528564,143,13,0,1980-01-06T03:19:59,1633358241.61692,2021-10-04T17:37:21
315966009,813100,1209573,3.6100330352783203,7,13,0,1980-01-06T03:20:09,1633358250.2866678,2021-10-04T17:37:30
315966018,813100,1218573,3.6943140029907227,114,13,0,1980-01-06T03:20:18,1633358260.486788,2021-10-04T17:37:40
315966027,813100,1227573,3.9190633296966553,220,13,0,1980-01-06T03:20:27,1633358268.5180569,2021-10-04T17:37:48
315966040,813100,1240573,4.523077011108398,118,13,0,1980-01-06T03:20:40,1633358281.81652,2021-10-04T17:38:01
315966049,813100,1249573,57.04413986206055,225,13,0,1980-01-06T03:20:49,1633358289.946285,2021-10-04T17:38:09
315966058,813100,1258573,57.00199890136719,76,13,0,1980-01-06T03:20:58,1633358300.177173,2021-10-04T17:38:20
315966067,813100,1267573,51.90300750732422,182,13,0,1980-01-06T03:21:07,1633358308.879,2021-10-04T17:38:28
315966076,813100,1276573,38.01070022583008,33,13,0,1980-01-06T03:21:16,1633358318.466485,2021-10-04T17:38:38
315966085,813100,1285573,29.18929672241211,140,13,0,1980-01-06T03:21:25,1633358327.1862679,2021-10-04T17:38:47
315966095,813100,1295573,23.275583267211914,2,13,0,1980-01-06T03:21:35,1633358337.4562318,2021-10-04T17:38:57
315966104,813100,1304573,18.766551971435547,109,13,0,1980-01-06T03:21:44,1633358345.496508,2021-10-04T17:39:05
315966113,813100,1313573,9.046154022216797,216,13,0,1980-01-06T03:21:53,1633358355.7364888,2021-10-04T17:39:15
315966122,813100,1322573,5.393979549407959,66,13,0,1980-01-06T03:22:02,1633358364.347832,2021-10-04T17:39:24
