time_s,time_us,time_steady,current,voltage,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965009,209512,209506,0.0054931640625,7.723999977111816,31,10,3,1980-01-06T03:03:29,1633357252.154973,2021-10-04T17:20:52
315965016,549302,216846,nan,nan,99,10,3,1980-01-06T03:03:36,1633357258.9448,2021-10-04T17:20:58
315965023,817424,224114,0.00457763671875,7.788000106811523,161,10,3,1980-01-06T03:03:43,1633357265.7254598,2021-10-04T17:21:05
315965031,136669,231433,nan,nan,223,10,3,1980-01-06T03:03:51,1633357274.595033,2021-10-04T17:21:14
315965038,426657,238723,0.0054931640625,7.783999919891357,35,10,3,1980-01-06T03:03:58,1633357281.375525,2021-10-04T17:21:21
315965044,398949,244695,0.0054931640625,7.711999893188477,81,10,3,1980-01-06T03:04:04,1633357287.6050198,2021-10-04T17:21:27
315965051,676635,251973,0.0054931640625,7.708000183105469,149,10,3,1980-01-06T03:04:11,1633357294.454993,2021-10-04T17:21:34
315965057,547258,257843,0.0054931640625,7.708000183105469,201,10,3,1980-01-06T03:04:17,1633357300.618144,2021-10-04T17:21:40
315965064,898592,265195,0.0054931640625,7.711999893188477,7,10,3,1980-01-06T03:04:24,1633357308.0351489,2021-10-04T17:21:48
315965070,739317,271036,0.00457763671875,7.771999835968018,59,10,3,1980-01-06T03:04:30,1633357313.6252809,2021-10-04T17:21:53
315965078,116529,278413,0.00457763671875,7.708000183105469,121,10,3,1980-01-06T03:04:38,1633357321.035861,2021-10-04T17:22:01
315965085,506659,285803,0.00457763671875,7.708000183105469,189,10,3,1980-01-06T03:04:45,1633357327.1770358,2021-10-04T17:22:07
315965091,418863,291715,0.0054931640625,7.711999893188477,235,10,3,1980-01-06T03:04:51,1633357333.9769568,2021-10-04T17:22:13
315965098,801300,299056,nan,nan,47,10,3,1980-01-06T03:04:58,1633357342.8054118,2021-10-04T17:22:22
315965106,49604,306304,0.00457763671875,7.78000020980835,109,10,3,1980-01-06T03:05:06,1633357349.6159408,2021-10-04T17:22:29
315965111,798683,312053,nan,nan,161,10,3,1980-01-06T03:05:11,1633357355.825616,2021-10-04T17:22:35
315965120,700823,320955,nan,nan,239,10,3,1980-01-06T03:05:20,1633357363.165616,2021-10-04T17:22:43
315965126,531296,326786,0.00457763671875,7.716000080108643,29,10,3,1980-01-06T03:05:26,1633357369.355865,2021-10-04T17:22:49
315965133,888658,334143,0.00457763671875,7.71999979019165,97,10,3,1980-01-06T03:05:33,1633357376.175773,2021-10-04T17:22:56
