time_s,time_us,time_steady,resets_count,reset_cause,active_oscillator,time_base,time_syncs_attempted,time_syncs_performed,last_time_sync_time_steady,last_time_sync_delta_s,last_time_sync_delta_us,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965657,801000,858816,1,2,1,1,770,109,852683,0,393,85,12,0,1980-01-06T03:14:17,1633357899.948197,2021-10-04T17:31:39
315965671,923000,872827,1,2,1,1,783,111,870379,0,394,211,12,0,1980-01-06T03:14:31,1633357913.0569959,2021-10-04T17:31:53
315965685,730000,886842,1,2,1,1,795,112,879193,0,392,81,12,0,1980-01-06T03:14:45,1633357928.7969398,2021-10-04T17:32:08
315965699,871000,900874,1,2,1,1,808,114,896912,0,394,207,12,0,1980-01-06T03:14:59,1633357942.407305,2021-10-04T17:32:22
315965714,16000,914908,1,2,1,1,821,116,914679,0,389,77,12,0,1980-01-06T03:15:14,1633357955.5074399,2021-10-04T17:32:35
315965726,875000,927933,1,2,1,1,832,117,923543,0,389,195,12,0,1980-01-06T03:15:26,1633357968.6171598,2021-10-04T17:32:48
315965741,4000,941956,1,2,1,1,845,119,941224,0,386,65,12,0,1980-01-06T03:15:41,1633357984.43716,2021-10-04T17:33:04
315965754,827000,955980,1,2,1,1,858,120,950131,0,384,194,12,0,1980-01-06T03:15:54,1633357998.1373599,2021-10-04T17:33:18
315965769,23000,970068,1,2,1,1,870,122,967854,0,383,119,12,0,1980-01-06T03:16:09,1633358011.216908,2021-10-04T17:33:31
315965781,883000,983085,1,2,1,1,882,123,976737,0,377,93,12,0,1980-01-06T03:16:21,1633358024.1972408,2021-10-04T17:33:44
315965796,10000,997106,1,2,1,1,895,125,994568,0,372,45,12,0,1980-01-06T03:16:36,1633358037.7970319,2021-10-04T17:33:57
315965809,860000,1011123,1,2,1,1,907,126,1003393,0,393,243,12,0,1980-01-06T03:16:49,1633358053.0376048,2021-10-04T17:34:13
315965823,976000,1025141,1,2,1,1,920,128,1021082,0,365,226,12,0,1980-01-06T03:17:03,1633358066.7383208,2021-10-04T17:34:26
315965835,869000,1037156,1,2,1,1,931,129,1029957,0,364,148,12,0,1980-01-06T03:17:15,1633358079.287004,2021-10-04T17:34:39
315965850,959000,1052178,1,2,1,1,944,131,1047777,0,363,146,12,0,1980-01-06T03:17:30,1633358092.9170358,2021-10-04T17:34:52
315965864,910000,1066204,1,2,1,1,957,132,1058893,0,431,78,12,0,1980-01-06T03:17:44,1633358105.97838,2021-10-04T17:35:05
315965879,18000,1080220,1,2,1,1,970,134,1077734,0,357,16,12,0,1980-01-06T03:17:59,1633358123.667568,2021-10-04T17:35:23
315965893,819000,1095240,1,2,1,1,983,135,1086563,0,352,199,12,0,1980-01-06T03:18:13,1633358137.4667199,2021-10-04T17:35:37
315965909,140000,1110256,1,2,1,1,997,137,1104223,0,596,135,12,0,1980-01-06T03:18:29,1633358150.596837,2021-10-04T17:35:50
315965922,284000,1123272,1,2,1,1,1009,139,1121942,0,342,43,12,0,1980-01-06T03:18:42,1633358163.766888,2021-10-04T17:36:03
315965937,89000,1138290,1,2,1,1,1022,140,1130799,0,339,2,12,0,1980-01-06T03:18:57,1633358182.1679878,2021-10-04T17:36:22
315965953,140000,1154312,1,2,1,1,1037,142,1148516,0,335,4,12,0,1980-01-06T03:19:13,1633358195.3265479,2021-10-04T17:36:35
315965966,53000,1167331,1,2,1,1,1049,143,1158453,0,362,191,12,0,1980-01-06T03:19:26,1633358209.0371249,2021-10-04T17:36:49
315965981,198000,1182354,1,2,1,1,1062,145,1178385,0,355,163,12,0,1980-01-06T03:19:41,1633358222.1270518,2021-10-04T17:37:02
315965997,24000,1198375,1,2,1,1,1076,146,1188417,0,353,133,12,0,1980-01-06T03:19:57,1633358237.7364368,2021-10-04T17:37:17
315966010,225000,1211394,1,2,1,1,1088,148,1207275,0,350,32,12,0,1980-01-06T03:20:10,1633358253.026752,2021-10-04T17:37:33
315966025,84000,1226411,1,2,1,1,1102,149,1217303,0,343,186,12,0,1980-01-06T03:20:25,1633358266.736356,2021-10-04T17:37:46
315966041,194000,1242434,1,2,1,1,1116,151,1237348,0,332,75,12,0,1980-01-06T03:20:41,1633358282.4164798,2021-10-04T17:38:02
315966054,111000,1255454,1,2,1,1,1128,152,1247293,0,329,192,12,0,1980-01-06T03:20:54,1633358295.666584,2021-10-04T17:38:15
