time_s,time_us,time_steady,current,voltage,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965326,155474,526253,0.0054931640625,7.368000030517578,230,10,2,1980-01-06T03:08:46,1633357568.866744,2021-10-04T17:26:08
315965332,107666,532205,0.0054931640625,7.5920000076293945,26,10,2,1980-01-06T03:08:52,1633357575.0667238,2021-10-04T17:26:15
315965339,497702,539595,0.00640869140625,7.671999931335449,88,10,2,1980-01-06T03:08:59,1633357581.866508,2021-10-04T17:26:21
315965346,835958,546933,0.00457763671875,7.739999771118164,156,10,2,1980-01-06T03:09:06,1633357588.156728,2021-10-04T17:26:28
315965352,725849,552823,nan,7.668000221252441,208,10,2,1980-01-06T03:09:12,1633357594.9767609,2021-10-04T17:26:34
315965360,35980,560133,0.00457763671875,7.739999771118164,14,10,2,1980-01-06T03:09:20,1633357601.247788,2021-10-04T17:26:41
315965365,945468,566043,0.00457763671875,7.739999771118164,66,10,2,1980-01-06T03:09:25,1633357610.096813,2021-10-04T17:26:50
315965380,535361,580633,0.0054931640625,7.671999931335449,190,10,2,1980-01-06T03:09:40,1633357623.8272529,2021-10-04T17:27:03
315965387,806266,587904,0.00640869140625,7.676000118255615,2,10,2,1980-01-06T03:09:47,1633357630.0185409,2021-10-04T17:27:10
315965395,235813,595333,0.00640869140625,7.659999847412109,64,10,2,1980-01-06T03:09:55,1633357637.4466279,2021-10-04T17:27:17
315965401,377256,601243,0.0054931640625,7.6519999504089355,116,10,2,1980-01-06T03:10:01,1633357643.7074769,2021-10-04T17:27:23
315965408,647909,608513,nan,nan,178,10,2,1980-01-06T03:10:08,1633357650.516636,2021-10-04T17:27:30
315965414,589539,614455,0.00640869140625,7.659999847412109,230,10,2,1980-01-06T03:10:14,1633357656.747565,2021-10-04T17:27:36
315965421,840018,621706,0.0054931640625,7.73199987411499,36,10,2,1980-01-06T03:10:21,1633357663.5487769,2021-10-04T17:27:43
315965429,77980,628944,0.00457763671875,7.73199987411499,104,10,2,1980-01-06T03:10:29,1633357672.4872649,2021-10-04T17:27:52
315965436,430026,636296,0.00457763671875,7.679999828338623,166,10,2,1980-01-06T03:10:36,1633357679.256856,2021-10-04T17:27:59
315965442,337391,642203,0.00457763671875,7.728000164031982,218,10,2,1980-01-06T03:10:42,1633357685.456744,2021-10-04T17:28:05
315965449,597738,649463,0.00640869140625,7.6479997634887695,24,10,2,1980-01-06T03:10:49,1633357692.247112,2021-10-04T17:28:12
315965455,397386,655263,0.00640869140625,7.659999847412109,76,10,2,1980-01-06T03:10:55,1633357698.487685,2021-10-04T17:28:18
315965462,710077,662576,0.00640869140625,7.564000129699707,138,10,2,1980-01-06T03:11:02,1633357705.866864,2021-10-04T17:28:25
315965470,110152,669976,nan,nan,200,10,2,1980-01-06T03:11:10,1633357712.107048,2021-10-04T17:28:32
315965477,409328,677275,0.00732421875,7.639999866485596,12,10,2,1980-01-06T03:11:17,1633357718.9370959,2021-10-04T17:28:38
315965484,617868,684483,0.00457763671875,7.619999885559082,74,10,2,1980-01-06T03:11:24,1633357725.6882129,2021-10-04T17:28:45
315965491,927406,691793,0.00457763671875,7.708000183105469,136,10,2,1980-01-06T03:11:31,1633357734.60702,2021-10-04T17:28:54
315965497,777451,697643,nan,7.716000080108643,188,10,2,1980-01-06T03:11:37,1633357740.806932,2021-10-04T17:29:00
315965505,174855,704953,0.00640869140625,7.6519999504089355,250,10,2,1980-01-06T03:11:45,1633357747.667153,2021-10-04T17:29:07
315965511,14855,710793,-0.02288818359375,7.716000080108643,46,10,2,1980-01-06T03:11:51,1633357754.476768,2021-10-04T17:29:14
315965518,287697,718066,nan,nan,108,10,2,1980-01-06T03:11:58,1633357761.3273199,2021-10-04T17:29:21
315965525,654954,725433,0.00640869140625,7.6519999504089355,176,10,2,1980-01-06T03:12:05,1633357767.5375369,2021-10-04T17:29:27
315965532,924991,732703,nan,nan,238,10,2,1980-01-06T03:12:12,1633357774.357017,2021-10-04T17:29:34
315965538,757683,738536,0.0,7.6519999504089355,34,10,2,1980-01-06T03:12:18,1633357780.6672049,2021-10-04T17:29:40
315965546,74992,745853,-0.01190185546875,7.564000129699707,96,10,2,1980-01-06T03:12:26,1633357787.4794679,2021-10-04T17:29:47
315965551,894938,751673,nan,nan,148,10,2,1980-01-06T03:12:31,1633357793.757225,2021-10-04T17:29:53
315965560,597605,760376,0.00457763671875,7.703999996185303,226,10,2,1980-01-06T03:12:40,1633357803.289029,2021-10-04T17:30:03
315965573,647767,773426,-0.00732421875,7.6479997634887695,84,10,2,1980-01-06T03:12:53,1633357816.986912,2021-10-04T17:30:16
315965580,954843,780733,-0.00091552734375,7.656000137329102,146,10,2,1980-01-06T03:13:00,1633357823.2172248,2021-10-04T17:30:23
315965588,145124,787923,0.00640869140625,7.627999782562256,208,10,2,1980-01-06T03:13:08,1633357830.1794128,2021-10-04T17:30:30
315965593,944996,793723,nan,nan,4,10,2,1980-01-06T03:13:13,1633357837.057169,2021-10-04T17:30:37
315965602,874091,802613,0.00457763671875,7.619999885559082,82,10,2,1980-01-06T03:13:22,1633357843.898977,2021-10-04T17:30:43
315965608,707543,808446,0.00640869140625,7.552000045776367,128,10,2,1980-01-06T03:13:28,1633357850.1269279,2021-10-04T17:30:50
315965615,926739,815666,nan,nan,196,10,2,1980-01-06T03:13:35,1633357856.9068758,2021-10-04T17:30:56
315965621,754082,821493,-0.003662109375,7.415999889373779,242,10,2,1980-01-06T03:13:41,1633357863.197121,2021-10-04T17:31:03
315965629,64453,828803,0.00457763671875,7.599999904632568,54,10,2,1980-01-06T03:13:49,1633357872.686944,2021-10-04T17:31:12
315965636,354267,836093,-0.01190185546875,7.624000072479248,116,10,2,1980-01-06T03:13:56,1633357878.9470608,2021-10-04T17:31:18
315965643,584072,843323,0.0054931640625,7.684000015258789,178,10,2,1980-01-06T03:14:03,1633357885.747521,2021-10-04T17:31:25
315965649,444053,849183,0.00640869140625,7.627999782562256,230,10,2,1980-01-06T03:14:09,1633357891.997076,2021-10-04T17:31:31
315965656,816389,856555,0.0054931640625,7.5320000648498535,36,10,2,1980-01-06T03:14:16,1633357898.788509,2021-10-04T17:31:38
315965664,313962,864053,0.00640869140625,7.624000072479248,104,10,2,1980-01-06T03:14:24,1633357905.646884,2021-10-04T17:31:45
315965670,93946,869833,0.00640869140625,7.619999885559082,150,10,2,1980-01-06T03:14:30,1633357912.478276,2021-10-04T17:31:52
315965677,416822,877156,nan,nan,218,10,2,1980-01-06T03:14:37,1633357919.2772129,2021-10-04T17:31:59
315965684,713974,884453,0.00457763671875,7.607999801635742,24,10,2,1980-01-06T03:14:44,1633357928.1992319,2021-10-04T17:32:08
315965690,534053,890273,nan,nan,76,10,2,1980-01-06T03:14:50,1633357934.416992,2021-10-04T17:32:14
315965697,884141,897623,nan,nan,138,10,2,1980-01-06T03:14:57,1633357941.216917,2021-10-04T17:32:21
315965705,104762,904844,0.0054931640625,7.5279998779296875,200,10,2,1980-01-06T03:15:05,1633357947.467305,2021-10-04T17:32:27
315965711,66306,910805,nan,nan,252,10,2,1980-01-06T03:15:11,1633357954.3072798,2021-10-04T17:32:34
315965718,314077,918053,0.0054931640625,7.668000221252441,58,10,2,1980-01-06T03:15:18,1633357961.1970038,2021-10-04T17:32:41
315965725,546708,925286,0.00640869140625,7.607999801635742,126,10,2,1980-01-06T03:15:25,1633357968.01704,2021-10-04T17:32:48
315965732,856380,932595,nan,nan,188,10,2,1980-01-06T03:15:32,1633357974.288828,2021-10-04T17:32:54
315965740,184711,939924,0.00457763671875,7.668000221252441,250,10,2,1980-01-06T03:15:40,1633357981.157088,2021-10-04T17:33:01
315965746,4067,945743,0.00640869140625,7.579999923706055,46,10,2,1980-01-06T03:15:46,1633357987.397192,2021-10-04T17:33:07
315965753,313962,953053,0.00457763671875,7.671999931335449,108,10,2,1980-01-06T03:15:53,1633357996.937005,2021-10-04T17:33:16
315965766,464253,966203,0.00457763671875,7.452000141143799,222,10,2,1980-01-06T03:16:06,1633358010.037292,2021-10-04T17:33:30
315965773,706945,973446,0.0054931640625,7.495999813079834,28,10,2,1980-01-06T03:16:13,1633358016.8168728,2021-10-04T17:33:36
315965781,26573,980765,nan,nan,96,10,2,1980-01-06T03:16:21,1633358023.617333,2021-10-04T17:33:43
315965786,894091,986633,0.00640869140625,7.572000026702881,142,10,2,1980-01-06T03:16:26,1633358029.82722,2021-10-04T17:33:49
315965794,194427,993933,0.00640869140625,7.495999813079834,210,10,2,1980-01-06T03:16:34,1633358036.626852,2021-10-04T17:33:56
315965801,619345,1001333,0.00640869140625,7.572000026702881,16,10,2,1980-01-06T03:16:41,1633358042.826712,2021-10-04T17:34:02
315965807,469362,1007183,0.00457763671875,7.636000156402588,68,10,2,1980-01-06T03:16:47,1633358050.317081,2021-10-04T17:34:10
315965814,702066,1014416,nan,nan,130,10,2,1980-01-06T03:16:54,1633358056.5770888,2021-10-04T17:34:16
