time_s,time_us,time_steady,state,pump_on,pump_on_time_steady,pump_off,pump_off_time_steady,valve_open,valve_open_time_steady,valve_close,valve_close_time_steady,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315966941,637500,2140577,1,237,2140551,146,2044951,15,2092551,28,2102751,157,13,0,1980-01-06T03:35:41,1633359182.119992,2021-10-04T17:53:02
315966954,637600,2153577,1,46,2153551,146,2044951,15,2092551,28,2102751,43,13,0,1980-01-06T03:35:54,1633359195.36678,2021-10-04T17:53:15
315966967,637500,2166577,0,92,2162751,147,2162951,15,2092551,29,2162951,184,13,0,1980-01-06T03:36:07,1633359208.6061609,2021-10-04T17:53:28
315966980,637500,2179577,0,92,2162751,147,2162951,15,2092551,29,2162951,69,13,0,1980-01-06T03:36:20,1633359221.885421,2021-10-04T17:53:41
315966994,637500,2193577,0,92,2162751,147,2162951,15,2092551,29,2162951,222,13,0,1980-01-06T03:36:34,1633359234.555476,2021-10-04T17:53:54
315967007,853300,2206577,0,92,2162751,147,2162951,15,2092551,29,2162951,106,13,0,1980-01-06T03:36:47,1633359247.804484,2021-10-04T17:54:07
315967021,853300,2220577,3,93,2214551,147,2162951,16,2214551,29,2162951,3,13,0,1980-01-06T03:37:01,1633359263.3146648,2021-10-04T17:54:23
315967035,853400,2234577,1,143,2234551,147,2162951,16,2214551,30,2224751,155,13,0,1980-01-06T03:37:15,1633359277.1839528,2021-10-04T17:54:37
315967048,853300,2247577,1,208,2247551,147,2162951,16,2214551,30,2224751,40,13,0,1980-01-06T03:37:28,1633359290.47422,2021-10-04T17:54:50
315967062,853400,2261577,1,22,2261551,147,2162951,16,2214551,30,2224751,192,13,0,1980-01-06T03:37:42,1633359303.182788,2021-10-04T17:55:03
315967076,853300,2275577,1,92,2275551,147,2162951,16,2214551,30,2224751,88,13,0,1980-01-06T03:37:56,1633359316.4026968,2021-10-04T17:55:16
315967089,853400,2288577,0,138,2284751,148,2284951,16,2214551,31,2284951,230,13,0,1980-01-06T03:38:09,1633359329.692404,2021-10-04T17:55:29
315967103,969000,2302577,0,138,2284751,148,2284951,16,2214551,31,2284951,125,13,0,1980-01-06T03:38:23,1633359343.0118048,2021-10-04T17:55:43
315967116,969100,2315577,0,138,2284751,148,2284951,16,2214551,31,2284951,11,13,0,1980-01-06T03:38:36,1633359358.422109,2021-10-04T17:55:58
315967130,969000,2329577,0,138,2284751,148,2284951,16,2214551,31,2284951,163,13,0,1980-01-06T03:38:50,1633359372.2813249,2021-10-04T17:56:12
315967143,969100,2342577,3,139,2333551,148,2284951,17,2333551,31,2284951,48,13,0,1980-01-06T03:39:03,1633359384.90064,2021-10-04T17:56:24
315967157,969000,2356577,1,204,2356551,148,2284951,17,2333551,32,2343751,200,13,0,1980-01-06T03:39:17,1633359398.2303278,2021-10-04T17:56:38
315967171,969000,2370577,1,18,2370551,148,2284951,17,2333551,32,2343751,97,13,0,1980-01-06T03:39:31,1633359411.5202608,2021-10-04T17:56:51
315967184,969000,2383577,1,83,2383551,148,2284951,17,2333551,32,2343751,238,13,0,1980-01-06T03:39:44,1633359424.770864,2021-10-04T17:57:04
315967197,969100,2396577,1,148,2396551,148,2284951,17,2333551,32,2343751,123,13,0,1980-01-06T03:39:57,1633359438.109237,2021-10-04T17:57:18
315967212,96100,2410577,0,184,2403751,149,2403951,17,2333551,33,2403951,19,13,0,1980-01-06T03:40:12,1633359453.629557,2021-10-04T17:57:33
315967226,96100,2424577,0,184,2403751,149,2403951,17,2333551,33,2403951,172,13,0,1980-01-06T03:40:26,1633359466.9589639,2021-10-04T17:57:46
315967240,96200,2438577,0,184,2403751,149,2403951,17,2333551,33,2403951,68,13,0,1980-01-06T03:40:40,1633359480.288657,2021-10-04T17:58:00
315967253,96100,2451577,0,184,2403751,149,2403951,17,2333551,33,2403951,209,13,0,1980-01-06T03:40:53,1633359493.5504599,2021-10-04T17:58:13
315967267,96200,2465577,0,184,2403751,149,2403951,17,2333551,33,2403951,105,13,0,1980-01-06T03:41:07,1633359506.778177,2021-10-04T17:58:26
315967280,96100,2478577,0,184,2403751,149,2403951,17,2333551,33,2403951,247,13,0,1980-01-06T03:41:20,1633359520.038837,2021-10-04T17:58:40
315967293,96100,2491577,3,185,2486551,149,2403951,18,2486551,33,2403951,131,13,0,1980-01-06T03:41:33,1633359532.6872919,2021-10-04T17:58:52
315967308,96100,2506577,1,235,2506551,149,2403951,18,2486551,34,2496751,38,13,0,1980-01-06T03:41:48,1633359548.8192809,2021-10-04T17:59:08
315967321,96200,2519577,1,44,2519551,149,2403951,18,2486551,34,2496751,180,13,0,1980-01-06T03:42:01,1633359562.107985,2021-10-04T17:59:22
315967335,96100,2533577,1,114,2533551,149,2403951,18,2486551,34,2496751,76,13,0,1980-01-06T03:42:15,1633359575.4290888,2021-10-04T17:59:35
315967348,96200,2546577,1,179,2546551,149,2403951,18,2486551,34,2496751,217,13,0,1980-01-06T03:42:28,1633359588.6860929,2021-10-04T17:59:48
315967361,96100,2559577,0,230,2556751,150,2556951,18,2486551,35,2556951,103,13,0,1980-01-06T03:42:41,1633359602.016209,2021-10-04T18:00:02
315967375,96200,2573577,0,230,2556751,150,2556951,18,2486551,35,2556951,255,13,0,1980-01-06T03:42:55,1633359615.216012,2021-10-04T18:00:15
315967389,96100,2587577,0,230,2556751,150,2556951,18,2486551,35,2556951,150,13,0,1980-01-06T03:43:09,1633359628.495297,2021-10-04T18:00:28
315967403,336400,2601577,0,230,2556751,150,2556951,18,2486551,35,2556951,47,13,0,1980-01-06T03:43:23,1633359643.955736,2021-10-04T18:00:43
315967416,336400,2614577,0,230,2556751,150,2556951,18,2486551,35,2556951,188,13,0,1980-01-06T03:43:36,1633359657.1955888,2021-10-04T18:00:57
315967429,336500,2627577,0,230,2556751,150,2556951,18,2486551,35,2556951,73,13,0,1980-01-06T03:43:49,1633359670.404368,2021-10-04T18:01:10
315967443,336400,2641577,3,231,2633551,150,2556951,19,2633551,35,2556951,225,13,0,1980-01-06T03:44:03,1633359683.064208,2021-10-04T18:01:23
315967456,336500,2654577,1,30,2654551,150,2556951,19,2633551,36,2643751,111,13,0,1980-01-06T03:44:16,1633359696.384512,2021-10-04T18:01:36
315967470,336400,2668577,1,100,2668551,150,2556951,19,2633551,36,2643751,7,13,0,1980-01-06T03:44:30,1633359709.644937,2021-10-04T18:01:49
