time_s,time_us,time_steady,current,voltage,seq,srcSystem,srcComponent,time_gregorian
315964845,84000,48430,1.802947998046875,8.196000099182129,186,12,1,1980-01-06T03:00:45
315964845,726000,49112,1.513916015625,8.227999687194824,195,12,1,1980-01-06T03:00:45
315964846,365000,49765,1.50091552734375,8.227999687194824,199,12,1,1980-01-06T03:00:46
315964847,315000,50432,1.50897216796875,8.232000350952148,207,12,1,1980-01-06T03:00:47
315964847,953000,51151,1.79791259765625,8.199999809265137,228,12,1,1980-01-06T03:00:47
315964848,593000,51763,1.8079833984375,8.196000099182129,230,12,1,1980-01-06T03:00:48
315964849,233000,52430,1.80596923828125,8.196000099182129,238,12,1,1980-01-06T03:00:49
315964849,871000,53111,1.800933837890625,8.196000099182129,248,12,1,1980-01-06T03:00:49
315964850,514000,53765,1.5179443359375,8.208000183105469,252,12,1,1980-01-06T03:00:50
315964851,154000,54431,1.505950927734375,8.232000350952148,4,12,1,1980-01-06T03:00:51
315964851,797000,55101,1.5069580078125,8.236000061035156,10,12,1,1980-01-06T03:00:51
315964852,436000,55766,1.505950927734375,8.232000350952148,14,12,1,1980-01-06T03:00:52
315964853,75000,56433,2.999908447265625,8.01200008392334,22,12,1,1980-01-06T03:00:53
315964853,714000,61535,2.9688720703125,8.067999839782715,44,12,1,1980-01-06T03:00:53
315964857,982000,61544,1.49395751953125,8.232000350952148,48,12,1,1980-01-06T03:00:57
315964858,624000,62212,1.5029296875,8.232000350952148,60,12,1,1980-01-06T03:00:58
315964859,266000,62881,1.5,8.232000350952148,62,12,1,1980-01-06T03:00:59
315964859,905000,63547,1.7889404296875,8.196000099182129,70,12,1,1980-01-06T03:00:59
315964860,954000,64214,1.789947509765625,8.199999809265137,78,12,1,1980-01-06T03:01:00
315964861,596000,64882,1.789947509765625,8.199999809265137,80,12,1,1980-01-06T03:01:01
315964862,236000,65549,1.789947509765625,8.196000099182129,88,12,1,1980-01-06T03:01:02
315964862,876000,66215,1.79296875,8.211999893188477,96,12,1,1980-01-06T03:01:02
315964863,517000,66884,1.544952392578125,8.227999687194824,98,12,1,1980-01-06T03:01:03
315964864,157000,67550,1.50897216796875,8.232000350952148,106,12,1,1980-01-06T03:01:04
315964864,797000,68217,1.509979248046875,8.227999687194824,114,12,1,1980-01-06T03:01:04
315964865,439000,68885,1.492950439453125,8.227999687194824,116,12,1,1980-01-06T03:01:05
315964866,441000,69552,1.49395751953125,8.227999687194824,124,12,1,1980-01-06T03:01:06
315964867,81000,70218,1.492950439453125,8.227999687194824,132,12,1,1980-01-06T03:01:07
315964867,723000,70887,1.70892333984375,8.196000099182129,134,12,1,1980-01-06T03:01:07
315964868,363000,71553,1.79296875,8.196000099182129,142,12,1,1980-01-06T03:01:08
315964869,2000,72220,1.789947509765625,8.192000389099121,150,12,1,1980-01-06T03:01:09
315964869,644000,72888,1.78692626953125,8.196000099182129,152,12,1,1980-01-06T03:01:09
315964870,284000,73555,1.784912109375,8.196000099182129,160,12,1,1980-01-06T03:01:10
315964870,924000,74221,1.509979248046875,8.227999687194824,168,12,1,1980-01-06T03:01:10
315964871,566000,74890,1.5,8.227999687194824,170,12,1,1980-01-06T03:01:11
315964872,206000,75556,1.5029296875,8.227999687194824,178,12,1,1980-01-06T03:01:12
315964872,845000,76223,1.791961669921875,8.196000099182129,186,12,1,1980-01-06T03:01:12
315964873,487000,76891,1.7369384765625,8.196000099182129,188,12,1,1980-01-06T03:01:13
315964874,436000,77558,1.5,8.204000473022461,196,12,1,1980-01-06T03:01:14
315964875,76000,78224,1.496978759765625,8.220000267028809,204,12,1,1980-01-06T03:01:15
315964875,717000,78893,1.761932373046875,8.196000099182129,206,12,1,1980-01-06T03:01:15
315964876,357000,79559,1.783905029296875,8.196000099182129,214,12,1,1980-01-06T03:01:16
315964876,997000,80225,1.4879150390625,8.232000350952148,222,12,1,1980-01-06T03:01:16
315964877,639000,80894,1.488922119140625,8.232000350952148,224,12,1,1980-01-06T03:01:17
315964878,279000,81561,1.490936279296875,8.232000350952148,232,12,1,1980-01-06T03:01:18
315964878,918000,82227,1.7779541015625,8.196000099182129,240,12,1,1980-01-06T03:01:18
315964879,561000,82896,1.774932861328125,8.196000099182129,242,12,1,1980-01-06T03:01:19
315964880,200000,83562,1.787933349609375,8.196000099182129,250,12,1,1980-01-06T03:01:20
315964880,840000,84229,1.7779541015625,8.199999809265137,2,12,1,1980-01-06T03:01:20
315964881,482000,84897,1.6849365234375,8.196000099182129,4,12,1,1980-01-06T03:01:21
315964882,415000,85564,1.48992919921875,8.208000183105469,12,12,1,1980-01-06T03:01:22
315964883,55000,86230,1.503936767578125,8.227999687194824,20,12,1,1980-01-06T03:01:23
315964883,696000,86899,1.48699951171875,8.227999687194824,22,12,1,1980-01-06T03:01:23
315964884,336000,87565,1.48699951171875,8.227999687194824,30,12,1,1980-01-06T03:01:24
315964884,976000,88232,1.492950439453125,8.223999977111816,38,12,1,1980-01-06T03:01:24
315964885,618000,88900,1.49798583984375,8.227999687194824,40,12,1,1980-01-06T03:01:25
315964886,258000,89567,1.49395751953125,8.227999687194824,48,12,1,1980-01-06T03:01:26
315964886,898000,90233,1.531951904296875,8.227999687194824,56,12,1,1980-01-06T03:01:26
315964887,540000,90902,1.77593994140625,8.220000267028809,58,12,1,1980-01-06T03:01:27
315964888,180000,91568,1.782989501953125,8.196000099182129,66,12,1,1980-01-06T03:01:28
315964888,819000,92235,1.7779541015625,8.192000389099121,74,12,1,1980-01-06T03:01:28
315964889,790000,92903,1.7779541015625,8.192000389099121,76,12,1,1980-01-06T03:01:29
315964890,430000,93569,1.781982421875,8.192000389099121,84,12,1,1980-01-06T03:01:30
315964891,69000,94236,1.781982421875,8.196000099182129,92,12,1,1980-01-06T03:01:31
315964891,711000,94905,1.488922119140625,8.223999977111816,94,12,1,1980-01-06T03:01:31
315964892,351000,95571,1.479949951171875,8.223999977111816,102,12,1,1980-01-06T03:01:32
315964892,991000,96237,1.488922119140625,8.223999977111816,110,12,1,1980-01-06T03:01:32
315964893,633000,96906,1.77392578125,8.192000389099121,112,12,1,1980-01-06T03:01:33
315964894,273000,97572,1.776947021484375,8.204000473022461,120,12,1,1980-01-06T03:01:34
315964894,916000,98243,1.95391845703125,8.192000389099121,128,12,1,1980-01-06T03:01:34
315964895,558000,98911,2.07696533203125,8.180000305175781,130,12,1,1980-01-06T03:01:35
315964896,198000,99578,2.077972412109375,8.156000137329102,138,12,1,1980-01-06T03:01:36
315964896,841000,100248,2.0789794921875,8.156000137329102,146,12,1,1980-01-06T03:01:36
315964897,792000,100917,1.77392578125,8.187999725341797,148,12,1,1980-01-06T03:01:37
315964898,432000,101583,1.77996826171875,8.192000389099121,156,12,1,1980-01-06T03:01:38
315964899,75000,102253,1.78692626953125,8.192000389099121,164,12,1,1980-01-06T03:01:39
315964899,717000,102922,1.77593994140625,8.192000389099121,166,12,1,1980-01-06T03:01:39
315964900,357000,103588,1.77099609375,8.192000389099121,174,12,1,1980-01-06T03:01:40
315964901,0,104259,1.76898193359375,8.192000389099121,182,12,1,1980-01-06T03:01:41
315964901,642000,104927,1.557952880859375,8.192000389099121,184,12,1,1980-01-06T03:01:41
315964902,282000,105593,1.4879150390625,8.220000267028809,192,12,1,1980-01-06T03:01:42
315964902,922000,106260,1.585968017578125,8.223999977111816,200,12,1,1980-01-06T03:01:42
315964903,563000,106928,1.48992919921875,8.220000267028809,202,12,1,1980-01-06T03:01:43
315964904,203000,107595,1.5,8.220000267028809,210,12,1,1980-01-06T03:01:44
315964906,247000,108265,1.492950439453125,8.220000267028809,218,12,1,1980-01-06T03:01:46
315964906,888000,108934,1.56793212890625,8.192000389099121,220,12,1,1980-01-06T03:01:46
315964907,528000,109600,1.783905029296875,8.187999725341797,228,12,1,1980-01-06T03:01:47
315964908,168000,110267,1.784912109375,8.187999725341797,236,12,1,1980-01-06T03:01:48
