time_s,time_us,time_steady,temperature,seq,srcSystem,srcComponent,time_gregorian
1,12000,5178,13.9375,45,12,3,1970-01-01T03:00:01
4,855000,5195,14.0,49,12,3,1970-01-01T03:00:04
5,812000,6153,14.0,75,12,3,1970-01-01T03:00:05
315964804,37000,7165,14.0,104,12,3,1980-01-06T03:00:04
315964804,997000,8084,14.0,113,12,3,1980-01-06T03:00:04
315964805,955000,9130,14.0,133,12,3,1980-01-06T03:00:05
315964806,915000,10150,14.0,160,12,3,1980-01-06T03:00:06
315964807,877000,11152,14.0625,185,12,3,1980-01-06T03:00:07
315964808,837000,12189,14.0,221,12,3,1980-01-06T03:00:08
315964809,796000,13079,14.0,227,12,3,1980-01-06T03:00:09
315964810,755000,14079,14.0,237,12,3,1980-01-06T03:00:10
315964811,717000,15081,14.0,245,12,3,1980-01-06T03:00:11
315964812,676000,16078,14.0,255,12,3,1980-01-06T03:00:12
315964813,942000,17076,14.0,7,12,3,1980-01-06T03:00:13
315964814,905000,18080,14.0,17,12,3,1980-01-06T03:00:14
315964815,863000,19078,14.0,25,12,3,1980-01-06T03:00:15
315964816,822000,20077,14.0,35,12,3,1980-01-06T03:00:16
315964817,784000,21079,14.0,43,12,3,1980-01-06T03:00:17
315964818,744000,22078,14.0625,53,12,3,1980-01-06T03:00:18
315964819,705000,23080,14.0,61,12,3,1980-01-06T03:00:19
315964820,665000,24079,14.0,71,12,3,1980-01-06T03:00:20
315964821,933000,29746,14.0,182,12,3,1980-01-06T03:00:21
315964825,772000,29765,14.0,188,12,3,1980-01-06T03:00:25
315964826,733000,30077,14.0,192,12,3,1980-01-06T03:00:26
315964827,695000,31079,14.0,200,12,3,1980-01-06T03:00:27
315964828,655000,32079,14.0,223,12,3,1980-01-06T03:00:28
315964829,612000,33077,14.0,231,12,3,1980-01-06T03:00:29
315964830,572000,34076,14.0,241,12,3,1980-01-06T03:00:30
315964831,947000,35078,14.0,249,12,3,1980-01-06T03:00:31
315964832,906000,36078,14.0,11,12,3,1980-01-06T03:00:32
315964833,868000,37080,14.0,19,12,3,1980-01-06T03:00:33
315964834,828000,38079,14.0,29,12,3,1980-01-06T03:00:34
315964835,786000,39077,14.0,37,12,3,1980-01-06T03:00:35
315964836,745000,40077,14.0,55,12,3,1980-01-06T03:00:36
315964837,707000,41079,14.0,63,12,3,1980-01-06T03:00:37
315964838,667000,42079,14.0,93,12,3,1980-01-06T03:00:38
315964839,937000,43077,14.0,101,12,3,1980-01-06T03:00:39
315964840,897000,44076,14.0,120,12,3,1980-01-06T03:00:40
315964841,858000,45078,14.0,128,12,3,1980-01-06T03:00:41
315964842,818000,46078,14.0,156,12,3,1980-01-06T03:00:42
315964843,776000,47076,14.0,164,12,3,1980-01-06T03:00:43
315964844,736000,48076,14.0,182,12,3,1980-01-06T03:00:44
315964845,698000,49078,14.0,190,12,3,1980-01-06T03:00:45
315964846,658000,50078,14.0,203,12,3,1980-01-06T03:00:46
315964847,929000,51080,14.0,211,12,3,1980-01-06T03:00:47
315964848,889000,52079,14.0,234,12,3,1980-01-06T03:00:48
315964849,847000,53077,14.0,242,12,3,1980-01-06T03:00:49
315964850,807000,54077,14.0,0,12,3,1980-01-06T03:00:50
315964851,768000,55079,14.0,8,12,3,1980-01-06T03:00:51
315964852,728000,56079,14.0,18,12,3,1980-01-06T03:00:52
315964853,686000,61540,14.0,47,12,3,1980-01-06T03:00:53
315964857,526000,61558,14.0,52,12,3,1980-01-06T03:00:57
315964858,487000,62078,14.0,56,12,3,1980-01-06T03:00:58
315964859,447000,63077,14.0,66,12,3,1980-01-06T03:00:59
315964860,817000,64079,14.0,74,12,3,1980-01-06T03:01:00
315964861,777000,65079,14.0,84,12,3,1980-01-06T03:01:01
