time_s,time_us,time_steady,resets_count,reset_cause,active_oscillator,time_base,time_syncs_attempted,time_syncs_performed,last_time_sync_time_steady,last_time_sync_delta_s,last_time_sync_delta_us,seq,srcSystem,srcComponent,time_gregorian
315964809,56900,11577,1,2,0,1,6,2,6548,315964797,768382,126,13,0,1980-01-06T03:00:09
315964812,56900,14577,1,2,0,1,9,2,6548,315964797,768382,162,13,0,1980-01-06T03:00:12
315964815,56900,17577,1,2,0,1,11,2,6548,315964797,768382,197,13,0,1980-01-06T03:00:15
315964818,56900,20577,1,2,0,1,14,2,6548,315964797,768382,233,13,0,1980-01-06T03:00:18
315964821,56900,23577,1,2,0,1,17,2,6548,315964797,768382,13,13,0,1980-01-06T03:00:21
315964824,56900,26577,1,2,0,1,20,2,6548,315964797,768382,48,13,0,1980-01-06T03:00:24
315964827,56900,29577,1,2,0,1,22,2,6548,315964797,768382,84,13,0,1980-01-06T03:00:27
315964830,56900,32577,1,2,0,1,25,2,6548,315964797,768382,119,13,0,1980-01-06T03:00:30
315964833,56900,35577,1,2,0,1,28,2,6548,315964797,768382,155,13,0,1980-01-06T03:00:33
315964836,56900,38577,1,2,0,1,30,2,6548,315964797,768382,191,13,0,1980-01-06T03:00:36
315964839,56900,41577,1,2,0,1,33,2,6548,315964797,768382,226,13,0,1980-01-06T03:00:39
315964842,56900,44577,1,2,0,1,36,2,6548,315964797,768382,6,13,0,1980-01-06T03:00:42
315964845,56900,47577,1,2,0,1,39,2,6548,315964797,768382,41,13,0,1980-01-06T03:00:45
315964848,56900,50577,1,2,0,1,41,2,6548,315964797,768382,77,13,0,1980-01-06T03:00:48
315964851,56900,53577,1,2,0,1,44,2,6548,315964797,768382,113,13,0,1980-01-06T03:00:51
315964854,56900,56577,1,2,0,1,47,2,6548,315964797,768382,148,13,0,1980-01-06T03:00:54
315964857,56900,59577,1,2,0,1,49,2,6548,315964797,768382,184,13,0,1980-01-06T03:00:57
315964860,56900,62577,1,2,0,1,52,2,6548,315964797,768382,219,13,0,1980-01-06T03:01:00
315964863,56900,65577,1,2,0,1,55,2,6548,315964797,768382,255,13,0,1980-01-06T03:01:03
315964866,56900,68577,1,2,0,1,58,2,6548,315964797,768382,35,13,0,1980-01-06T03:01:06
315964869,56900,71577,1,2,0,1,60,2,6548,315964797,768382,70,13,0,1980-01-06T03:01:09
315964872,56900,74577,1,2,0,1,63,2,6548,315964797,768382,106,13,0,1980-01-06T03:01:12
315964875,56900,77577,1,2,0,1,66,2,6548,315964797,768382,141,13,0,1980-01-06T03:01:15
315964878,56900,80577,1,2,0,1,68,2,6548,315964797,768382,177,13,0,1980-01-06T03:01:18
315964881,56900,83577,1,2,0,1,71,2,6548,315964797,768382,213,13,0,1980-01-06T03:01:21
315964884,56900,86577,1,2,0,1,74,2,6548,315964797,768382,248,13,0,1980-01-06T03:01:24
315964887,56900,89577,1,2,0,1,77,2,6548,315964797,768382,28,13,0,1980-01-06T03:01:27
315964890,56900,92577,1,2,0,1,79,2,6548,315964797,768382,63,13,0,1980-01-06T03:01:30
315964893,56900,95577,1,2,0,1,82,2,6548,315964797,768382,99,13,0,1980-01-06T03:01:33
315964896,56900,98577,1,2,0,1,85,2,6548,315964797,768382,135,13,0,1980-01-06T03:01:36
315964899,56900,101577,1,2,0,1,87,2,6548,315964797,768382,170,13,0,1980-01-06T03:01:39
315964902,56900,104577,1,2,0,1,90,2,6548,315964797,768382,206,13,0,1980-01-06T03:01:42
315964905,56900,107577,1,2,0,1,93,2,6548,315964797,768382,241,13,0,1980-01-06T03:01:45
315964908,56900,110577,1,2,0,1,96,2,6548,315964797,768382,21,13,0,1980-01-06T03:01:48
315964911,56900,113577,1,2,0,1,98,2,6548,315964797,768382,57,13,0,1980-01-06T03:01:51
315964914,56900,116577,1,2,0,1,101,2,6548,315964797,768382,92,13,0,1980-01-06T03:01:54
315964917,56900,119577,1,2,0,1,104,2,6548,315964797,768382,128,13,0,1980-01-06T03:01:57
315964920,56900,122577,1,2,0,1,106,2,6548,315964797,768382,163,13,0,1980-01-06T03:02:00
315964923,56900,125577,1,2,0,1,109,2,6548,315964797,768382,199,13,0,1980-01-06T03:02:03
315964926,56900,128577,1,2,0,1,112,2,6548,315964797,768382,235,13,0,1980-01-06T03:02:06
315964929,56900,131577,1,2,0,1,115,2,6548,315964797,768382,14,13,0,1980-01-06T03:02:09
315964932,56900,134577,1,2,0,1,117,2,6548,315964797,768382,50,13,0,1980-01-06T03:02:12
315964935,56900,137577,1,2,0,1,120,2,6548,315964797,768382,85,13,0,1980-01-06T03:02:15
315964938,56900,140577,1,2,0,1,123,2,6548,315964797,768382,121,13,0,1980-01-06T03:02:18
315964941,56900,143577,1,2,0,1,125,2,6548,315964797,768382,157,13,0,1980-01-06T03:02:21
315964944,56900,146577,1,2,0,1,128,2,6548,315964797,768382,192,13,0,1980-01-06T03:02:24
315964947,56900,149577,1,2,0,1,131,2,6548,315964797,768382,228,13,0,1980-01-06T03:02:27
315964950,56900,152577,1,2,0,1,134,2,6548,315964797,768382,7,13,0,1980-01-06T03:02:30
315964953,56900,155577,1,2,0,1,136,2,6548,315964797,768382,43,13,0,1980-01-06T03:02:33
315964956,56900,158577,1,2,0,1,139,2,6548,315964797,768382,79,13,0,1980-01-06T03:02:36
315964959,56900,161577,1,2,0,1,142,2,6548,315964797,768382,114,13,0,1980-01-06T03:02:39
315964962,56900,164577,1,2,0,1,144,2,6548,315964797,768382,150,13,0,1980-01-06T03:02:42
315964965,56900,167577,1,2,0,1,147,2,6548,315964797,768382,185,13,0,1980-01-06T03:02:45
315964968,56900,170577,1,2,0,1,150,2,6548,315964797,768382,221,13,0,1980-01-06T03:02:48
315964971,56900,173577,1,2,0,1,152,2,6548,315964797,768382,1,13,0,1980-01-06T03:02:51
315964974,56900,176577,1,2,0,1,155,2,6548,315964797,768382,36,13,0,1980-01-06T03:02:54
315964977,56900,179577,1,2,0,1,158,2,6548,315964797,768382,72,13,0,1980-01-06T03:02:57
315964980,56900,182577,1,2,0,1,161,2,6548,315964797,768382,107,13,0,1980-01-06T03:03:00
