time_s,time_us,time_steady,count_tick,delta_time,seq,srcSystem,srcComponent,time_gregorian
2,151300,1151,0,1004,2,13,0,1970-01-01T03:00:02
2,151300,1151,0,1004,13,13,0,1970-01-01T03:00:02
5,662300,5951,22,1200,62,13,0,1970-01-01T03:00:05
315964804,148700,7151,0,1200,73,13,0,1980-01-06T03:00:04
315964804,148700,7151,0,1200,84,13,0,1980-01-06T03:00:04
315964805,348700,8351,8,1200,98,13,0,1980-01-06T03:00:05
315964806,548700,9551,8,1200,109,13,0,1980-01-06T03:00:06
315964807,748700,10751,0,1200,120,13,0,1980-01-06T03:00:07
315964808,948700,11951,1,1200,133,13,0,1980-01-06T03:00:08
315964810,148800,13151,0,1200,144,13,0,1980-01-06T03:00:10
315964810,148800,13151,0,1200,156,13,0,1980-01-06T03:00:10
315964811,348800,14351,0,1200,169,13,0,1980-01-06T03:00:11
315964812,548700,15551,0,1200,180,13,0,1980-01-06T03:00:12
315964813,748700,16751,0,1200,191,13,0,1980-01-06T03:00:13
315964814,948700,17951,0,1200,204,13,0,1980-01-06T03:00:14
2,151300,1151,0,1004,2,13,0,1970-01-01T03:00:02
2,151300,1151,0,1004,13,13,0,1970-01-01T03:00:02
315964827,250400,5951,1,1200,62,13,0,1980-01-06T03:00:27
315964828,450300,7151,0,1200,73,13,0,1980-01-06T03:00:28
315964828,450300,7151,0,1200,84,13,0,1980-01-06T03:00:28
315964829,650300,8351,0,1200,98,13,0,1980-01-06T03:00:29
315964830,850300,9551,0,1200,109,13,0,1980-01-06T03:00:30
315964832,50300,10751,0,1200,120,13,0,1980-01-06T03:00:32
315964833,250300,11951,0,1200,133,13,0,1980-01-06T03:00:33
315964834,450300,13151,0,1200,144,13,0,1980-01-06T03:00:34
315964834,450300,13151,0,1200,156,13,0,1980-01-06T03:00:34
315964835,650300,14351,0,1200,169,13,0,1980-01-06T03:00:35
315964836,850300,15551,0,1200,180,13,0,1980-01-06T03:00:36
315964838,50300,16751,0,1200,191,13,0,1980-01-06T03:00:38
315964839,250300,17951,5,1200,204,13,0,1980-01-06T03:00:39
315964840,450400,19151,0,1200,216,13,0,1980-01-06T03:00:40
315964840,450400,19151,0,1200,227,13,0,1980-01-06T03:00:40
315964841,650400,20351,0,1200,240,13,0,1980-01-06T03:00:41
315964842,850300,21551,0,1200,251,13,0,1980-01-06T03:00:42
315964844,50300,22751,0,1200,6,13,0,1980-01-06T03:00:44
315964845,250300,23951,14,1200,20,13,0,1980-01-06T03:00:45
315964846,450300,25151,0,1200,31,13,0,1980-01-06T03:00:46
315964846,450300,25151,0,1200,42,13,0,1980-01-06T03:00:46
315964847,650300,26351,1,1200,55,13,0,1980-01-06T03:00:47
315964848,850300,27551,0,1200,66,13,0,1980-01-06T03:00:48
315964850,50300,28751,0,1200,78,13,0,1980-01-06T03:00:50
315964851,250300,29951,0,1200,91,13,0,1980-01-06T03:00:51
315964852,450300,31151,0,1200,102,13,0,1980-01-06T03:00:52
2,151300,1151,0,1004,2,13,0,1970-01-01T03:00:02
