time_s,time_us,time_steady,temperature,seq,srcSystem,srcComponent,time_gregorian
1,380432,1524,12.5,5,10,1,1970-01-01T03:00:01
2,380370,2586,12.5625,15,10,1,1970-01-01T03:00:02
3,390364,3553,12.5625,21,10,1,1970-01-01T03:00:03
4,377779,4522,12.5625,31,10,1,1970-01-01T03:00:04
315964802,664178,5517,12.5625,41,10,1,1980-01-06T03:00:02
315964803,667233,6543,12.5625,51,10,1,1980-01-06T03:00:03
315964804,674000,7596,12.625,57,10,1,1980-01-06T03:00:04
315964805,674107,8543,12.5625,67,10,1,1980-01-06T03:00:05
315964806,674151,9544,12.625,77,10,1,1980-01-06T03:00:06
315964807,667749,10596,12.5625,83,10,1,1980-01-06T03:00:07
315964808,676774,11537,12.625,93,10,1,1980-01-06T03:00:08
315964809,695034,12564,12.625,103,10,1,1980-01-06T03:00:09
315964810,686815,13546,12.625,109,10,1,1980-01-06T03:00:10
315964811,684131,14546,12.625,119,10,1,1980-01-06T03:00:11
315964812,687132,15611,12.625,129,10,1,1980-01-06T03:00:12
315964813,694334,16564,12.625,135,10,1,1980-01-06T03:00:13
315964814,686767,17545,12.625,145,10,1,1980-01-06T03:00:14
315964815,686917,18542,12.625,155,10,1,1980-01-06T03:00:15
315964816,700119,19537,12.625,161,10,1,1980-01-06T03:00:16
315964817,684000,20609,12.625,171,10,1,1980-01-06T03:00:17
315964818,694120,21552,12.625,181,10,1,1980-01-06T03:00:18
315964819,684786,22536,12.625,187,10,1,1980-01-06T03:00:19
315964820,686762,23528,12.625,197,10,1,1980-01-06T03:00:20
315964821,686752,24552,12.625,207,10,1,1980-01-06T03:00:21
315964822,696738,25612,12.625,213,10,1,1980-01-06T03:00:22
315964823,683999,26573,12.625,223,10,1,1980-01-06T03:00:23
315964824,690119,27537,12.625,229,10,1,1980-01-06T03:00:24
315964825,693993,28618,12.6875,239,10,1,1980-01-06T03:00:25
315964826,686759,29554,12.625,245,10,1,1980-01-06T03:00:26
315964827,694117,30563,12.625,255,10,1,1980-01-06T03:00:27
315964828,684171,31535,12.6875,9,10,1,1980-01-06T03:00:28
315964829,726787,32603,12.6875,19,10,1,1980-01-06T03:00:29
315964830,724866,33643,12.6875,25,10,1,1980-01-06T03:00:30
315964831,716740,34575,12.6875,35,10,1,1980-01-06T03:00:31
315964832,714130,35580,12.6875,45,10,1,1980-01-06T03:00:32
315964833,706748,36573,12.6875,51,10,1,1980-01-06T03:00:33
315964834,716759,37584,12.6875,61,10,1,1980-01-06T03:00:34
315964835,716744,38641,12.6875,71,10,1,1980-01-06T03:00:35
315964836,706758,39573,12.6875,77,10,1,1980-01-06T03:00:36
315964837,716442,40571,12.6875,87,10,1,1980-01-06T03:00:37
315964838,715054,41643,12.6875,97,10,1,1980-01-06T03:00:38
315964839,713990,42565,12.6875,103,10,1,1980-01-06T03:00:39
315964840,743997,43594,12.6875,113,10,1,1980-01-06T03:00:40
315964841,734038,44592,12.75,123,10,1,1980-01-06T03:00:41
