time_s,time_us,time_steady,temperature,pressure,altitude,seq,srcSystem,srcComponent,time_gregorian
315964871,434100,18395,13.630000114440918,102519,-98.92060852050781,208,13,1,1980-01-06T03:01:11
315964872,434100,19395,13.649999618530273,102515,-98.59066772460938,219,13,1,1980-01-06T03:01:12
315964873,434100,20395,13.630000114440918,102499,-97.27091217041016,230,13,1,1980-01-06T03:01:13
315964874,434100,21395,13.670000076293945,102516,-98.67315673828125,243,13,1,1980-01-06T03:01:14
315964875,434100,22395,13.65999984741211,102500,-97.3533935546875,254,13,1,1980-01-06T03:01:15
315964876,434100,23395,13.680000305175781,102500,-97.3533935546875,10,13,1,1980-01-06T03:01:16
315964877,434100,24395,13.710000038146973,102516,-98.67315673828125,23,13,1,1980-01-06T03:01:17
315964878,434100,25395,13.720000267028809,102516,-98.67315673828125,34,13,1,1980-01-06T03:01:18
315964879,434100,26395,13.729999542236328,102518,-98.83812713623047,45,13,1,1980-01-06T03:01:19
315964880,434100,27395,13.720000267028809,102499,-97.27091217041016,58,13,1,1980-01-06T03:01:20
315964881,434100,28395,13.729999542236328,102502,-97.51836395263672,70,13,1,1980-01-06T03:01:21
315964882,434100,29395,13.779999732971191,102518,-98.83812713623047,81,13,1,1980-01-06T03:01:22
315964883,434100,30395,13.789999961853027,102517,-98.7556381225586,94,13,1,1980-01-06T03:01:23
315964884,434100,31395,13.800000190734863,102517,-98.7556381225586,105,13,1,1980-01-06T03:01:24
315964885,434100,32395,13.8100004196167,102518,-98.83812713623047,116,13,1,1980-01-06T03:01:25
315964886,434100,33395,13.819999694824219,102517,-98.7556381225586,130,13,1,1980-01-06T03:01:26
315964887,434100,34395,13.8100004196167,102497,-97.10594177246094,141,13,1,1980-01-06T03:01:27
315964888,434100,35395,13.829999923706055,102497,-97.10594177246094,152,13,1,1980-01-06T03:01:28
315964889,434100,36395,13.859999656677246,102517,-98.7556381225586,165,13,1,1980-01-06T03:01:29
315964890,434100,37395,13.850000381469727,102499,-97.27091217041016,176,13,1,1980-01-06T03:01:30
315964891,434100,38395,13.890000343322754,102515,-98.59066772460938,188,13,1,1980-01-06T03:01:31
315964892,434100,39395,13.90999984741211,102518,-98.83812713623047,201,13,1,1980-01-06T03:01:32
315964893,434100,40395,13.899999618530273,102494,-96.85848999023438,212,13,1,1980-01-06T03:01:33
315964894,434100,41395,13.90999984741211,102497,-97.10594177246094,223,13,1,1980-01-06T03:01:34
315964895,434100,42395,13.920000076293945,102499,-97.27091217041016,236,13,1,1980-01-06T03:01:35
315964896,434100,43395,13.9399995803833,102499,-97.27091217041016,248,13,1,1980-01-06T03:01:36
315964897,434100,44395,13.949999809265137,102505,-97.76582336425781,3,13,1,1980-01-06T03:01:37
315964898,434100,45395,13.979999542236328,102516,-98.67315673828125,16,13,1,1980-01-06T03:01:38
315964899,434100,46395,14.0,102519,-98.92060852050781,27,13,1,1980-01-06T03:01:39
315964900,434100,47395,13.989999771118164,102500,-97.3533935546875,38,13,1,1980-01-06T03:01:40
315964901,434100,48395,14.0,102503,-97.6008529663086,52,13,1,1980-01-06T03:01:41
315964902,434100,49395,14.020000457763672,102504,-97.68333435058594,63,13,1,1980-01-06T03:01:42
315964903,434100,50395,14.039999961853027,102499,-97.27091217041016,74,13,1,1980-01-06T03:01:43
315964907,160100,51395,14.069999694824219,102518,-98.83812713623047,87,13,1,1980-01-06T03:01:47
315964908,160100,52395,14.09000015258789,102517,-98.7556381225586,98,13,1,1980-01-06T03:01:48
315964909,160100,53395,14.079999923706055,102501,-97.43588256835938,110,13,1,1980-01-06T03:01:49
315964910,160100,54395,14.09000015258789,102504,-97.68333435058594,123,13,1,1980-01-06T03:01:50
315964911,160100,55395,14.109999656677246,102502,-97.51836395263672,134,13,1,1980-01-06T03:01:51
315964912,160100,56395,14.119999885559082,102501,-97.43588256835938,145,13,1,1980-01-06T03:01:52
315964913,160100,57395,14.149999618530273,102517,-98.7556381225586,158,13,1,1980-01-06T03:01:53
315964914,160100,58395,14.15999984741211,102517,-98.7556381225586,170,13,1,1980-01-06T03:01:54
315964915,160100,59395,14.149999618530273,102505,-97.76582336425781,181,13,1,1980-01-06T03:01:55
315964916,160100,60395,14.170000076293945,102497,-97.10594177246094,194,13,1,1980-01-06T03:01:56
315964917,160100,61395,14.180000305175781,102501,-97.43588256835938,205,13,1,1980-01-06T03:01:57
315964918,160100,62395,14.220000267028809,102517,-98.7556381225586,216,13,1,1980-01-06T03:01:58
315964919,160100,63395,14.239999771118164,102518,-98.83812713623047,230,13,1,1980-01-06T03:01:59
315964920,160100,64395,14.25,102518,-98.83812713623047,241,13,1,1980-01-06T03:02:00
315964921,160100,65395,14.229999542236328,102498,-97.18842315673828,252,13,1,1980-01-06T03:02:01
315964922,160100,66395,14.25,102500,-97.3533935546875,9,13,1,1980-01-06T03:02:02
315964923,160100,67395,14.300000190734863,102516,-98.67315673828125,20,13,1,1980-01-06T03:02:03
315964924,160100,68395,14.289999961853027,102503,-97.6008529663086,32,13,1,1980-01-06T03:02:04
