time_s,time_us,time_steady,last_report_time,last_good_report_time,reports_counter,bad_reports_counter,last_mistake,ignorance_depth,punishments_counter,last_punishment_time,seq,srcSystem,srcComponent,time_gregorian
315964805,150000,8152,8152,8152,8,0,0,0,0,0,86,13,1,1980-01-06T03:00:05
315964829,474000,8175,8152,8152,8,0,0,0,0,0,86,13,1,1980-01-06T03:00:29
315964861,236200,8175,8152,8152,8,0,0,0,0,0,86,13,1,1980-01-06T03:01:01
315964886,236200,33175,33152,33152,33,0,0,0,0,0,128,13,1,1980-01-06T03:01:26
315964913,962200,58175,58152,58152,58,0,0,0,0,0,168,13,1,1980-01-06T03:01:53
315964940,373000,10440,10418,10418,8,3,-4,0,1,5486,76,13,1,1980-01-06T03:02:20
315964965,373000,35440,35418,35418,33,3,-4,0,1,5486,118,13,1,1980-01-06T03:02:45
315964805,655200,8175,8152,8152,8,0,0,0,0,0,86,13,1,1980-01-06T03:00:05
315964830,655200,33175,33152,33152,33,0,0,0,0,0,128,13,1,1980-01-06T03:00:30
315964855,655200,58175,58152,58152,58,0,0,0,0,0,168,13,1,1980-01-06T03:00:55
315964880,655200,83175,83152,83152,83,0,0,0,0,0,208,13,1,1980-01-06T03:01:20
315964905,655200,108175,108152,108152,108,0,0,0,0,0,250,13,1,1980-01-06T03:01:45
315964930,655200,133175,133152,133152,133,0,0,0,0,0,34,13,1,1980-01-06T03:02:10
315964955,655200,158175,158152,158152,158,0,0,0,0,0,74,13,1,1980-01-06T03:02:35
315964980,655200,183175,183152,183152,183,0,0,0,0,0,116,13,1,1980-01-06T03:03:00
315965007,555600,208175,208152,208152,208,0,0,0,0,0,156,13,1,1980-01-06T03:03:27
315965032,555600,233175,233152,233152,233,0,0,0,0,0,196,13,1,1980-01-06T03:03:52
315965057,555600,258175,258152,258152,258,0,0,0,0,0,238,13,1,1980-01-06T03:04:17
315965082,555600,283175,283152,283152,283,0,0,0,0,0,22,13,1,1980-01-06T03:04:42
315965107,555600,308175,308152,308152,308,0,0,0,0,0,62,13,1,1980-01-06T03:05:07
315965132,555600,333175,333152,333152,333,0,0,0,0,0,104,13,1,1980-01-06T03:05:32
315965157,555600,358175,358152,358152,358,0,0,0,0,0,144,13,1,1980-01-06T03:05:57
315965182,555600,383175,383152,383152,383,0,0,0,0,0,184,13,1,1980-01-06T03:06:22
315965207,555600,408175,408152,408152,408,0,0,0,0,0,226,13,1,1980-01-06T03:06:47
315965232,555600,433175,433152,433152,433,0,0,0,0,0,10,13,1,1980-01-06T03:07:12
315964805,654200,8175,8152,8152,8,0,0,0,0,0,86,13,1,1980-01-06T03:00:05
