time_s,time_us,time_steady,last_report_time,last_good_report_time,reports_counter,bad_reports_counter,last_mistake,ignorance_depth,punishments_counter,last_punishment_time,seq,srcSystem,srcComponent,time_gregorian
315964844,474000,23175,23175,23175,264,34,-11,0,1,5174,8,13,4,1980-01-06T03:00:44
315964876,236200,23175,23175,23175,264,34,-11,0,1,5174,8,13,4,1980-01-06T03:01:16
315964901,236200,48175,48175,48175,562,34,-11,0,1,5174,50,13,4,1980-01-06T03:01:41
315964928,962200,73175,73175,73175,858,34,-11,0,1,5174,90,13,4,1980-01-06T03:02:08
315964955,373000,25440,25440,25440,254,10,-11,0,1,6255,254,13,4,1980-01-06T03:02:35
315964820,655200,23175,23175,23175,264,34,-11,0,1,5174,8,13,4,1980-01-06T03:00:20
315964845,655200,48175,48175,48175,562,34,-11,0,1,5174,50,13,4,1980-01-06T03:00:45
315964870,655200,73175,73175,73175,858,34,-11,0,1,5174,90,13,4,1980-01-06T03:01:10
315964895,655200,98175,98175,98175,1154,34,-11,0,1,5174,130,13,4,1980-01-06T03:01:35
315964920,655200,123175,123175,123175,1452,34,-11,0,1,5174,172,13,4,1980-01-06T03:02:00
315964945,655200,148175,148175,148175,1748,34,-11,0,1,5174,212,13,4,1980-01-06T03:02:25
315964970,655200,173175,173175,173175,2044,34,-11,0,1,5174,252,13,4,1980-01-06T03:02:50
315964995,655200,198175,198175,198175,2342,34,-11,0,1,5174,38,13,4,1980-01-06T03:03:15
315965022,555600,223175,223175,223175,2638,34,-11,0,1,5174,78,13,4,1980-01-06T03:03:42
315965047,555600,248175,248175,248175,2934,34,-11,0,1,5174,118,13,4,1980-01-06T03:04:07
315965072,555600,273175,273175,273175,3232,34,-11,0,1,5174,160,13,4,1980-01-06T03:04:32
315965097,555600,298175,298175,298175,3528,34,-11,0,1,5174,200,13,4,1980-01-06T03:04:57
315965122,555600,323175,323175,323175,3824,34,-11,0,1,5174,240,13,4,1980-01-06T03:05:22
315965147,555600,348175,348175,348175,4122,34,-11,0,1,5174,26,13,4,1980-01-06T03:05:47
315965172,555600,373175,373175,373175,4418,34,-11,0,1,5174,66,13,4,1980-01-06T03:06:12
315965197,555600,398175,398175,398175,4714,34,-11,0,1,5174,106,13,4,1980-01-06T03:06:37
315965222,555600,423175,423175,423175,5012,34,-11,0,1,5174,148,13,4,1980-01-06T03:07:02
315964820,654200,23175,23175,23175,264,34,-11,0,1,5174,8,13,4,1980-01-06T03:00:20
315964845,654200,48175,48175,48175,562,34,-11,0,1,5174,50,13,4,1980-01-06T03:00:45
315964870,654200,73175,73175,73175,858,34,-11,0,1,5174,90,13,4,1980-01-06T03:01:10
315964895,654200,98175,98175,98175,1154,34,-11,0,1,5174,130,13,4,1980-01-06T03:01:35
315964920,654200,123175,123175,123175,1452,34,-11,0,1,5174,172,13,4,1980-01-06T03:02:00
315964945,654200,148175,148175,148175,1748,34,-11,0,1,5174,212,13,4,1980-01-06T03:02:25
315964970,654200,173175,173175,173175,2044,34,-11,0,1,5174,252,13,4,1980-01-06T03:02:50
315964995,654200,198175,198175,198175,2342,34,-11,0,1,5174,38,13,4,1980-01-06T03:03:15
315965022,585200,223175,223175,223175,2638,34,-11,0,1,5174,78,13,4,1980-01-06T03:03:42
315965047,585200,248175,248175,248175,2934,34,-11,0,1,5174,118,13,4,1980-01-06T03:04:07
315965072,585200,273175,273175,273175,3232,34,-11,0,1,5174,160,13,4,1980-01-06T03:04:32
315965097,585200,298175,298175,298175,3528,34,-11,0,1,5174,200,13,4,1980-01-06T03:04:57
315965122,585200,323175,323175,323175,3824,34,-11,0,1,5174,240,13,4,1980-01-06T03:05:22
315965147,585200,348175,348175,348175,4122,34,-11,0,1,5174,26,13,4,1980-01-06T03:05:47
315965172,585200,373175,373175,373175,4418,34,-11,0,1,5174,66,13,4,1980-01-06T03:06:12
315965197,585200,398175,398175,398175,4714,34,-11,0,1,5174,106,13,4,1980-01-06T03:06:37
315965222,748500,423175,423175,423175,5012,34,-11,0,1,5174,148,13,4,1980-01-06T03:07:02
