time_s,time_us,time_steady,temperature,seq,srcSystem,srcComponent,time_gregorian
315964888,660000,92072,13.875,69,12,2,1980-01-06T03:01:28
315964889,952000,93076,13.9375,79,12,2,1980-01-06T03:01:29
315964890,910000,94074,13.9375,87,12,2,1980-01-06T03:01:30
315964891,869000,95073,13.9375,97,12,2,1980-01-06T03:01:31
315964892,831000,96075,13.9375,105,12,2,1980-01-06T03:01:32
315964893,791000,97075,13.9375,115,12,2,1980-01-06T03:01:33
315964894,749000,98072,13.9375,123,12,2,1980-01-06T03:01:34
315964895,712000,99076,13.9375,133,12,2,1980-01-06T03:01:35
315964896,670000,100074,13.9375,141,12,2,1980-01-06T03:01:36
315964897,939000,101073,13.9375,151,12,2,1980-01-06T03:01:37
315964898,900000,102075,13.9375,159,12,2,1980-01-06T03:01:38
315964899,860000,103074,13.9375,169,12,2,1980-01-06T03:01:39
315964900,818000,104072,13.9375,177,12,2,1980-01-06T03:01:40
315964901,781000,105076,13.9375,187,12,2,1980-01-06T03:01:41
315964902,739000,106074,13.9375,195,12,2,1980-01-06T03:01:42
315964903,698000,107073,13.9375,205,12,2,1980-01-06T03:01:43
315964904,660000,108075,13.9375,213,12,2,1980-01-06T03:01:44
315964907,20000,109074,14.0,223,12,2,1980-01-06T03:01:47
315964907,978000,110072,14.0,231,12,2,1980-01-06T03:01:47
315964908,941000,111076,14.0,241,12,2,1980-01-06T03:01:48
315964909,899000,112074,14.0,249,12,2,1980-01-06T03:01:49
315964910,859000,113073,14.0,3,12,2,1980-01-06T03:01:50
315964913,677000,114075,14.0,11,12,2,1980-01-06T03:01:53
315964914,637000,115075,14.0,21,12,2,1980-01-06T03:01:54
315964915,595000,116073,14.0,29,12,2,1980-01-06T03:01:55
315964916,554000,117072,14.0,39,12,2,1980-01-06T03:01:56
315964917,516000,118074,14.0,47,12,2,1980-01-06T03:01:57
315964918,476000,119074,14.0,57,12,2,1980-01-06T03:01:58
315964919,438000,120076,14.0,65,12,2,1980-01-06T03:01:59
315964920,397000,121075,14.0,75,12,2,1980-01-06T03:02:00
315964921,666000,122073,14.0625,83,12,2,1980-01-06T03:02:01
315964922,626000,123073,14.0625,93,12,2,1980-01-06T03:02:02
315964923,588000,124074,14.0625,101,12,2,1980-01-06T03:02:03
315964924,547000,125074,14.0625,111,12,2,1980-01-06T03:02:04
315964925,506000,126072,14.0625,119,12,2,1980-01-06T03:02:05
315964926,469000,127076,14.0625,129,12,2,1980-01-06T03:02:06
315964927,427000,128074,14.0625,137,12,2,1980-01-06T03:02:07
315964928,387000,129073,14.0625,147,12,2,1980-01-06T03:02:08
315964929,658000,130075,14.0625,155,12,2,1980-01-06T03:02:09
315964930,618000,135992,14.0625,164,12,2,1980-01-06T03:02:10
315964935,415000,136072,14.0625,168,12,2,1980-01-06T03:02:15
315964936,377000,137074,14.125,176,12,2,1980-01-06T03:02:16
315964937,337000,138074,14.125,186,12,2,1980-01-06T03:02:17
315964938,299000,139076,14.125,194,12,2,1980-01-06T03:02:18
315964939,258000,140075,14.125,204,12,2,1980-01-06T03:02:19
315964939,39000,141073,14.125,212,12,2,1980-01-06T03:02:19
315964939,999000,142073,14.125,222,12,2,1980-01-06T03:02:19
315964940,961000,143075,14.125,238,12,2,1980-01-06T03:02:20
315964941,921000,144075,14.125,248,12,2,1980-01-06T03:02:21
315964942,879000,145072,14.125,0,12,2,1980-01-06T03:02:22
315964943,843000,146076,14.125,10,12,2,1980-01-06T03:02:23
315964947,423000,147074,14.125,18,12,2,1980-01-06T03:02:27
315964948,382000,148073,14.1875,28,12,2,1980-01-06T03:02:28
315964949,344000,149076,14.1875,41,12,2,1980-01-06T03:02:29
315964950,303000,150075,14.1875,51,12,2,1980-01-06T03:02:30
315964951,263000,151074,14.1875,81,12,2,1980-01-06T03:02:31
315964952,225000,152077,14.1875,91,12,2,1980-01-06T03:02:32
315964953,184000,153076,14.1875,111,12,2,1980-01-06T03:02:33
315964954,142000,154075,14.1875,121,12,2,1980-01-06T03:02:34
315964955,414000,155074,14.1875,151,12,2,1980-01-06T03:02:35
315964956,376000,156077,14.1875,161,12,2,1980-01-06T03:02:36
315964957,336000,157076,14.1875,183,12,2,1980-01-06T03:02:37
315964958,294000,158075,14.1875,192,12,2,1980-01-06T03:02:38
315964959,253000,159073,14.1875,201,12,2,1980-01-06T03:02:39
315964960,215000,160077,14.25,210,12,2,1980-01-06T03:02:40
315964961,175000,161075,14.25,236,12,2,1980-01-06T03:02:41
315964962,442000,162073,14.25,244,12,2,1980-01-06T03:02:42
315964963,402000,163073,14.25,2,12,2,1980-01-06T03:02:43
315964964,364000,164075,14.25,10,12,2,1980-01-06T03:02:44
315964965,323000,165075,14.25,31,12,2,1980-01-06T03:02:45
315964966,281000,166073,14.25,39,12,2,1980-01-06T03:02:46
315964967,241000,167072,14.25,53,12,2,1980-01-06T03:02:47
315964968,203000,168074,14.25,61,12,2,1980-01-06T03:02:48
315964969,163000,169074,14.25,90,12,2,1980-01-06T03:02:49
315964970,429000,170072,14.25,98,12,2,1980-01-06T03:02:50
315964971,392000,171076,14.25,109,12,2,1980-01-06T03:02:51
315964972,350000,172074,14.3125,117,12,2,1980-01-06T03:02:52
1,12000,5194,14.5,54,12,2,1970-01-01T03:00:01
4,855000,5212,14.5625,58,12,2,1970-01-01T03:00:04
5,812000,6077,14.5625,66,12,2,1970-01-01T03:00:05
315964804,521000,7079,14.5625,74,12,2,1980-01-06T03:00:04
315964805,481000,8075,14.5625,82,12,2,1980-01-06T03:00:05
315964806,440000,9074,14.625,119,12,2,1980-01-06T03:00:06
315964807,403000,10078,14.625,129,12,2,1980-01-06T03:00:07
315964808,361000,11074,14.625,145,12,2,1980-01-06T03:00:08
315964809,321000,12074,14.625,155,12,2,1980-01-06T03:00:09
315964810,282000,13075,14.625,163,12,2,1980-01-06T03:00:10
315964811,242000,14075,14.625,173,12,2,1980-01-06T03:00:11
315964812,200000,15073,14.625,181,12,2,1980-01-06T03:00:12
315964813,159000,16072,14.625,191,12,2,1980-01-06T03:00:13
315964814,426000,17074,14.625,199,12,2,1980-01-06T03:00:14
315964815,386000,18073,14.625,209,12,2,1980-01-06T03:00:15
315964816,348000,19075,14.625,217,12,2,1980-01-06T03:00:16
315964817,307000,20075,14.625,227,12,2,1980-01-06T03:00:17
315964818,265000,21073,14.6875,235,12,2,1980-01-06T03:00:18
315964819,229000,22076,14.6875,245,12,2,1980-01-06T03:00:19
315964820,187000,23074,14.6875,253,12,2,1980-01-06T03:00:20
315964821,146000,24073,14.6875,7,12,2,1980-01-06T03:00:21
315964822,419000,25075,14.6875,15,12,2,1980-01-06T03:00:22
315964823,379000,26074,14.6875,25,12,2,1980-01-06T03:00:23
315964824,337000,27072,14.6875,33,12,2,1980-01-06T03:00:24
315964825,300000,28076,14.6875,43,12,2,1980-01-06T03:00:25
315964826,258000,29074,14.6875,51,12,2,1980-01-06T03:00:26
315964827,218000,30073,14.6875,61,12,2,1980-01-06T03:00:27
315964828,180000,31075,14.6875,69,12,2,1980-01-06T03:00:28
315964829,139000,32075,14.6875,79,12,2,1980-01-06T03:00:29
315964830,408000,33072,14.6875,87,12,2,1980-01-06T03:00:30
315964831,371000,34076,14.75,97,12,2,1980-01-06T03:00:31
315964832,330000,35074,14.75,105,12,2,1980-01-06T03:00:32
315964833,289000,36073,14.75,115,12,2,1980-01-06T03:00:33
315964834,251000,37075,14.75,123,12,2,1980-01-06T03:00:34
315964835,210000,38075,14.75,133,12,2,1980-01-06T03:00:35
315964836,168000,39073,14.75,141,12,2,1980-01-06T03:00:36
315964837,439000,40072,14.75,151,12,2,1980-01-06T03:00:37
315964838,401000,41074,14.75,159,12,2,1980-01-06T03:00:38
315964839,360000,42074,14.75,169,12,2,1980-01-06T03:00:39
315964840,322000,43076,14.75,177,12,2,1980-01-06T03:00:40
315964841,281000,44075,14.8125,187,12,2,1980-01-06T03:00:41
315964842,240000,45073,14.8125,195,12,2,1980-01-06T03:00:42
315964843,199000,46072,14.8125,205,12,2,1980-01-06T03:00:43
315964844,161000,47074,14.8125,213,12,2,1980-01-06T03:00:44
